US,EU,UK,FR,IT
32A,70A,32A,85A,1A
32B,70B,32B,85B,1B
32C,70C,32C,85C,1C
32D,70D,32D,85D,1D
32DD,70DD,32DD,85DD,1DD
32E,70E,32E,85E,1E
32F,70F,32F,85F,1F
32FF,70F,32F,85F,1F
32G,70G,32G,85G,1G
34A,75A,34A,90A,2A
34B,75B,34B,90B,2B
34C,75C,34C,90C,2C
34D,75D,34D,90D,2D
34DD,75DD,34DD,90DD,2DD
34E,75E,34E,90E,2E
34F,75F,34F,90F,2F
34FF,75F,34F,90F,2F
34G,75G,34G,90G,2G
36A,80A,36A,95A,3A
36B,80B,36B,95B,3B
36C,80C,36C,95C,3C
36D,80D,36D,95D,3D
36DD,80DD,36DD,95DD,3DD
36E,80E,36E,95E,3E
36F,80F,36F,95F,3F
36FF,80F,36F,95F,3F
36G,80G,36G,95G,3G
38A,85A,38A,100A,3B
38B,85B,38B,100B,3C
38C,85C,38C,100C,3D
38D,85D,38C,95D,3D
38DD,85DD,38DD,95DD,3DD
38DDD,85E,38E,95E,3E
38E,85F,38F,95F,3F
38F,85F,38F,95F,3F
38FF,85G,38G,95G,3G
38G,90B,40B,100B,4B
40B,90C,40C,100C,4C
40C,90D,40D,100D,4D
40D,90E,40DD,105E,5E
40DD,95C,42C,110C,6C
42C,95D,42D,110D,6D
42D,95E,42DD,110E,6E
42DD,,,,
