Division,Name,Launch Date,Phase
Heliophysics,"ACE Advanced Composition Explorer (ACE) observes particles of solar, interplanetary, interstellar, and galactic origins, spanning the energy range from solar wind ions to galactic cosmic ray nuclei. This mission is part of SMD's Explorers Program. This mission is part of SMD's ...","19970825 August 25, 1997",3Operating
Earth,"ACRIMSAT ACRIMSAT is the latest in a series of long-term solar-monitoring missions, utilizing the proven Active Cavity Radiometer Irradiance Monitor III (ACRIM III) instrument. This mission is part of SMD's Earth Systematic Missions program.","19991220 December 20, 1999",4Past
Earth,"ACT-America Understanding the terrestrial carbon cycle is essential for diagnosing current and predicting future climate change; however, sources and sinks of carbon dioxide (CO2) and methane (CH4) are poorly known at regional to continental scales. The Atmospheric Carbon and Transport-America (ACT-America) ...","20140201 February 01, 2014",2Development
Earth,ADEOS Advanced Earth Observing Satellite (ADEOS) was the first international space platform dedicated to Earth environmental research developed and managed by the National Space Development Agency of Japan (NASDA) (The Japanese call her MIDORI).,"19960817 August 17, 1996",4Past
Heliophysics,AIM Aeronomy of Ice in the Mesosphere (AIM) is a mission to determine the causes of the highest altitude clouds in the Earth's atmosphere. The number of clouds in the middle atmosphere (mesosphere) over the Earth's poles has been increasing over ...,"20070425 April 25, 2007",3Operating
Earth,"AirMOSS North American ecosystems are critical components of the global carbon cycle, exchanging large amounts of carbon dioxide and other gases with the atmosphere. Root-zone soil measurements can be used to better understand these carbon fluxes and their associated uncertainties on ...",20120301 March 2012,3Operating
Earth,"Aqua Aqua obtains a set of precise atmosphere and oceans measurements to understand their role in Earth's climate and its variations. Aqua carries six state-of-the-art instruments to observe the Earth's oceans, atmosphere, land, ice and snow covers, and vegetation, providing high ...","20020504 May 04, 2002",3Operating
Earth,"Aquarius Aquarius is a focused satellite mission to measure global sea surface salinity (SSS). Its instruments measure changes in SSS equivalent to about a ""pinch"" (i.e., 1/6 of a teaspoon) of salt in 1 gallon of water. By measuring SSS over ...","20110610 June 10, 2011",4Past
Astrophysics,"ASCA ASCA was the first X-ray astronomy mission to combine imaging capability with a broad pass band, good spectral resolution, and a large effective area. The mission was also the first satellite to use CCDs for X-ray astronomy.","19930220 February 20, 1993",4Past
Astrophysics,ASTRO-H ASTRO-H is a powerful orbiting observatory being developed by the Japan Aerospace Exploration Agency (JAXA) for studying extremely energetic processes in the universe. NASA and the JAXA/Institute of Space and Astronautical Science have teamed up to develop a high resolution ...,20160301 2016,2Development
Astrophysics,"Astro Observatory (ASTRO 1 & 2) The ""Astro Observatory"" was developed as a system of telescopes that could fly multiple times on the space shuttle.","19901202 December 02, 1990",4Past
Earth,"ATLAS ATLAS missions were part of Phase I of NASA's Mission to Planet Earth, a large-scale, unified study of planet Earth as a single, dynamic system. Throughout the ATLAS series, scientists gathered new information to gain a better understanding of how ...","19920324 March 24, 1992",4Past
Earth,ATom The Atmospheric Tomography Mission (ATom) will study the impact of human-produced air pollution on greenhouse gases and on chemically reactive gases in the atmosphere.,20150401 April 2015,2Development
Earth,"ATS The Applications Technology Satellite series was a set of 6 NASA spacecraft created to explore & flight test new technologies and techniques for communications, meteorological and navigation satellites.","19661207 December 07, 1966",4Past
Earth,ATTREX Stratospheric water vapor has large impacts on the earth’s climate and energy budget. Future changes in stratospheric humidity and ozone concentration in response to changing climate are significant climate feedbacks.,20111201 December 2011,3Operating
Earth,Aura The Aura satellite hosts a suite of scientific instruments designed to make the most comprehensive measurements ever undertaken of atmospheric trace gases. Aura's objective is to study the chemistry and dynamics of the Earth's atmosphere with emphasis on the upper ...,"20040715 July 15, 2004",3Operating
Heliophysics,BARREL The Balloon Array for Radiation-belt Relativistic Electron Losses mission is a balloon-based Mission of Opportunity to augment the measurements of NASA's RBSP spacecraft. This mission is part of SMD's LWS program.,,4Past
Astrophysics,"BBXRT The Broad Band X-ray Telescope (BBXRT) was the first focusing X-ray telescope to operate over a broad energy range (0.3-12 keV) with moderate energy resolution. BBXRT was flown on the space shuttle Columbia (STS-35) on December 2-11, 1990, as part ...","19901202 December 02, 1990",4Past
Earth,CALIPSO The CALIPSO satellite was developed to help scientists answer significant questions and provide new information about the effects of clouds and aerosols (airborne particles) on changes in the Earth's climate. Understanding these components will provide the international science community with ...,"20060428 April 28, 2006",3Operating
Earth,CARVE The carbon budget of Arctic ecosystems is not known with confidence since fundamental elements of the complex Arctic biological-climatologic-hydrologic system are poorly quantified. Carbon in Arctic Reservoirs Vulnerability Experiment (CARVE) will collect detailed measurements of important greenhouse gases on local ...,20120301 2012,3Operating
