characteristic,sex,raceethnicity,yearvalue(long),rateperonezerozerozerozerozero(long),countvalue(long)
Total,Female,"Black, non-Hispanic",2000,791,218896
Total,Femae,"Black, non-Hispanic",2001,777,219439
Total,Female,"Black, non-Hispanic",2002,766,220072
Total,Female,"Black, non-Hispanic",2003,750,218436
Total,Feamle,"Black, non-Hispanic",2004,707,207416
Total,Female,"Black, non-Hispanic",2005,680,200050
Total,Female,"Black, non-Hispanic",2006,663,196234
Total,Female,"Black, non-Hispanic",2007,662,197731
Total,Female,"Black, non-Hispanic",2008,658,199105
Total,Female,"Black, non-Hisapnic",2009,660,201325
Total,Female,"Black, noan-Hispanic",2010,644,198997
Total,Female,"Black, non-Hispanic",2011,616,192248
Toal,Female,"Black,n on-Hispanic",2012,575,180734
Total - Male,Male,"Black, non-Hispanc",2000,1478,209543
Total - Male,Male,"Black, non-Hispanic",2001,1447,209658
Total - Male,Male,"Black, non-Hispanic",2002,1422,209710
Toteal - Male,Male,"Black, non-Hispanic",2003,1388,207921
Total - Male,Male,"Black, non-Hispanic",2004,1305,196906
Total - Male,Male,"Black, non-Hispanic",2005,1249,189298
Total -M ale,Male,"Black, non-Hispanic",2006,1215,185418
Total - Male,Male,"Black, non-Hispanic",2007,1213,186631
Total - Mwale,Male,"Black, non-Hispanic",2008,1207,188035
Toztal - Male,Mael,"Black, non-Hispanic",2009,1212,190118
Total - Male,Mle,"Black, non-Hispanic",2010,1187,187699
Total - Male,Male,"Black, non-Hispanic",2011,1136,181510
Total - Male,Male,"Black, non-Hispanic",2012,1060,170734
Total - Female,Female,"Black, non-Hispanic",2000,67,9089
Total - Female,Fxemale,"Black, non-Hispanic",2001,71,9724
Total - Female,Female,"Black, non-Hispanic",2002,74,10336
Total - Female,Female,"Black, non-Hispanic",2003,73,10396
oTtal - Female,Female,"Black, non-Hispanic",2004,73,10464
Total - Female,Female,"Black, onn-Hispanic",2005,75,10713
Total - Female,Female,"Black, non-Hispanic",2006,75,10768
Total - Female,Female,"Black, non-Hispanic",2007,76,11044
Total - Female,Female,"Black, non-Hispanic",2008,75,11036
Total - Feamle,Female,"Black, wnon-Hispanic",2009,76,11186
Total - Female,Female,"Black, non-Hispanic",2010,75,11277
Total - Female,Female,"Blck, non-Hispanic",2011,70,10696
Total - Female,Femle,"Black, non-Hispanic",2012,65,9942
"Totalr - White, non-Hispanic",Female,"White, non-Hispanic",2000,345,59129
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2001,349,60836
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2002,353,62498
"Total -W hite, non-Hispanic",Feamle,"White, non-Hispanic",2003,340,61052
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2004,331,59749
"Total - White, non-Hispanic",mFemale,"White, non-Hispanic",2005,316,57006
"Total - White, non-Hispanic",Feamle,"White, non-Hispanic",2006,301,54466
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2007,289,52669
"Total - Whte, non-Hispanic",Female,"White, non-Hispanic",2008,284,52055
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2009,281,51343
"otal - White, non-Hispanic",Female,"White, non-Hispanic",2010,284,49975
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2011,274,48219
"Total - White, non-Hispanic",Female,White non-Hispanic,2012,252,44309
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2000,2732,104880
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2001,2577,101386
"Total - Black, non-Hispanic",Female,"Black, non-Hispanixc",2002,2461,98762
"Total - Black, non-Hispanic",Female,"Blck, non-Hispanic",2003,2241,91538
"Total - Bluack, non-Hispanic",Female,"Black, non-Hispanic",2004,2134,88053
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2005,1918,79797
"Total - Black, non-Hispanic",emale,"Black, non-Hispanic",2006,1865,78688
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2007,1837,79176
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2008,1862,82178
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2009,1875,84161
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2010,1865,83931
"Total - Black, non-Hispanic",emale,"Black, non-Hispanic",2011,1775,81714
"Total - Black, non-Hispanic",Female,"Black, non-Hisanic",2012,1623,75921
Total - Hispanic,eFmale,Hispanci,2000,1004,48696
Total - Hispanic,Female,Hispanic,2001,1012,50167
Total - Hispanic,Femael,Hispanic,2002,1017,51153
Total - Hispanic,eFmale,Hispanic,2003,1007,51263
Total - Hispanic,Female,Hispanic,2004,974,49987
Total - Hispanic,Female,Hispanic,2005,941,48588
Total - Hispanic,Female,Hispanic,2006,926,48308
Total - Hispanic,Fmeale,Hispainc,2007,932,49336
Total - Hispanic,Femael,Hispanic,2008,892,48479
Total - Hispanic,Female,Hispanic,2009,888,49510
Total - Hispanic,Female,Hispanic,2010,780,48889
Total - Hispanic,Female,Hispanic,2011,724,46482
Total - Hispanic,Female,Hspanic,2012,640,41523
"Total - Other race, non-Hispanic",Female,"Other race, non-Hispanic",2000,826,15350
"Total - Other race, non-Hispanic",Femlae,"Other race, non-Hispanic",2001,831,15868
"Total - Other race, non-Hispanic",Female,"Other race, non-Hispanic",2002,805,15739
"Total - Other race, non-Hispanic",Female,"Other race, non-Hispanic",2003,800,15920
"Total - Other race, non-Hispanic",Female,"Other race, non-Hispanic",2004,792,15903
"Total - Other race, non-Hcispanic",Femae,"Otehr race, non-Hispanic",2005,784,15848
"Total - Other race, non-Hispanic",Female,"Othker race, non-Hispanic",2006,777,15873
"Total - Other race, non-Hispanic",Female,"Other race, non-Hispanic",2007,731,15110
"Total - Other race, non-Hispanic",Female,"Other race, non-Hispanic",2008,689,14484
