334.address,302 E .6Th,302 E. 6Th
541.districtname,COPAN                 y        ,COPAN                         
295.city,Brken Bow,Broken Bow
245.city,Cpameron,Cameron
508.code,70I-061,70-I061
437.phone,(405) 273-f6072,(405) 273-6072
290.city,Blanqchard,Blanchard
314.city,Hasell,Haskell
187.phone,(580) 921-3326,(580) 921-3362
520.districtname,DEBORAH BROWN CHARTER)       ,DEBORAH BROWN (CHARTER)       
499.phone,(580) 658h-5076,(580) 658-5076
454.address,Hwy 2 N Cobb Dr.,Hwy 2 N. Cobb Dr.
93.superintendent,Branbdon Voss,Brandon Voss
180.phone,(405)v 224-5768,(405) 224-5768
87.code,12-I02,12-I002
158.superintendent,Darreyll Floyd,Darrell Floyd
47.boardpresident,David Harrsion,David Harrison
33.boardpresident,rank Converse,Frank Converse
129.phone,(918 862-3954,(918) 862-3954
258.statevalue,OkK,OK
260.districtname,PRAGUgE                        ,PRAGUE                        
361.websiteurl,www.ewsternheights.k12.ok.us,www.westernheights.k12.ok.us
134.fax,(580) r323-5886,(580) 323-5886
115.countyname,CRAI G      ,CRAIG       
533.phone,(918) 464-1966,(918) 446-1966
470.superintendentsemail,agaches@sps.k2.ok.us,agaches@sps.k12.ok.us
498.address,274801 Broncho Rad,274801 Broncho Rd
198.superintendent,Chrsitopher Karch,Christopher Karch
21.superintendentsemail,lmzills@balko.k12.ok.us,lmills@balko.k12.ok.us
239.fax,918) 653-2525,(918) 653-2525
469.boardpresident,athy Madron,Cathy Madron
185.city,ranite,Granite
388.superintendentsemail,rloggins@barnbsdallschools.org,rloggins@barnsdallschools.org
255.boardpresident,Joseph Iryb,Joseph Irby
456.superintendent,gPhil Drouhard,Phil Drouhard
253.city,Arkomya,Arkoma
229.code,38I001,38-I001
397.fax,(918) 675-4464***,(918) 675-4464
514.address,3441 E Arckher,3441 E Archer
40.statevalue,K,OK
493.phone,(580 255-0686,(580) 255-0686
354.statevalue,OcK,OK
142.websiteurl,www.ay.k12.ok.us,www.jay.k12.ok.us
486.address,30 West Hunter,301 West Hunter
114.statevalue,K,OK
434.code,63-0C10,63-C010
188.statevalue,KO,OK
544.statevalue,K,OK
457.city,Cheyene,Cheyenne
347.countyname,OKLHAOMA    ,OKLAHOMA    
72.districtname,LOWRY                        ,LOWREY                        
522.superintendent,Deboraht Brown,Deborah Brown
8.countyname,ADAIR       ***,ADAIR       
36.code,70-I005,07-I005
460.superintendent,Davi dGarroutte,David Garroutte
149.fax,(580) 328-2537,(580) 328-5237
254.statevalue,hOK,OK
446.city,bWanette,Wanette
373.phone,918) 758-2000,(918) 758-2000
331.fax,(918) 6230884,(918) 623-0884
359.address,1001 WestDanforth Road,1001 West Danforth Road
474.statevalue,iOK,OK
293.fax,g(580) 420-3226,(580) 420-3226
509.statevalue,nOK,OK
502.districtname,YARBROUGH                    ,YARBROUGH                     
342.fax,(405) 68-16993,(405) 681-6993
534.phone,(918) i272-5367,(918) 272-5367
144.address,700 N. Wood Aev.,700 N. Wood Ave.
461.statevalue,KO,OK
145.phone,(91)8 326-4116,(918) 326-4116
371.websiteurl,www.ablecharteerschool.com,www.ablecharterschool.com
429.city,Adda,Ada
301.code,8-I039,48-I039
516.fax,(918 )794-1480,(918) 794-1480
387.phone,918) 793-2021,(918) 793-2021
364.address,6721 Northwejst 42Nd Street,6721 Northwest 42Nd Street
14.phone,(58) 889-3687,(580) 889-3687
23.websiteurl,http://wwwc.turpinps.org,http://www.turpinps.org
72.countyname,CHEROKEE    ***,CHEROKEE    
323.websiteurl,www.perry.zk12.ok.us,www.perry.k12.ok.us
471.address,300 W 01Th,300 W 10Th
337.boardpresident,Antonia Jenninsg,Antonia Jennings
281.address,20c2 Se 1St St.,202 Se 1St St.
338.address,3232 Nw 6T5h,3232 Nw 65Th
392.address,100 North 6Th Srteet,100 North 6Th Street
489.countyname,SEQUOYAH z   ,SEQUOYAH    
378.districtname,jSCHULTER                      ,SCHULTER                      
208.boardpresident,Brandon Matin,Brandon Martin
384.districtname,ANDERSON                     ,ANDERSON                      
464.countyname,ROGERS k     ,ROGERS      
532.superintendentsemail,hartzler.kirt@unions.org,hartzler.kirt@unionps.org
138.superintendentsemail,kguthrie@celora.net,kguthrie@cleora.net
106.code,16-I03,16-I003
465.boardpresident,Jimmy all,Jimmy Hall
468.superintendentsemail,payne@vps.k12.ok.us,mpayne@vps.k12.ok.us
175.websiteurl,http://wwwa.lex.k12.ok.us/,http://www.alex.k12.ok.us/
276.websiteurl,http://www.kngston.k12.ok.us/,http://www.kingston.k12.ok.us/
488.superintendentsemail,lcallowauy@gans.k12.ok.us,lcalloway@gans.k12.ok.us
235.superintendentsemail,jkennedy@bvpsod.org,jkennedy@bvpsd.org
519.address,1142 East 5x6Th Street ,1142 East 56Th Street 
132.phone,(918) 224-3k400,(918) 224-3400
225.phone,(405) 375-414,(405) 375-4194
519.city,Tlsa,Tulsa
519.statevalue,K,OK
20.superintendentsemail,skinsey@beaver.k12o.k.us,skinsey@beaver.k12.ok.us
390.superintendent,Russel Hull,Russell Hull
170.address,2130 County Rad 1317,2130 County Road 1317
280.phone,(918) 825-1255***,(918) 825-1255
149.districtname,TALOGA                        ***,TALOGA                        
377.websiteurl,http://www.ypreston.k12.ok.us/,http://www.preston.k12.ok.us/
153.address,209 West Locuts,209 West Locust
368.phone,405) 259-9478,(405) 259-9478
452.boardpresident,Leeanna Martoin,Leeanna Martin
106.statevalue,OrK,OK
542.websiteurl,www.dewey1k2.org,www.deweyk12.org
420.phone,(918) 432-5613,(918) 432-5631
270.websiteurl,http://www.mareittaisd.org,http://www.mariettaisd.org
413.superintendent,Chrales Peckio Jr.,Charles Peckio Jr.
