object_id(long),reqid(long),request_date,personpremise,address_one,zip(double precision),activity_date,activitytypeid(long),activity_type_desc
1,693745,2020/03/26 03:59:59+00,BEACH BEAUTY SALON,7916 FEGENBUSH LANE,40228.0,2020/03/27 03:59:59+00,5,FIELD
2,694103,2020/03/30 03:59:59+00,XTREAM AUTO,3713 BARDSTOWN ROAD,40218.0,2020/03/31 03:59:59+00,7,FIELD
3,694502,2020/04/02 03:59:59+00,WEST END TOKEN CLUB,708 S 16TH ST,40210.0,2020/04/03 03:59:59+00,4,FIELD
4,694505,2020/04/02 03:59:59+00,CRICKET CELL PHONE STORE,5751 PRESTON HWY,40219.0,2020/04/06 03:59:59+00,7,FIELD
5,694607,2020/04/03 03:59:59+00,UPS HUB,8100 AIR COMMERCE DR,40219.0,2020/04/13 03:59:59+00,7,FIELD
6,694829,2020/04/07 03:59:59+00,FEDEX SHIP CENTER,4901 CRITTENDEN DR,40209.0,2020/04/07 03:59:59+00,6,FIELD
7,694957,2020/04/03 03:59:59+00,RESIDENT,5117 POPLAR LEVEL RD,40219.0,2020/04/07 03:59:59+00,7,FIELD
8,695019,2020/04/06 03:59:59+00,KY TRAILER,3400 ROBARDS COURT,40218.0,2020/04/09 03:59:59+00,7,FIELD
9,695082,2020/04/08 03:59:59+00,SOUL FOOD DINING,4900 POPLAR LEVEL RD,40219.0,2020/04/10 03:59:59+00,7,FIELD
10,695169,2020/04/09 03:59:59+00,THIRD STREET GAS STATION,5620 S 3RD ST,40214.0,2020/04/11 03:59:59+00,7,FIELD
11,695201,2020/04/09 03:59:59+00,BANADIR RESTAURANT,5600 S 3RD ST,40214.0,2020/04/11 03:59:59+00,7,FIELD
12,695277,2020/04/11 03:59:59+00,TALECRIS PLASMA RESOURCES,5037 PRESTON HWY,40213.0,2020/04/13 03:59:59+00,7,FIELD
13,695362,2020/04/11 03:59:59+00,ROSES #530,3220 CRUMS LN,40216.0,2020/04/14 03:59:59+00,7,FIELD
14,695385,2020/04/08 03:59:59+00,RESIDENT,1015 REEVES RD,40219.0,2020/04/09 03:59:59+00,7,FIELD
15,695464,2020/04/09 03:59:59+00,UNKNOWN,6707 CAROLYN ROAD,40214.0,2020/04/10 03:59:59+00,5,FIELD
16,695466,2020/04/14 03:59:59+00,DARE TO CARE,3802 W MARKET ST,40212.0,2020/04/14 03:59:59+00,7,FIELD
17,695525,2020/04/14 03:59:59+00,RESTHAVEN MEMORIAL PARK,4400 BARDSTOWN ROAD,40218.0,2020/04/15 03:59:59+00,7,FIELD
18,695544,2020/04/14 03:59:59+00,SAVE-A-LOT,4443 CANE RUN RD,40216.0,2020/04/15 03:59:59+00,7,FIELD
19,695740,2020/04/11 03:59:59+00,URBAN FLATS,735 S 2ND ST,40202.0,2020/04/16 03:59:59+00,7,FIELD
