rxdevice(long),fileid(long),txdevice(long),starttime(long),endtime(long),valuevalue(long)
291,24812.0,9167,276266376154934,276266676055141.0,255
291,24814.0,-2917,276297276172696,276297576073022.0,255
291,24817.0,1042,276387276146401,276387576062486.0,255
291,24824.0,-19432,276465876186768,276466176086601.0,255
291,24825.0,8884,276524076117184,276524376016804.0,255
291,24832.0,12747,276712476154539,276297576073022.0,255
291,24836.0,-9578,276786276154240,276466176086601.0,255
291,24837.0,25149,276807576180806,276807876097228.0,255
291,24840.0,-9437,276871176143341,276871476076359.0,255
291,24841.0,30740,276902376173424,276902676073996.0,255
291,24842.0,9882,276905076189763,276905376089894.0,255
291,24845.0,4244,276991776165653,276871476076359.0,255
291,24846.0,25884,277046076112879,277046376011948.0,255
291,24848.0,-16427,277077576115421,277077876031133.0,255
291,24849.0,25704,277087776120136,277088076019619.0,255
291,24850.0,21651,277105776156255,277106076056089.0,255
291,24851.0,29929,277128876140941,277129176056224.0,255
291,24854.0,-1322,277300776152599,276524376016804.0,255
291,24855.0,22360,277322976141651,277323276041700.0,255
291,24860.0,-26389,277422276120980,277422576021761.0,255
291,24860.0,-14186,277421976121168,276807876097228.0,255
291,24863.0,6613,277475976171669,276524376016804.0,255
291,24868.0,-7659,277564476155444,277564776055062.0,255
291,24871.0,-28559,277761876155317,277762176055058.0,255
291,24871.0,-18655,277762176155104,277564776055062.0,255
291,24871.0,-8109,277762776154921,277763076055191.0,255
388,24871.0,8715,277762476155055,276524376016804.0,255
291,24872.0,-27389,278111376173785,276297576073022.0,255
291,24872.0,-15860,278112276174364,277323276041700.0,255
291,24872.0,-15818,278111076173845,278111376073772.0,255
359,24872.0,-7627,278111976173763,277088076019619.0,255
380,24872.0,-7590,278110776173817,276524376016804.0,255
291,24872.0,22502,278111676173899,276524376016804.0,255
291,24875.0,9486,278165676185824,277323276041700.0,255
291,24875.0,26911,278165976138286,276297576073022.0,255
291,24879.0,-8944,278254776155986,276807876097228.0,255
291,24884.0,7052,278375976156003,276905376089894.0,255
363,24891.0,-7748,278509476115473,277762176055058.0,255
291,24892.0,17992,278528976175120,278529276008998.0,255
291,24893.0,-5799,278600076104027,277046376011948.0,255
291,24894.0,-17793,278629176152752,276524376016804.0,255
291,24894.0,-14867,278629476153033,276387576062486.0,255
291,24896.0,27777,278684376164152,276871765932395.0,255
291,24897.0,-22763,278685276199324,277509265925291.0,255
291,24897.0,-7289,278685876199732,278686176099886.0,255
382,24897.0,7201,278685576199348,276297576073022.0,255
291,24899.0,-11115,278717376168391,276227965946228.0,255
291,24902.0,3575,278774076122370,278255665966919.0,255
291,24903.0,-24283,278796876146496,277077876031133.0,255
1064,24817.0,-15483,277251266060337,276387576062486.0,255
1064,24832.0,-12837,277257566099942,277257865976298.0,255
1064,24817.0,-28162,277341266037436,277159465929045.0,255
1153,866299.0,-5412,277340666037444,276736465973388.0,255
1064,24850.0,3873,277340966037546,277564776055062.0,255
1064,24836.0,14839,277341566037809,277341865914144.0,255
1064,24840.0,2628,277596866107593,276297576073022.0,255
1064,24841.0,-5248,277601966078331,276466176086601.0,255
1064,24850.0,31201,277653266074553,276387576062486.0,255
1064,866338.0,-26896,277733666117502,277733965993486.0,255
1064,24837.0,28809,277733966117257,277046376011948.0,255
1065,866339.0,-25478,277740266085585,277189765955931.0,255
1064,24817.0,6691,277740566085630,277762176055058.0,255
1064,24848.0,31012,277739966085788,276902676073996.0,255
1064,24817.0,-32270,277763966084035,277422576021761.0,255
1064,24840.0,8974,277779866057781,277780165934108.0,255
1064,24825.0,27712,277780166057538,278276965988058.0,255
1159,68617.0,11297,276175176157090,276871476076359.0,255
1111,68617.0,22316,276174876157102,276466176086601.0,255
1111,24814.0,-17609,276209676163340,277763076055191.0,255
1111,24851.0,-9147,276209976163181,276807876097228.0,255
1111,24837.0,-1709,276261576159581,277762176055058.0,255
1111,24842.0,17859,276261276159935,276261576059582.0,255
1111,24814.0,-9254,276298476174493,277077876031133.0,255
1111,68621.0,6434,276298176174603,276298476074510.0,255
1111,68622.0,-2867,276299676173835,277129176056224.0,255
1111,68623.0,24976,276347976160352,276736165973384.0,255
1111,68624.0,-26558,276383376198104,276383676098591.0,255
1127,68624.0,-4950,276383676198617,277763076055191.0,255
1111,24848.0,7870,276383976198339,276384276098170.0,255
1111,24846.0,-3890,276434376139976,277046376011948.0,255
1111,24814.0,-17741,276473676139252,277422576021761.0,255
1111,24840.0,-31844,276479376176746,276524376016804.0,255
1111,24845.0,-28156,276478176176829,276478476077093.0,255
1111,24849.0,-26323,276479976176715,277046376011948.0,255
1111,24846.0,-23125,276475776182646,277077876031133.0,255
1111,68629.0,-21325,276476676199656,276476976099897.0,255
1111,68629.0,-18701,276481176176773,276524376016804.0,255
1193,68629.0,-17393,276480876176684,278360665954297.0,255
1111,24824.0,-15176,276478476177104,277106076056089.0,255
1111,24846.0,-10416,276480576176693,276466176086601.0,255
1111,68629.0,-6816,276477276116234,276211165914003.0,255
1111,24849.0,677,276478776176973,276479076076829.0,255
1111,24836.0,2350,276477576146770,276524376016804.0,255
1207,68629.0,2522,276476376199659,276476676099656.0,255
1111,24824.0,3069,276482076176736,277762176055058.0,255
1111,68629.0,3393,276476076182671,276476376099695.0,255
1111,24849.0,10626,276481776177320,277129176056224.0,255
1111,24814.0,18585,276477876176754,276902676073996.0,255
1202,68629.0,19099,276481476177251,276481776077268.0,255
1111,24814.0,19484,276479076176811,277129176056224.0,255
1111,24837.0,19837,276476976200307,276905376089894.0,255
1176,68629.0,30805,276480276176942,276905376089894.0,255
1111,24832.0,30891,276479676176725,276902676073996.0,255
1151,68665.0,-26022,276832776181379,277077876031133.0,255
1111,24832.0,-23960,276832476180342,276209965914102.0,255
1111,24846.0,-29319,276866676116343,276807876097228.0,255
1111,24817.0,17687,276866976116034,276807876097228.0,255
1111,68667.0,-21626,276901476196655,277129176056224.0,255
1111,24841.0,7615,276901176196667,277762176055058.0,255
1111,24817.0,28050,276901776196744,276807876097228.0,255
1111,24836.0,-1895,276907476115545,277698565927368.0,255
1111,24855.0,25503,276907176115243,276907476015546.0,255
1111,68669.0,-31843,276952176172096,277046376011948.0,255
1111,24832.0,1590,276951876155641,278276965988058.0,255
1111,68670.0,-7605,276989976176983,277387465933130.0,255
1123,68670.0,5994,276990276109732,276990576009728.0,255
1111,24832.0,-9059,277038576150665,277422576021761.0,255
1111,68672.0,-2903,277070676196903,277323276041700.0,255
1111,24854.0,2182,277070376196764,278802565926701.0,255
1111,68672.0,12215,277070076196540,277070376096765.0,255
1111,24850.0,4150,277082376197031,276387576062486.0,255
1111,68673.0,8035,277082076196575,277046376011948.0,255
1111,24850.0,8483,277082676197050,277082976096965.0,255
1116,68673.0,9409,277081776196672,276524376016804.0,255
1111,24849.0,1807,277125276117857,276207865949104.0,255
1111,24850.0,9419,277125576117953,276871476076359.0,255
1111,24849.0,12855,277160676163065,277160976063405.0,255
1111,24836.0,-2916,277644276185014,277175965960291.0,255
1111,24817.0,14106,277644576181626,276902676073996.0,255
1111,68686.0,30560,277685976120586,276807876097228.0,255
1209,68688.0,-32382,277730676179399,277730976079508.0,255
1111,68688.0,23858,277730976179475,277731276079514.0,255
1111,68689.0,23767,277763376143699,277077876031133.0,255
1111,24836.0,-16618,277932876172438,277046376011948.0,255
1111,68691.0,-10767,277932576153783,277077876031133.0,255
1116,68692.0,1289,277941576136802,276297576073022.0,255
1111,24832.0,2432,277941276136657,277941576036799.0,255
1111,68692.0,18294,277940976136618,277564776055062.0,255
1111,24825.0,-12104,278023476151227,277106076056089.0,255
1111,24854.0,-116,278023776151315,276466176086601.0,255
1161,68695.0,8370,278076276159457,277129176056224.0,255
1111,24836.0,14333,278076576159701,276297576073022.0,255
1111,24841.0,3742,278110476187345,276466176086601.0,255
1111,24841.0,9345,278162976165754,276387576062486.0,255
1111,24842.0,29436,278163276165387,278163576065577.0,255
1172,68700.0,-1535,278246976179896,277106076056089.0,255
1111,68700.0,-1045,278247276180035,276524376016804.0,255
1147,68701.0,-10358,278276976136966,278277276037230.0,255
1120,68701.0,9284,278277276137265,277763076055191.0,255
1111,24817.0,-14815,278279676182520,278279976082693.0,255
1111,24850.0,24717,278280276182736,276902676073996.0,255
1111,24825.0,27366,278279976182699,277422576021761.0,255
1111,68703.0,-16038,278286576143817,278286876044061.0,255
1111,68703.0,-15505,278286876144032,276902676073996.0,255
1111,24846.0,-1606,278287176143728,277387465933130.0,255
1111,68704.0,-16672,278291076181676,277175965960291.0,255
1111,24849.0,18507,278290776181809,276297576073022.0,255
1210,68704.0,18993,278291376182317,276524376016804.0,255
1111,68705.0,-30474,278334276132978,277763076055191.0,255
1111,68706.0,-9134,278368476172927,276807876097228.0,255
1111,24846.0,18084,278368176173066,277762176055058.0,255
1111,24851.0,-30180,278380476185471,278380776085870.0,255
1111,68710.0,-24573,278379876185523,276871476076359.0,255
1111,24825.0,-5467,278379276185585,277422576021761.0,255
1111,24814.0,-5312,278378676185390,277046376011948.0,255
1111,24855.0,1506,278380176185379,277077876031133.0,255
1111,24849.0,20501,278379576185687,277129176056224.0,255
1111,24824.0,23563,278378976185702,278379276085560.0,255
1111,24860.0,27544,278378376185563,278378676085394.0,255
1111,68721.0,-21321,278545176161881,277046376011948.0,255
1111,24854.0,-8029,278544876146568,276466176086601.0,255
1111,68721.0,-7297,278545476162147,276807876097228.0,255
1173,68721.0,-2425,278545776177436,277564776055062.0,255
1201,68721.0,2387,278546076177405,278639365921994.0,255
1111,24851.0,8680,278546376193887,276387576062486.0,255
1111,24850.0,14313,278544276146790,276297576073022.0,255
1169,68721.0,32205,278544576146568,278544876046565.0,255
1111,24832.0,-229,278595876149429,277564776055062.0,255
1111,24849.0,26004,278595576133234,278595876049441.0,255
1146,68724.0,15995,278629776156120,276387576062486.0,255
1111,68724.0,20263,278630076155938,277088076019619.0,255
1111,24840.0,1111,278681376134184,276902676073996.0,255
1111,24824.0,30314,278681076176320,277106076056089.0,255
1111,24860.0,-31363,278716476194954,277106076056089.0,255
1111,24817.0,-16879,278716176194939,276466176086601.0,255
1111,68729.0,13434,278767476112451,277106076056089.0,255
1169,68729.0,30869,278767776129181,276387576062486.0,255
1112,24836.0,-32748,276173976121220,277088076019619.0,255
1112,53964.0,-29086,276174276121240,276174576021114.0,255
1112,53964.0,-23005,276174576121177,276174876021024.0,255
1195,53964.0,-5706,276174876120999,276524376016804.0,255
1203,53964.0,10479,276175176121161,276175476021473.0,255
1112,53968.0,-32542,276260676155659,276260976055621.0,255
1112,24824.0,-28962,276261876155443,277077876031133.0,255
1112,24817.0,-17393,276261576155659,277046376011948.0,255
1112,24824.0,10566,276261276155497,276902676073996.0,255
1112,24836.0,32065,276260976155614,276261276055490.0,255
1112,24846.0,865,276295776190322,277046376011948.0,255
1112,24850.0,-30967,276302976178090,277323276041700.0,255
1112,53971.0,-28888,276302376161338,278801965926737.0,255
1112,24817.0,-16942,276302076161493,276302376061340.0,255
1112,24836.0,-4222,276302676161433,276302976078091.0,255
1112,53972.0,-28299,276347076173813,276524376016804.0,255
1112,24855.0,10670,276347376173451,276297576073022.0,255
1112,53972.0,21972,276347976173521,278175865951196.0,255
1145,53972.0,25999,276347676173542,277106076056089.0,255
1112,24840.0,-8253,276372876132897,277564776055062.0,255
1112,53973.0,535,276372576133136,276807876097228.0,255
1112,24855.0,12346,276373476132654,276524376016804.0,255
1166,53973.0,24866,276373176132654,277129176056224.0,255
1112,24842.0,5352,276435276147219,276905376089894.0,255
1112,53977.0,10543,276433476147276,276387576062486.0,255
1112,24860.0,11961,276432876147317,278768666007070.0,255
1112,53977.0,23334,276434076146961,276434376047210.0,255
1112,24832.0,25676,276433176147077,276433476047273.0,255
1208,53977.0,29346,276435576147025,276387576062486.0,255
1112,24825.0,31078,276433776147222,277077876031133.0,255
1112,53978.0,-17076,276446976189253,277564776055062.0,255
1117,53978.0,24630,276446676189701,276446976089301.0,255
1112,24832.0,-20273,276564276118879,278336065928680.0,255
1112,53985.0,-17221,276564576118784,277323276041700.0,255
1112,24854.0,-10323,276564876118733,276807876097228.0,255
1119,53997.0,-7008,276779376111605,276807876097228.0,255
1112,53997.0,332,276779976127470,276780276043563.0,255
1112,24851.0,5736,276780276143571,276905376089894.0,255
1112,24836.0,17593,276779676127747,277077876031133.0,255
1180,53997.0,30244,276779076111607,276227965946228.0,255
1112,24825.0,-20934,276809376164625,276809676064338.0,255
1112,24832.0,-26404,276814776136985,276387576062486.0,255
1112,24850.0,-14328,276814476120852,276207865949104.0,255
1112,24851.0,-11480,276814176120700,277080865966239.0,255
1112,24832.0,-4407,276815076137086,277323276041700.0,255
1112,24817.0,1912,276815676152291,277323276041700.0,255
1112,53999.0,22128,276815376137448,276815676052296.0,255
1112,24825.0,-19968,276866376152254,277564776055062.0,255
1112,54001.0,-6824,276865776116274,277046376011948.0,255
1157,54001.0,-5698,276866076152291,276871476076359.0,255
1112,24825.0,3992,276866676152103,276466176086601.0,255
1112,24851.0,1411,276952176195152,277088076019619.0,255
1112,24845.0,7099,276952476111087,276902676073996.0,255
1112,54002.0,24381,276951876194505,278285365953521.0,255
1112,24817.0,1679,277039476159189,276524376016804.0,255
1112,24849.0,5705,277038576159148,278653165960165.0,255
1112,24817.0,7281,277039776159089,278801965926737.0,255
1131,54005.0,12469,277039176159059,277039476059189.0,255
1112,24817.0,26850,277038876159076,276807876097228.0,255
1112,24845.0,-26467,277073076155443,276905376089894.0,255
1112,24860.0,17252,277072776155626,278336065944695.0,255
1112,24848.0,-31287,277079976149100,277080276049035.0,255
1112,24849.0,29109,277080276149041,276211165914003.0,255
1112,24841.0,30830,277080576149257,276524376016804.0,255
1112,24825.0,31184,277080876148941,277081176049172.0,255
1112,24846.0,-20230,277138176110148,277138476009792.0,255
1112,54015.0,25822,277138476109790,277138776009674.0,255
1112,24848.0,383,277384176105023,277384476004952.0,255
1112,54034.0,21901,277384476105592,276902676073996.0,255
