Features,Comprehensive MCO with or without MLTSS ,PCCM,PCCM Entity,MLTSS,BHO (PIHP and/or PAHP) ,Dental,Transportation,Other PHP,PACE,Year
Quality Assurance and Data Collection: HEDIS data required,70,4,2,1,12,5,0,3,3,2016
Quality Assurance and Data Collection: CAHPS data required,66,5,2,1,5,7,1,2,1,2016
Quality Assurance and Data Collection: Accreditation required,39,2,0,2,10,0,0,1,1,2016
Quality Assurance and Data Collection: EQRO contractor used,73,3,1,3,13,2,0,2,4,2016
Performance incentives: Payment bonuses/differentials to reward MCOs,31,3,1,3,4,3,2,1,1,2016
Performance incentives: Preferential auto-enrollment to reward MCOs,18,0,0,1,0,0,0,0,0,2016
Performance incentives: Public reports comparing MCO performance on key metrics,37,2,1,1,3,3,1,0,0,2016
Performance incentives: Withholds tied to performance metrics,29,0,1,2,3,4,0,1,0,2016
Performance incentives: MCOs/PHPs required or encouraged to pay providers for value/quality outcomes using shared-risk or shared-savings methods,26,0,0,1,1,1,0,0,0,2016
Quality Assurance and Data Collection: HEDIS data required,71,4,2,1,9,6,0,3,3,2017
Quality Assurance and Data Collection: CAHPS data required,67,4,2,1,4,7,1,2,1,2017
Quality Assurance and Data Collection: Accreditation required,39,1,0,2,9,1,0,1,1,2017
Quality Assurance and Data Collection: EQRO contractor used,73,3,1,4,9,3,1,3,2,2017
Performance incentives: Payment bonuses/differentials to reward MCOs,33,3,1,3,4,3,2,1,2,2017
Performance incentives: Preferential auto-enrollment to reward MCOs,19,0,0,1,0,0,0,0,0,2017
Performance incentives: Public reports comparing MCO performance on key metrics,43,2,1,1,3,2,1,0,1,2017
Performance incentives: Withholds tied to performance metrics,32,1,1,2,2,5,0,1,0,2017
Performance incentives: MCOs/PHPs required or encouraged to pay providers for value/quality outcomes using shared-risk or shared-savings methods,43,0,0,1,1,1,0,0,0,2017
Quality Assurance and Data Collection: HEDIS data required,68,3,2,1,8,9,0,3,2,2018
Quality Assurance and Data Collection: CAHPS data required,66,3,2,1,4,10,0,3,1,2018
Quality Assurance and Data Collection: Accreditation required,39,0,0,2,8,4,0,1,1,2018
Quality Assurance and Data Collection: EQRO contractor used,71,3,2,4,9,7,1,3,2,2018
Performance incentives: Payment bonuses/differentials to reward MCOs,30,2,1,3,4,1,2,1,1,2018
Performance incentives: Preferential auto-enrollment to reward MCOs,20,0,0,1,0,0,0,0,0,2018
Performance incentives: Public reports comparing MCO performance on key metrics,42,2,2,1,4,5,1,0,0,2018
Performance incentives: Withholds tied to performance metrics,35,1,2,2,3,4,0,1,0,2018
Performance incentives: MCOs/PHPs required or encouraged to pay providers for value/quality outcomes using shared-risk or shared-savings methods,45,0,2,1,3,5,0,0,0,2018
Quality Assurance and Data Collection: HEDIS data required,68,2,3,1,8,8,0,2,2,2019
Quality Assurance and Data Collection: CAHPS data required,66,4,2,2,5,10,0,2,1,2019
Quality Assurance and Data Collection: Accreditation required,41,1,0,2,7,3,1,0,1,2019
Quality Assurance and Data Collection: EQRO contractor used,72,2,3,3,9,7,1,2,2,2019
Performance incentives: Payment bonuses/differentials to reward MCOs,31,1,2,3,3,1,1,0,1,2019
Performance incentives: Preferential auto-enrollment to reward MCOs,19,0,0,1,0,2,0,0,0,2019
Performance incentives: Public reports comparing MCO performance on key metrics,49,1,3,1,4,6,2,0,1,2019
Performance incentives: Withholds tied to performance metrics,38,0,2,2,3,6,2,0,0,2019
Performance incentives: MCOs/PHPs required or encouraged to pay providers for value/quality outcomes using shared-risk or shared-savings methods,49,0,2,1,3,6,1,0,1,2019
Quality Assurance and Data Collection: HEDIS data required,69,2,3,2,7,8,0,1,1,2020
Quality Assurance and Data Collection: CAHPS data required,67,1,2,2,4,10,0,0,1,2020
Quality Assurance and Data Collection: Accreditation required,41,2,0,2,6,4,1,0,1,2020
Quality Assurance and Data Collection: EQRO contractor used,69,3,3,4,8,8,0,2,2,2020
Performance incentives: Payment bonuses/differentials to reward MCOs,33,2,3,3,3,1,3,0,1,2020
Performance incentives: Preferential auto-enrollment to reward MCOs,22,0,0,2,0,1,0,0,0,2020
Performance incentives: Public reports comparing MCO performance on key metrics,50,1,3,2,5,5,2,0,1,2020
Performance incentives: Withholds tied to performance metrics,43,0,3,2,3,5,1,0,0,2020
Performance incentives: MCOs/PHPs required or encouraged to pay providers for value/quality outcomes using shared-risk or shared-savings methods,49,0,2,1,3,5,0,0,1,2020
Quality Assurance and Data Collection: HEDIS data required,69,2,3,2,7,8,0,1,1,2021
Quality Assurance and Data Collection: CAHPS data required,67,1,2,2,4,10,0,0,1,2021
Quality Assurance and Data Collection: Accreditation required,41,2,0,2,6,4,1,0,1,2021
Quality Assurance and Data Collection: EQRO contractor used,69,3,3,4,8,8,0,2,2,2021
Performance incentives: Payment bonuses/differentials to reward MCOs,33,2,3,3,3,1,3,0,1,2021
Performance incentives: Preferential auto-enrollment to reward MCOs,22,0,0,2,0,1,0,0,0,2021
Performance incentives: Public reports comparing MCO performance on key metrics,50,1,3,2,5,5,2,0,1,2021
Performance incentives: Withholds tied to performance metrics,43,0,3,2,3,5,1,0,0,2021
Performance incentives: MCOs/PHPs required or encouraged to pay providers for value/quality outcomes using shared-risk or shared-savings methods,49,0,2,1,3,5,0,0,1,2021
