objectid,wsrctgy,nlcsname,nhdrchcd,adminst,createdate,modifydate,coordsrctype,coordsrc_two,deffettype,deffet_two,accuracyft,global_id,wsrsgmntno,createddate,lastediteddate,shape_length
26302,Suitable - Wild,Yampa River Segment 3,14050002000099,CO,2012/02/21 00:00:00+00,2016/11/17 20:34:08+00,NHD,NHD,UNK,NHD Flowline,10,{BD123185-5E4F-4270-96C2-81C5F54909D6},CO00000093,2016/05/26 21:51:41+00,2016/06/13 14:24:15+00,5359.50872663227
26698,Suitable - Scenic,Yampa River Segment 2,14050002000150,CO,2012/02/22 00:00:00+00,2016/11/17 20:34:08+00,NHD,NHD,UNK,NHD Flowline,10,{3826D846-070A-4F00-A1DD-E1391E918280},CO00000092,2016/05/26 21:51:41+00,2016/06/13 14:24:15+00,25835.2551850752
26726,Suitable - Scenic,Yampa River Segment 1,14050002000151,CO,2012/02/22 00:00:00+00,2016/11/17 20:34:08+00,NHD,NHD,UNK,NHD Flowline,10,{8CCB1FCB-BC90-45DF-BD2B-CD64AFDCC532},CO00000091,2016/05/26 21:51:41+00,2016/06/13 14:24:15+00,4591.36753349609
28759,Suitable - Wild,Deep Creek Segment 2b,14010001000565,CO,2012/03/14 00:00:00+00,2016/11/17 20:34:06+00,NHD,NHD,UNK,NHD Flowline,10,{FDF23789-E7A2-4FB2-ABBE-E2B0045A3EA5},CO00000017,2016/05/26 21:51:41+00,2016/06/13 14:38:25+00,5653.36458837655
29173,Suitable - Recreational,Deep Creek Segment 3,14010001000562,CO,2012/03/15 00:00:00+00,2016/11/17 20:34:06+00,NHD,NHD,UNK,NHD Flowline,10,{C94F2386-083C-4FA7-A380-52300269584E},CO00000018,2016/05/26 21:51:41+00,2016/06/13 14:38:25+00,3036.03480332821
32360,Suitable - Wild,Coyote Wash,14030002000045,CO,2012/04/12 00:00:00+00,2016/11/30 21:40:24+00,NHD,NHD,UNK,NHD Flowline,10,{D1923148-7F46-40F4-A861-21DBF4E09C85},CO00000015,2016/05/26 21:51:41+00,2016/06/13 14:38:25+00,14023.839761868
33970,Suitable - Recreational,La Sal Creek Segment 2,14030002000463,CO,2012/04/17 00:00:00+00,2020/06/16 22:43:18+00,UNK,NHD,UNK,NHD Flowline,10,{DCE8E7E2-B272-4C90-84CE-4D5A83B67953},CO00000052,2016/05/26 21:51:41+00,2016/06/13 14:24:15+00,5232.15683824217
33984,Suitable - Wild,La Sal Creek Segment 3,14030002000462,CO,2012/04/17 00:00:00+00,2020/06/16 22:37:49+00,NHD,NHD,UNK,NHD Flowline,10,{985138B2-DB38-4667-B501-AF367784208A},CO00000053,2016/05/26 21:51:41+00,2016/06/13 14:24:15+00,5422.67137156526
35160,Suitable - Recreational,Dolores River - McPhee to Bedrock Segment in Tres Rios Field Office,14030002000118,CO,2012/04/17 00:00:00+00,2017/08/15 17:35:41+00,NHD,NHD,UNK,NHD Flowline,10,{AED4F3DF-2A07-4031-B125-11E6F09C2E60},CO00000024,2016/05/26 21:51:41+00,2016/06/13 14:38:28+00,20816.2347711946
35202,Suitable - Recreational,San Miguel River Segment 6,14030003000796,CO,2012/04/18 00:00:00+00,2020/04/24 16:24:28+00,NHD,NHD,UNK,NHD Flowline,10,{226A0579-6047-4300-98CE-3760002861FC},CO00000079,2016/05/26 21:51:41+00,2016/06/13 14:24:15+00,5200.87475186081
35218,Suitable - Recreational,San Miguel River Segment 5,14030003000007,CO,2012/04/18 00:00:00+00,2020/06/16 22:35:14+00,UNK,NHD,UNK,NHD Flowline,10,{7F60BE77-59DE-4B94-B0B0-9665D765936B},CO00000078,2016/05/26 21:51:41+00,2016/06/13 14:24:15+00,17923.5341267331
35611,Suitable - Wild,Tabeguache Creek Segment 1,14030003000193,CO,2012/04/19 00:00:00+00,2020/04/24 16:18:35+00,NHD,NHD,UNK,NHD Flowline,10,{A16162E4-B6A6-405C-ABB2-70B098060DF4},CO00000083,2016/05/26 21:51:41+00,2016/06/13 14:24:15+00,5822.41303963075
36413,Suitable - Recreational,San Miguel River Segment 3,14030003006442,CO,2012/04/20 00:00:00+00,2020/06/16 19:46:21+00,NHD,NHD,UNK,NHD Flowline,10,{189CBE4A-1EAE-4CD5-8048-531909B1ABD0},CO00000077,2016/05/26 21:51:41+00,2016/06/13 14:24:15+00,11969.2401973229
37254,Suitable - Wild,San Miguel River Segment 2,14030003000094,CO,2012/04/23 00:00:00+00,2020/06/16 19:45:44+00,NHD,NHD,UNK,NHD Flowline,10,{943EAFEA-69F3-4B43-9356-84FA335E82DD},CO00000076,2016/05/26 21:51:41+00,2016/06/13 14:24:15+00,6501.68766631309
37318,Suitable - Recreational,Beaver Creek,14030003000839,CO,2012/04/23 00:00:00+00,2020/06/16 19:44:08+00,UNK,NHD,UNK,NHD Flowline,10,{0F6D1D1B-C97C-4441-A235-BB77629D1D4A},CO00000006,2016/05/26 21:51:41+00,2016/06/13 14:38:31+00,22958.1251567414
