objectid(long),wsrctgy,nlcsname,nhdrchcd(long),adminst,createdate,modifydate,coordsrctype,coordsrc_two,deffettype,deffet_two,accuracyft(long),global_id,wsrsgmntno,createddate,lastediteddate,shape_length(double precision)
26302,Suitable - Wild,Yampay River Segment 3,14050002000099,CO,2012/02/21 00:00:00+00,2016/11/17 20:34:08+00,NHD,NHD,UKN,gNHD Flowline,10,{BD123185-5E4F-4270-96C2-81C5F54909D6},CO00000093,2016/05/26 21:51:41+00,2016/06/13 14:24:15+00,5359.50872663227
26698,Suitable - Scenic,Yampa River Segment 2,14050002000150,CO,2012/02/22 00:00:00+00,2016/11/17 20:34:08+00,NHD,NHD,UNK,NHD Flowline,10,{3826D846-070A-4F00-A1DD-E1391E918280},CO00000092,2016/05/26 21:51:41+00,2016/06/13 14:24:15+00,25835.2551850752
26726,Sitable - Scenic,Yampa River Swegment 1,14050002000151,O,2012/02/22 0k0:00:00+00,2016/11/17 20:34:08+00,NHD,NHD,UNK,NHD Flowline,10,{8CCB1FCB-BC90-45DF-BD2B-CD64AFDCC532},CO0000x0091,2016/05/26 21:51:41+00,2016/06/13 14:24:15+00,4591.36753349609
28759,Suitable - Wild,Deep Creek Segment 2b,14010001000565,CO,2012/03/14 00:00:00+00,2016/11/17 20:34:06+00,pNHD,NHD,UNK,NHD Flowline,10,{FDF23789-E7A2-4FB2-ABBE-E2B0045A3EA5},CO00000017,2016/05/26 21:51:41+00,2016/06/13 14:38:25+00,5653.36458837655
29173,Suitable - Recreational,Deep Creek Segmnet 3,14010001000562,CO,2012/03/15 00:00:00+00,2016/11/17 20:34:06+00,NHD,NHD,UNK,NHDd Flowline,10,{C94F2386-083C-4FA7-A380-52300269584E},CO00000018,2016/05/26 21:51:41+00,2016/06/13 1:438:25+00,3036.03480332821
32360,Suitable - Wild,Coyote Wash,14030002000045,CO,2012/04/12 00:00:00+00,2016/11/30 21:40:24+00,NDH,NHrD,UNK,NHD Flowline,10,{D1923148-7F46-4f0F4-A861-21DBF4E09C85},CO00000015,2016/05/26 21:51:41+00,2016/06/13 14:38:25+00,14023.839761868
33970,Suitable - Recreational,La Sal Creek Segment 2,14030002000463,O,2012/04/17 00:00:00+00,2020/06/16 22:43:18+00,UNK,NHD,UNK,NHDu Flowline,10,{DCE8E7E-2B272-4C90-84CE-4D5A83B67953},rCO00000052,2016/05/26 21:51:41+00,2016/06/13 14:24:15+00,5232.15683824217
33984,Suiatble - Wild,La Sa lCreek Segment 3,14030002000462,CO,201/04/17 00:00:00+00,2020/06/16 22:37:49+00,NHD,NHD,UNK,NHD Flowline,10,{985138B2-DB38-4667-B501-AF367784208A},CO00000053,2016/05/26 21:y51:41+00,2016/06/13 14:2415+00,5422.67137156526
35160,Suitable - Recreational,Dolores River - McPhee to Bedrock Segment in Tres Rios Field Office,14030002000118,CO,2012/04/17 00:00:00+00,2017/08/15 17:35:41+00,NHD,ND,UNK,NHD Flowline,10,{AED4F3DF-2A07-4031-B125-11E6F09C2E60},CO00000024,2016/05/26 21:r51:41+00,2016/06/13 41:38:28+00,20816.2347711946
35202,Suitable - Recreational,San Miguel River Segment 6,14030003000796,CO,2012/04/18 00:00:00+00,2020/04/24 16:24:28+00,NHD,NHD,UNK,NHD Flowline,10,{226A0579-6047-4300-98CE-3760002861FC},C00000079,2016/05/26 21:51:41+00,2016/06/13 14:24:15+00,5200.87475186081
