sexraceethnicity,sex,raceethnicity,year,percentage,count,noteon_percent,noteon_count
Total ,,,2009,18.0,9214,,
Total ,,,2010,18.7,9701,,
Total ,,,2011,19.9,10348,,
Total - Male,Male,,2009,28.5,7490,,
Total - Male,Male,,2010,30.5,8114,,
Total - Male,Male,,2011,32.7,8707,,
Total - Female,Female,,2009,6.9,1724,,
Total - Female,Female,,2010,6.3,1587,,
Total - Female,Female,,2011,6.5,1640,,
"Total - White, non-Hispanic",,"White, non-Hispanic",2009,5.4,1658,,
"Total - White, non-Hispanic",,"White, non-Hispanic",2010,6.0,1768,,
"Total - White, non-Hispanic",,"White, non-Hispanic",2011,6.4,1860,,
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2009,74.1,5610,,
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2010,77.3,5840,,
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2011,81.9,6216,,
Total - Hispanic,,Hispanic,2009,17.0,1620,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
Total - Hispanic,,Hispanic,2010,16.3,1737,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
Total - Hispanic,,Hispanic,2011,17.2,1872,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2009,4.9,101,,
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2010,4.3,105,,
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2011,6.1,146,,
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2009,13.2,11,,
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2010,15.4,16,,
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2011,19.2,20,,
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2009,5.2,25,,
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2010,8.4,38,,
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2011,10.7,49,,
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2009,18.4,188,,
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2010,15.2,197,,
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2011,13.6,184,,
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2009,8.9,1394,,
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2010,10.2,1529,,
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2011,10.8,1622,,
"Total - Male, Black, non-Hispanic ",Male,"Black, non-Hispanic ",2009,115.6,4433,,
"Total - Male, Black, non-Hispanic ",Male,"Black, non-Hispanic ",2010,125.9,4784,,
"Total - Male, Black, non-Hispanic ",Male,"Black, non-Hispanic ",2011,132.5,5073,,
"Total - Male, Hispanic",Male,Hispanic,2009,28.1,1398,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Male, Hispanic",Male,Hispanic,2010,27.0,1506,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Male, Hispanic",Male,Hispanic,2011,29.3,1660,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2009,8.4,87,,
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2010,7.0,86,,
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2011,10.7,131,,
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2009,16.5,7,,
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2010,30.0,16,,
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2011,37.4,20,,
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2009,8.2,20,,
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2010,13.2,31,,
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2011,18.2,43,,
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2009,29.0,150,,
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2010,25.0,160,,
