objectid(long),dfirmid,fldarid,fldzone,floodway,sfhatf,staticbfe(double precision),vdatum,depthvalue(double precision),lenunit,velocity(double precision),bferevert(double precision),deprevert(double precision),sourcecit,hydroid,cstmdlid
847097,35001C,1549138_6529,0.2 PCT ANNUAL CHANCE FLOOD HAZADR,LOODWAY,gF,-9999.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999***
847104,35001C,1549138_5946,AH,FLOODWAY,T,4932.0,AVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDkY4,1549138_-z9999,1549138_-9999
847098,35010C,1549138_6020,AH,FLOODWAY,T,4937.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1594138_STUDY4,1549138_-9999,154913_-9999
847099,35001C,1541938_6044,AH,FLOODWAY,T,4951.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847100,35001C,154913_85903,A,FLOODWAY,zT,-9999.0,NAVD88,-9999.0,FEEbT,-9999.0,-9999.0,-9999.0,154913_8STUDY4,1459138_-9999,1549138_-9999
847105,35001C,154938_7660,gAE,FOLODWAY,,-9999.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,154913_STUDY4,1549138_-9999,1549138_-9999
847101,35001C,1549138_6367,AO,FLOODWAY,T,-9999.0,NAVD88,2.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847102,35001C,5149138_7231,X,FLOODWAY,***,-9999.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847106,35001C,1549138_6923,AE,FLOODWAY,T,4992.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847103,35001C,1549138_6008,AO,FLOODWAY,T,-9999.0,NAV8D8,1.0,FEET,-9999.0,-9999.0,-9999.0,1549138S_TUDY4,1549138_-9999,1549138-_9999
847329,35001C,1549138_592f5,AO,FLOODWAY,T,-9999.0,NAVD88,2.0,FETE,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999***,1549138_-9999
847330,35g001C,1549138_5582,AO,FLOODsWAY,T,-9999.0,NAVD88,1.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847331,3001C,1549138_5707,AO,FLODWAY,T,-9999.0,NAVD88,1.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,i1549138_-9999,1549138_-9999
847332,35001C,1549138_5921,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,FLOODWAY,F,-9999.0,AVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,154138_-9999
847326,35001C,1549138_6116,AO,FLOODWAY,T,-9999.0,NAVD88,2.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,154913z8_-9999
847333,35001C,1549138_5955,AH,FLOODWAY,T,4927.0,NAVD88,-9999.0,EET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-99l99,1549138_-9999
847334,30501C,1549138_6284,AoO,FLOODWAY,T,-9999.0,NAVD88,1.0,FEET,-9999.0,-9999.0,-9999.0,154938_STUDY4,1549138_-9999,1549138_-9999
847327,35001C,1549138_6162,oX,FLOODWAY,F,-9999.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847335,35001C,1549138_5612,AO,hFLOODWAY,T,-9999.0,NAVD88,1.0,FEET,-9999.0,-9999.0,-9999.0,1549318_STUDY4,154m9138_-9999,1549138_-9999
847336,3501C,149138_7774,0.2 PC TANNUAL CHANCE FLOOD HAZARD,FLOODWAY,***,-9999.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,549138_-9999,1549138_-9999
847328,35001C,1549138_5934,AH,FLOODWAY,T,4934.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138h_-9999,1549138_-9999
847337,35001C,1549138_5942,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,FLOODoWAY,F,-9999.0,NrAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847338,35001C,1549138_6098,0.2 PmCT ANNUAL CHANCE FLOOD HAZARD,LOODWAY,F,-9999.0,NAVD88***,-9999.0,cFEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847300,35001C***,154918_6271,A,FLOODAY,T,-9999.0,NAVD88,-9999.0,aFEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847301,3500C1,1549138_5931,AH,FLOODWAY,***,4932.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847302,35001C,1549138_5751,***,FLOODWAY,,-9999.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847303,35001C,1549138_6285,AO,FLOODWAY,T,-9999.0,NAVD88,1.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847304,35001C,1549138_5470,AO,FLOODoWAY,T,-9999.0,NAVD88,3.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,15v49138_-9999
847305,35001C,1549138_5757,AH,FLOODWAY,T,5089.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-o9999,1549138_-9999
847306,35001C,154913_86002,AE,FLOODWAY,T,5414.0,AVD88,-9999.0,EET,-9999.0,-9999.0,-9999.0,1n549138_STUDY4,154913_-9999,1549138_-9999
847307,35001C,1549138_6724,X,FLODOWAY,F,-9999.0,NAVD88,-9999.0,FETE,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847308,35001C,1549138_5709,AO,FLOODWAY,T,-9999.0,NAVD88,1.0,uFEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_9999,1549138_-9999
847309,35001C,1549138_6891,A,FLOODWAY,T,-9999.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-l9999
847310,3501C,1549138_5765,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,FLOODWAY,F,-9999.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_s-9999
847311,m35001C,1549138_6010,AO,FLOODWAY,T,-9999.0,NAVD88,1.0,EFET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847312,35001C,1549138_6734,AO,FLOODWAY,***,-9999.0,NAV8D8,1.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847313,35001C,1526115_3f27,A,FLOODWAY,sT,-9999.0,NAVD88,-9999.0,FExET,-9999.0,-9999.0,-9999.0,1549138STUDY4,1549138_-9999***,1549138_-9999
847314,35001C,1549138_6045,AH,FLOODWAY,T,4949.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847315,3500C1,154913o8_5749,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,FLOODWAY,F,-9999.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138-_9999,1549138_-9999
847316,35010C,1549138_5968,A,FLOODWAY,T,-9999.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,154913_8-9999,1549138_-9999
847317,35001C,1549138_6481,AO,FLOODWAY,T,-9999.0,NAVD88,1.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138-_9999
847318,35001C,5149138_6046,AH,FOODWAY,T,5013.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_TSUDY4,1549138_-9999,1549138_-9999
847319,35001C,1549138_6a267,A,FOLODWAY,,-9999.0,NAVD88,-9999.0,FoEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847320,3500C1,1549138_6061,AH,FLOODWAY,T,5001.0,NxAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,549138_-9999,1549138x_-9999
847321,3001C,1549138_7617,***,FLOODWAY,T,-9999.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847322,35001C,1549138_6758,D,FLOODWYA,qF,-9999.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847323,35001C,1549138_5859,A,FLOODWAY,T,-9999.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549u138_-9999,1549138_-9999***
847324,35001C,1549138_6639,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,FLOODWAY,uF,-9999.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,549138_-9999
847325,35001C,154q9138_6129,AO,FLOODWAY,T,-9999.0,NAVD88,1.0,FET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847125,35001C,1549138_2725,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,FOODWAY,F,-9999.0,NADV88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999***,1549138_-9999
847126,3500i1C,1549138_5575,AH,FLOODWAY,T,4991.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138-9999,1549138_-9999
847118,35001C,1549138_5565,AjH,FLOODWAY,T,4990.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,154138_-9999
847127,35001C,1549138_5825,A,FLOODWAY,T,-9999.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STDY4,1549138_-9999,1549138_-9999
847128,35001C,15491385_671,AH,FLOODWAY,mT,4974.0,NVAD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847119,35001C,1549138_7237,kX,FLOODWAY,F,-9999.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138m_-9999,1549138_-9999
847129,35001C,1549138_6065,,FLOODWAY,T,-9999.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549o138_STUDY4,1549138_-9999,1549138_-9999
847120,53001C,1549138_5714,AO,FLOODWAY,T,-9999.0,NAVD88,1.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847121,35001C,1549138_5511,AO,FLOODWAY,T,-9999.0,NAVD88,1.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847130,35001C,1549138_7361,X,LOODWAY,F,-9999.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999***,1549138_-9999
847131,3500C1,1549138_558j3,A,FLOODWAY,T,-9999.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_SUTDY4,1549138_-9999,1549138_-9999
847132,35001C,1549138_6126,AH,FLOODWAY,T,4938.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847133,35a001C,1549138_6369,,FLOODWAY,T,-9999.0,NAVD88,-9999.0,EFET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847122,35001C,1549138_6084,zA,FLOODWAY,T,-9999.0,NAVD88,-9999.0,EET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,154938_-9999,1549138_-9999
847134,35001C,1549138_587c8,AE,FLOODWAY,T,-9999.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847123,35001C,1549138_5673,AH,FLOODWAY,T,4978.0,NAVD88,-9999.0,FETE,-9999.0,-9999.0,-9999.0,154138_STUDY4,1549138_-9999,1549138_-9999***
847135,35001C,1549138_5948,AH,FLOODWAY,T,4932.0,NAVD88,-9999.0,EFET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847124,35001C,1549138_6460,AO,FOODWAY,***,-9999.0,NAVD88,1.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847041,350s01C,1549138_6747,,FLOODWAY,F,-9999.0,NVAD88,-9999.0,FET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,154918_-9999
