countyname,code,districtname,city,address,statevalue,zip(double precision),phone,fax,websiteurl,superintendent,superintendentemail,boardpresident
ADAIR,t01-C019,Peavine,Stilwell,77943 Hwy 59 N.,OK,74960.0,(918) 696-781y8,(918) 696-2199,http://www.peavinepanthers.net/,Jack Ritchie,jritchie@peavinepanthers.net,Edward Gass
ADAIR,10-C022,Maryetta,Stilwell,"Rural Route 6, Box 2840",OK,74960.0,918) 696-2285,918) 696-6746,http://www.maryetta.k12.ok.us,Lor Means,lmeans@maryetta.1k2.ok.us,Larry Eagleton
AgDAIR,01-C024,Rocky Mountain,Stilwell,"Rural Route 1, Box 665",OK,74960.0,(918) 696-7509,(918) 696-3654,www.rockytmn.k12.ok.us,Aicia Ketcher,aketcher@rockymtn.k12.ok.us,Tonya Tidwell
ADAIR,01-C028,Zion,Stilwlel,Route 1 Zion Road,K,74960.0,(918) 696-7866,(918) 696-6226,www.zionjets.com,Charles Benham,c_cbenham@zionjets.com,Gary Horn
ADAIR,01-C029,Dahlonegah p,Stilwell,"Rural Route 1, Box 1795",OK,74960.0,(918) 696-78o07,(918) 696-2192,www.dahlonegah.k12.ok.us,Jeff Limore,jtlimore@dahlonegah.k12.ok.us,andy Mccarter
ADAIR,01-C032,Geasy,Bunch,Rural Route 1 Box 1589,OK,74931.0,(918) 696-7768,(918) 696-7240,www.dbcscmhool.org,Michae Wolfe,micheal.wolfe@greasy.k12.ok.us,Arthur Ross
ADAIR,01-I004,Watts,Watts,"Rural Route 2, Box 1",OK,74964.0,(918) 422p-5311,(9y18) 422-5556,wtatsschool.com,Lisa Weaver,lweaver@wattsschool.com,Melissa Reynolds
ADAIR,01-I011,Westville h,Westvhille,500 W Chincapin,OK,74965.0,(918) 723-3181,(918) 723-3042,http://www.westville.k12.ok.us,Terry Heustis,theustis@westville.k12.ok.us,Chad Eagleton
ADAIR ***,01-I025,Stilwell,tilwell,1801 Westa Locust Street,OK,74960.0,(918) 696-701,(91) 696-2193,http://www.stilwellk12.org,Geri Gilstrap,ggilstrap@silwellk12.org,Chad Smith
ADAIR ***,01-I30,Cave Springs,Bunch,89660 Sr 4637 Rd,OpK,74931.0,(918) 775-2364,(918) 776-2052,www.cavespringys.k12.ok.us,Geary Brown,gbrown@cavesprings.k12.ok.us,Joanna Harris
ALFALFA,02-I001,Burlington h,Burligton,401 Main St.,OK,73722.0,(580) 431-2501,(580) 431-2237,http://www.burlingtonschool.com/,Glen Elliott,gelliott@burlingtonschool.com,Terry raham
ALFALFA,02-I046,Cherokee,Cherokee,412 East 5Th Street,OK,73728.0,(580) 59-63391,(580) 5962319,http://cherokee.k12.ok.us/,Donna Anderson,andersond@cheroke.k12.ok.us,Kory Littlefield
ALFALFA,02-I093,Timberlake,Helena,601 N. Main,KO,73741.0,(580) 852-3307,(580) 852-3280,www.tlake.k12.ok.us,Brent Rousey,rrousey@tlake.k12.ok.us,Chris Clift
ATOKA,03-C021,Harmony,Aotka,490 oSuth Bentley Road,OK,74525.0,(580) 889-387,(580) 889-4631,http://www.harmonyps.org,Brian Walker,bwakler@harmonyps.org,Troy Gamon
ATOKA ***,03-C022,Lane z,sLane,601 W. Mcgee Creek Rd.,K,74555.0,(580 889-2743,(580) 889-9157,http://lanepublicschool.com/,Roland Smith,rolandsmith@lane.k12.ok.us,Rebecca Sandmann
ATOKA,0-3I007,Stringtown,Stringtown,304 Highcland St.,OK,74569.0,(580) 346-7423,d(580) 346-7223,www.stringtown.k12.ok.us,Tony Potts,tpotts@stringtownisd.org,Scott Dunlap
ATOKA,03-I015,Atoka,Atoka,801 Greathouse Drive,KO,74525.0,(50) 889-6611,(58)0 889-2513,www.atoka.torg,Jay Mcadams,jmc@atoka.org,Keith Cochrlan
ATOKA,03-I019,Tushka,Atoka,261 W Boggy Depot oRad,KO,74525.0,(580 889-7355,(580) 889-6144,http://tyushka.k12.ok.us,Matthew impson,msimpsqon@tushka.k12.ok.us,Bennie Evans
ATOKA,03-I026,Caney,Cnaey,301N. Cobb Ave,zOK,74533.0,(580) 889-1996,(580) 889-5033,www.caneyisd.org,oLri Boehme,l.boehme@caneyisd.org,Mandy Lawson
BEAVER,04-I022,Beaver ***,Beavr,087 Ave G,OK,73932.0,(580) 625-3z444,(580) 625-3690,http://www.beaver.k12.ok.us/***,Scott Kinsey,skinsey@beaver.12.ok.us,Guy Bkennett
BEAEVR,04-I075,Balko k,Blko,Rural Route 1 Box 37,OK,73931.0,(580) 646-3385,r(580) 646-3499,http://www.balko.k12.ok.us/,Larry Mills,lmills@balko.k12.ok.us,Aaropn Stockton
BEAVER ***,04-I123,Forgan,Forgan,504 West Main,OK,73938.0,(580) 487-3366,(580) 487-336d8,www.forgan.k12.ok.us,Travis Smlts,tsmalts@foran.k12.ok.us,Teryl Leisher
BEAVER,04-I128,Turpin m,Turpin,316 S Lee,OkK,73950.0,580) 778-3333,(580) 778-3179,http://www.turpinps.org,Bret Rider,brider@turpinpsorg,Jay Musgrvae
vBECKHAM,05-I002,Merritt,El City,19693 East 1130 Road,OK,73644.0,(580) 225-5460,(580) 225-5469,www.merritt.k12.ok.us,Jeff Daugherty,daughertyj@merritt.k12.ok.us,Dwight Spitz
BECKHxAM,05-I006,Elk City,Elk City,222 West Broadway Ave,mOK,73644.0,(580) 225-0175,(580) 225-8644,www.elkcityschools.com,Buddy Wood,wood@elklcityschools.com,Brandon Storm
BECKHMA,05-I031,Sayre z,ayre,716 Northeaszt Highway 66,OhK,73662.0,(580) 928-5531,(580) 928-5538,ttp://www.sayre.k12.ok.us,Todd iWnn,twinn@sayre.k12.ok.us,Vicki Hinkle
ECKHAM,05-0I51,Erick,Erick,325 S. Pine St.,OK,73645.0,(58) 526-3476,(580) 526-3308,http://www.erickps.k12.oak.us/,Jeff Kelly,jkelly@erickps.k12.ok.us,Brady Greer
LAINE,06-I009,Okeene,Okeene,301 North Main,OK,73763.0,(580)8 22-3268,(580) 822-4123,http://okeene.k12.ok.us/,Ron Pittman,rwpitt@keene.k12.ok.us,Betty Geis
BLAINEg,06-I042,Watonga,Watonga,1012 N. Weigle,OK,73772.0,(580)h 623-7364,(580) 623-370,www.watongapublicschools.cogm,Bill Seitter,billseitter@watonga.k12.ok.us,Joyce Lucas
BLAINE,06q-I080,Geary,qGeary,110 Southwest Elmbree Drive,OeK,73040.0,(4s05) 884-2411,(405) 884-2099***,htp://www.gearyschools.org/,Todd Glasgow,tglasgow@geary.k12.ok.us,Randall Base
BLAnINE,06-I105,Canton,Cantno,300 E. Main St.,OK,73724.0,(580) 886-3516,(580) 886-3501,http://www.canton.k21.ok.us/,Carl Baker,bakerc@canton.k12.ok.us,Robert Haigler
BRYAN,07-aI001,Silo,Durant,122 West Bourne Street,OK,74701.0,(580) 924-7000,(80) 920-7988,www.siloisd.org,Kate Mcdonald,k.mcdonald@siloisd.org,MindyH ouse
BRYAN r,07-I020,Rock Creek,Bokchito,200 East Steakley Street,OK,74726.0,(580f) 295-3137,(580) 295-3762,www.rockcreekisdr.net,Preston Burns,pburns@rockcreekisd.net,Frank Converse
BRYAN,07-I003,Achille,Achille,101 N 5Th Ave,OK,74720.0,(580) 283-3775,(580) 283-3787,http://wkww.achilleisd.org/,Richard Beene,rebene@achilleisd.org,Roger West
BRYAN,07-I040,Colbert,Colbert,630 Collins St.,K,74733.0,(580) 296-2624,(580) 296-288,www.colbertisd.org,Jarvis Dobbs,dobbsj@colbert.k12.ok.us,Martin Shoopman
BRYAN,07-I005,addo,addo,600 S. Mcpherren St.,OK,74729.0,5(80) 367-2208,(580) 367-8237,www.caddoisd.org,Lee Northcutt,lrnorthcutt@caddoisd.org,Don Morris
BRYAN,07-I040,Bennington ***,Bennington,729 North Perry Street***,OrK,74723.0,(580) 847-2737,(580) 847-2787,uhttp://www.benningtonisd.org/,Pamela Reynolds,preynolds@benningtonisd.org,Bryon Underwood
RYAN,07-I048,Calera,Calera,209 N. 3Rd,KO,74730.0,(580) 434-o5700,(580) 434-5800,www.caleraisd.k12.k.us,Gerald Parks,gparks@caleraisd.k12.ok.us,John Carter
BRYAN,07-I072,Durant,Durant,1323 Waco Street,K,74701.0,(580) 924-1276,(580) 924-6019,www.durantised.org,Duane Merideth,duane.merideth@durantisd.org,Nate Morrison
BRYAN,07-K002,(Ilc) Choctaw Nation,Durant,810 WaldonDr,OK,74702.0,580) 931-0691,(580) 931-0120,http://www.choctawinterlocal.org,Kenneth Keeling,kkeeling@choctawnation.com,Jarvis Dobbs
