466.city,nFoyil,Foyil
136.code,20-I0s26,20-I026
342.countyname,OKLAOMA    ,OKLAHOMA    
106.websiteurl,www.sterling.k12.okm.us,www.sterling.k12.ok.us
29.fax,(580) 623-370,(580) 623-7370
319.code,51-iI029,51-I029
509.websiteurl,www.dbcschopol.org,www.dbcschool.org
449.code,64-015,64-C015
167.boardpresident,BrettAgee,Brett Agee
113.city,Temfple,Temple
497.fax,(580) 658n-8006,(580) 658-8006
382.boardpresident,John Storm,John Strom
201.districtname,Duke                          ***,Duke                          
131.statevalue,OcK,OK
58.superintendentemail,cmcvay@elreynops.org,cmcvay@elrenops.org
519.boardpresident,Kennteh James,Kenneth James
505.districtname,Tyrone                       ,Tyrone                        
455.countyname,ROGER MILLSo ,ROGER MILLS 
66.boardpresident,Daryl Howard,Darryl Howard
20.districtname,Beaver                        ***,Beaver                        
428.superintendent,Tod dCrabtree,Todd Crabtree
51.boardpresident,racey Ingram,Tracey Ingram
417.superintendent,Rodney Kagrch,Rodney Karch
296.fax,(580) b286-8276,(580) 286-8276
498.superintendent,David kWayne Eads,David Wayne Eads
27.websiteurl,http://www.erickps.k12.oak.us/,http://www.erickps.k12.ok.us/
296.phone,(50) 286-7639,(580) 286-7639
177.boardpresident,Eddie aRthbun,Eddie Rathbun
262.statevalue,qOK,OK
468.superintendentemail,cbryan@justcie.k12.ok.us,cbryan@justice.k12.ok.us
412.phone,(918 426-4700,(918) 426-4700
511.superintendentemail,espaulding@grandfield.k12.oku.s,espaulding@grandfield.k12.ok.us
545.websiteurl,http://www.bfdc.k12.ok.u/s,http://www.bfdc.k12.ok.us/
332.countyname,OKFUSEE    ,OKFUSKEE    
35.fax,(580) 296-288,(580) 296-2088
336.boardpresident,eKlli Mitchell,Kelli Mitchell
224.phone,(405) 729-4125,(405) 729-4215
107.countyname,COMANCHE   ,COMANCHE    
328.boardpresident,Riqck Holland,Rick Holland
204.boardpresident,Bryan Wailker,Bryan Walker
239.fax,918) 653-2525,(918) 653-2525
219.address,20p1 East Blackwell Ave,201 East Blackwell Ave
317.phone,9(18) 687-7556,(918) 687-7556
252.districtname,Howe            l              ,Howe                          
221.websiteurl,www.tonkawa.k12.oks.us,www.tonkawa.k12.ok.us
4.superintendentemail,c_cbenham@zionjets.com,c_benham@zionjets.com
255.boardpresident,Joseph Iryb,Joseph Irby
33.websiteurl,www.rockcreekisdr.net,www.rockcreekisd.net
515.superintendentemail,cwilliams@tulsalegacy.rog,cwilliams@tulsalegacy.org
129.statevalue,KO,OK
15.statevalue,K,OK
479.code,8-C001,68-C001
101.websiteurl,http://www.tuplo.k12.ok.us,http://www.tupelo.k12.ok.us
180.websiteurl,www.iverdenschools.org,www.verdenschools.org
246.websiteurl,httpl://www.panama.k12.ok.us/,http://www.panama.k12.ok.us/
30.address,110 Southwest Elmbree Drive,110 Southwest Embree Drive
84.fax,(580) 326i-9236,(580) 326-9236
304.districtname,(Ilc) Southeastern Oklalhoma   ,(Ilc) Southeastern Oklahoma   
127.fax,(91s8) 352-4379,(918) 352-4379
135.statevalue,K,OK
453.statevalue,K,OK
269.superintendentemail,bsoie@turnerisd.org,bsolie@turnerisd.org
233.fax,(918) 645-3086,(918) 465-3086
114.statevalue,K,OK
279.superintendent,Melinsda Fink,Melinda Fink
79.address,26106 aEst 863 Road,26106 East 863 Road
192.websiteurl,https://www.stigler.k12.o.kus,https://www.stigler.k12.ok.us
503.phone,(5n80) 888-4258,(580) 888-4258
202.city,Alts,Altus
81.statevalue,OfK,OK
230.boardpresident,Scott Keewsee,Scott Keesee
209.code,34-0I23,34-I023
411.phone,(918) 225-5e600,(918) 225-5600
371.boardpresident,oDrilynn Gimondo,Dorilynn Gimondo
5.boardpresident,andy Mccarter,Randy Mccarter
498.superintendentemail,d.eahds@braydoyle.k12.ok.us,d.eads@braydoyle.k12.ok.us
547.districtname,Cordell                e       ,Cordell                       
170.phone,(405) 24-3822,(405) 224-3822
130.phone,(918) 234-5466,(918) 324-5466
242.fax,(91) 653-7843,(918) 653-7843
70.superintendent,Lrary Case,Larry Case
93.superintendent,Brandon Vsos,Brandon Voss
474.statevalue,K,OK
153.address,602 South Hickroy,602 South Hickory
32.code,07-aI001,07-I001
57.statevalue,K,OK
99.statevalue,OkK,OK
427.city,Aa,Ada
195.districtname,Moss                         ,Moss                          
373.city,Okmugee,Okmulgee
360.fax,(4m05) 478-4698,(405) 478-4698
248.city,Poteeau,Poteau
490.countyname,SEUOYAH    ,SEQUOYAH    
284.city,Choteau,Chouteau
263.city,Gutrie,Guthrie
55.countyname,CANADIAwN    ,CANADIAN    
452.boardpresident,Jason Baggzett,Jason Baggett
245.city,ameron,Cameron
241.websiteurl,www.spiro.k12.okv.us,www.spiro.k12.ok.us
54.boardpresident,Deeforest Tallbear,Deforest Tallbear
233.countyname,sLATIMER     ,LATIMER     
186.phone,(580)5 35-2104,(580) 535-2104
204.code,33I035,33-I035
173.superintendentemail,dcash@chickashae.k12.ok.us,dcash@chickasha.k12.ok.us
330.code,5-C029,54-C029
144.fax,(918) 688-3103,(918) 868-3103
313.fax,(918) 47-3744,(918) 474-3744
248.address,100M ockingbird Lane,100 Mockingbird Lane
30.websiteurl,htp://www.gearyschools.org/,http://www.gearyschools.org/
435.districtname,Pleasant Grove                ***,Pleasant Grove                
357.code,5-I007,55-I007
433.websiteurl,www.nrc.k12ok.us,www.nrc.k12.ok.us
338.address,3232 Nw 6T5h,3232 Nw 65Th
539.boardpresident,BrianJones,Brian Jones
353.superintendent,Frqed Rhodes,Fred Rhodes
495.statevalue,OxK,OK
462.fax,(918y) 789-3271,(918) 789-3271
10.countyname,ADAIR       ***,ADAIR       
363.statevalue,K,OK
