objectid,nlcsid,wsrctgy,nlcsname,casefileno,nhdrchcd,adminst,coordsrctype,deffettype,accuracyft,global_id,wsrsgmntno,shape_length
1,NLCS002661,Suitable - Wild,Virgin River,UNK,UNK,AZ,UNK,UNK,-1,{7D399188-A3BC-4A07-B638-FB98E977E98E},AZ00000033,4697.36294861521
2,NLCS002661,Suitable - Scenic,Virgin River,UNK,UNK,AZ,UNK,UNK,-1,{4DDAF2D4-596E-46F0-AFA2-2AE05F3CE341},AZ00000034,10894.4837407638
3,NLCS002662,Suitable - Wild,Paria River,UNK,UNK,AZ,UNK,UNK,-1,{48AA2482-0A71-477B-8C98-FFA90A96F128},AZ00000025,42012.4989358106
4,NLCS002662,Suitable - Scenic,Paria River,UNK,UNK,AZ,UNK,UNK,-1,{F0EA5D10-9F30-4A53-AA8A-449AFB2657DA},AZ00000026,5260.12535754329
5,NLCS002664,Suitable - Wild,Big Sandy River,UNK,UNK,AZ,UNK,UNK,-1,{4FD2F7BE-DF07-4925-A8AB-8D7866666894},AZ00000006,14733.2919388369
9,NLCS002665,Suitable - Wild,Santa Maria River,UNK,UNK,AZ,UNK,UNK,-1,{5AA3EC9D-F796-4F69-B977-D52EC6EB24D8},AZ00000028,28253.3453912905
10,NLCS002666,Suitable - Wild,Bill Williams River,UNK,UNK,AZ,UNK,UNK,-1,{FAC23E4F-0349-4A1D-9431-1861C9E61CEC},AZ00000007,15670.1664808532
11,NLCS002666,Suitable - Scenic,Bill Williams River,UNK,UNK,AZ,UNK,UNK,-1,{6BA030E3-8CB4-4C96-A3F8-AD3AA95F141C},AZ00000008,8052.65088009244
12,NLCS002666,Suitable - Wild,Bill Williams River,UNK,UNK,AZ,UNK,UNK,-1,{781BC236-198D-4490-A9C0-04B128CC511E},AZ00000009,9782.40414172643
13,NLCS002663,Suitable - Wild,Agua Fria River,UNK,UNK,AZ,UNK,UNK,-1,{313B5AE5-039A-4B15-AE2C-2CA076713F2B},AZ00000001,16734.9072318588
14,NLCS002663,Suitable - Scenic,Agua Fria River,UNK,UNK,AZ,UNK,UNK,-1,{F5D8E725-E176-4BC5-9408-51B2B16B465E},AZ00000002,12041.7755758513
15,NLCS002663,Suitable - Scenic,Agua Fria River,UNK,UNK,AZ,UNK,UNK,-1,{3B2AD071-50EB-4DE0-ABBD-E7FD1CA53EC6},AZ00000003,6252.27203747661
16,NLCS002674,Suitable - Recreational,San Pedro River,UNK,UNK,AZ,UNK,UNK,-1,{90A6D40C-2823-445A-99ED-0D846D9AF1BB},AZ00000027,73760.7370799822
17,NLCS002672,Suitable - Scenic,Cienega Creek,UNK,UNK,AZ,UNK,UNK,-1,{641CF9DB-0D26-48D6-8733-BD8E9DFB251B},AZ00000014,14652.5668450293
19,NLCS002667,Suitable - Wild,Aravaipa Creek,UNK,UNK,AZ,UNK,UNK,-1,{538DC648-A2F5-4CC6-B255-5B6CCEB37504},AZ00000004,15291.1383010782
20,NLCS002668,Suitable - Recreational,Bonita Creek,UNK,UNK,AZ,UNK,UNK,-1,{58B4BF30-AA6A-41FB-9049-54AAA3AECAF5},AZ00000012,13487.1999679435
21,NLCS002671,Suitable - Recreational,Lower San Francisco River,UNK,UNK,AZ,UNK,UNK,-1,{6CE43709-BC7C-4BBC-A686-32969D6C0752},AZ00000024,10387.3374759934
22,NLCS002673,Suitable - Recreational,Gila River (Gila Box),UNK,UNK,AZ,UNK,UNK,-1,{0995BA67-A950-4104-A262-D594296BE50D},AZ00000015,11000.4237948714
23,NLCS002673,Suitable - Scenic,Gila River (Gila Box),UNK,UNK,AZ,UNK,UNK,-1,{7C5E213A-4DF9-4E84-B80A-FE523FC753E9},AZ00000016,25222.6322999772
24,NLCS002673,Suitable - Recreational,Gila River (Gila Box),UNK,UNK,AZ,UNK,UNK,-1,{8C31D894-CEFC-4034-A5EE-81F672E95FAF},AZ00000017,5971.34500553204
26,NLCS002664,Suitable - Wild,Burro Creek,UNK,UNK,AZ,UNK,UNK,-1,{A07EB5D0-E74C-4F7A-A328-9DAD538BEBE3},AZ00000013,42283.925388631
27,NLCS002673,Suitable - Recreational,Gila River (Middle),UNK,UNK,AZ,UNK,UNK,-1,{0251407C-44BE-4155-9C0A-A1E99B54861C},AZ00000018,11970.79315105
29,NLCS002661,Suitable - Recreational,Virgin River,UNK,UNK,AZ,UNK,UNK,-1,{5B139E4F-5359-43B3-8396-51702F6D6D28},AZ00000032,29762.6160369547
31,NLCS002675,Eligible - Scenic,Ash Creek,UNK,UNK,AZ,UNK,UNK,-1,{A745849A-E5D2-4649-A377-00600EFB3663},AZ00000005,2461.22300294464
32,NLCS002676,Eligible - Scenic,Little Ash Creek,UNK,UNK,AZ,UNK,UNK,-1,{2E40B56D-3D33-461B-B8E7-0436CC37F776},AZ00000021,2928.85008942795
33,NLCS002677,Eligible - Scenic,Sycamore Creek,UNK,UNK,AZ,UNK,UNK,-1,{819B38B0-E2C6-4B78-9298-2E9D2087A383},AZ00000030,5380.28559161342
34,NLCS002678,Eligible - Scenic,Indian Creek,UNK,UNK,AZ,UNK,UNK,-1,{18CCAEB0-FB77-4BA4-967D-63327EB7D4AE},AZ00000019,10170.6063493218
35,NLCS002679,Eligible - Scenic,Silver Creek,UNK,UNK,AZ,UNK,UNK,-1,{FCB9B3ED-79C2-4D2C-A773-598201F216FA},AZ00000029,8280.02414739672
36,NLCS002680,Eligible - Wild,Bishop Creek,UNK,UNK,AZ,UNK,UNK,-1,{ABE49666-3222-43FB-94E2-D94CAA184D7F},AZ00000010,8707.00449588793
37,NLCS002681,Eligible - Wild,Tank Creek,UNK,UNK,AZ,UNK,UNK,-1,{C84FDBA6-A575-4104-8E42-FD8E72EE2594},AZ00000031,5490.40105061138
38,NLCS002682,Eligible - Wild,Lousy Canyon,UNK,UNK,AZ,UNK,UNK,-1,{CEF32F81-0588-4DBE-8E81-FBD22F2DCA23},AZ00000022,5013.81699240329
39,NLCS002682,Eligible - Wild,Lousy Canyon Tributary,UNK,UNK,AZ,UNK,UNK,-1,{A47482E1-7A9F-413F-A1B6-09E6278E6D3A},AZ00000023,3582.19304188498
40,NLCS002683,Eligible - Wild,Larry Creek,UNK,UNK,AZ,UNK,UNK,-1,{18F36A1F-AA24-478B-A15A-A7A25E00FA39},AZ00000020,5670.99381199431
41,NLCS002681,Eligible - Scenic,Bishop Creek,UNK,UNK,AZ,UNK,UNK,-1,{D5EB150F-3125-4407-B222-41C26E31E32B},AZ00000011,2878.98665965113
42,NLCS002673,Suitable - Recreational,Babocomari River,UNK,UNK,AZ,UNK,UNK,-1,{2CCEE388-CB0A-4412-AE3F-B3EE2B5E1C8D},AZ00000001,6396.49233960336
