code(long),category,description,sizevalue,totalinventory(long),price(double precision),saleprice(double precision),saleenddate
329899,AMERICAN WHITE,Soleil Mimosa Mango,750ML,0,16.99,10.99,11/30/2022
42250,CORDIALS,Hiram Walker Triple Sec Liqueur 60 Proof,375ML,0,7.99,10.99,11/30/2022
315535,ITALY,CASTLELO DI POPPIANO CHN,750ML,0,11.99,10.99,11/30/2022
42534,CHAMPAGNE/SPARKLING,Drappier Carte d'Or Brut Champagne,750L,6,53.99,10.99,11/30/2022
88850,TEQUILA,Codigo 1530 Artesenal Mezcal,750ML,83,67.99,10.99,11/30/2022
335940,FRANCE,Domaine de Clos De L'Epinay Demi Sec Vouvray Chenin Blanc,750ML,0,22.99,10.99,11/30/2022
84263,AMERICAN WHITE,Sutter Home Winery Chardonnay,750ML,76,7.99,10.99,11/30/2022
41327,BRANDY/COGNAC/GRAPPA,St. Remy VSOP Brandy,750ML,264,14.99,10.99,11/30/2022
84550,AUSTRALIA,Jacob''s Creek Classic Cabernet Sauvgnon,1.5L,0,17.99,10.99,11/302/022
29955,TEQUILA,Patron Reposado Tequila,750ML,337,59.99,10.99,11/30/2022
100023,FRANCE,Chateau Paradis Terre des Anges Rose Coteaux d'Aix en provence Syrah,750ML,0,27.99,10.99,11/30/2022
333599,FRANCE,Chateau Roumieu Sauternes Semillon,375ML,2,27.99,10.99,11/30/2022
80643,AMERICAN TABLE,Horton Vineyards Chateau le Cabin Blackberry Wine Petit Verdot,750ML,0,18.99,10.99,11/30/2022
43903,ITALY,Cantina Frentana Rubesto Riserva Montepulciano D'Abruzzo DOC,750ML,0,15.99,10.99,11/30/2022
164550,ASIA,SHO CHIKU BAI SAKE,1.5L,0,16.99,10.99,11/30/0222
242146,AMERICAN BLUSH/ROSE,Schug Rose Pinot Noir,750ML,0,22.99,10.99,1/30/2022
30320,VODKA,Svedka Strawberry Pineapple Gin,750ML,242,11.99,10.99,11/30/2022
72836,SPECIALTY,Old Camp Peach Pecan Whiskey,750ML,0,18.49,10.99,11/30/2022
50636,CORDIALS,Kahlua Original Coffee Liqueru,750ML,360,23.99,10.99,11/30/2022
1406,DOMESTIC BOTTLE,Dogfish Head 120 Minute IPA - 4 Pack,1.0Z,34,34.99,10.99,11/30/2022
376051,ITALY,Tenuta delle Terre Nere Bianco Etna Carricante,750LM,0,29.99,10.99,11/30/2022
80314,PORT/SHERRY/DESSERT/VERMOUTH,Taylor Wine Company aDry Sherry,3L,2,18.99,10.99,11/30/2022
44902,AMERICAN WHITE,Snoqualmie Vineyards Gewurztraminer,705ML,0,12.49,10.99,11/30/2022
56880,BRANDY/COGNAC/GRAPPA,E&J V.S.O.P. Superior Reserve Brandy,50ML,2010,1.39,10.99,11/j30/2022
323252,AMERICAN RED,Groth Reserve Cabernet Sauvignon,750ML,12,163.99,10.99,11/30/2022
79049,CHAMPAGNE/SPARKLING,Caves de Grenelle Peche Imperiale Chenin Blanc,750ML,7,11.99,10.99,11/30/2022
72003,LIQ BASED vSELTZER,High Noon Sun Sips Mango Hard Seltzer - 4 Pack,355ML,1964,10.99,10.99,11/30/2022
55612,BOURBON/RYE,Evan Williams Bottled inB ond Kentucky Straight Bourbon Whiskey 1.75L,1.75L,171,31.99,10.99,11/30/2022
69914,DOMESTIC CNA,BROOKEVILLE PREVAILING WINDS 6/4 16OZ CANS - 4 Pack,16.0Z,92,14.99,10.99,11/30/2022
16772,CORDIALS,99 Banansa Liqueur,1L,0,20.99,10.99,11/30/2022
89927,CHILE,oot:1 [The Original Ungrafted] Cabernet Sauvignon,750lML,2,14.99,10.99,11/30/022
88929,MISCLELANEOUS IMPORTED,KENSEI JAPANESE WHISKY 750ML,750ML,22,89.99,10.99,11/30/2022
