OBJECTID,BLM_ORG_CD,ADM_UNIT_CD,ADMU_NAME,ADMU_LABEL,BLM_ORG_TYPE,APPRV_DT,EFF_DT,PARENT_CD,PARENT_NAME,PARENT_LABEL,GLOBALID,SHAPE_Length,SHAPE_Area
1,ORM07,ORM07000,MEDFORD GRANTS PASS FIELD OFFICE,Grants Pass,Field,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,ORC00000,COOS BAY DISTRICT OFFICE,Coos Bay,{3B0C008B-5E69-449D-B763-DD1EBC598EB1},0.725925685240883,0.021980674784663
2,ORM06,ORM06000,MEDFORD ASHLAND FIELD OFFICE,Ashland,Field,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,ORM00000,MEDFORD DISTRICT OFFICE,Medford,{BEB813EC-1E4F-48F7-BA0C-FD02566F48A6},3.18376856412567,0.395268262328723
3,ORM07,ORM07000,MEDFORD GRANTS PASS FIELD OFFICE,Grants Pass,Field,2015/01/01 00:00:00+00,9999/09/09 00:00:00+00,ORM00000,MEDFORD DISTRICT OFFICE,Medford,{DE2693FB-9949-40F5-BE86-36024358AB3A},4.75164618901862,0.572752334580154
4,ORM05,ORM05000,MEDFORD BUTTE FALLS FIELD OFFICE,Butte Falls,Field,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,ORM00000,MEDFORD DISTRICT OFFICE,Medford,{240B4E82-5F0C-4718-8C7F-2ACB2683AA8C},3.22861036288612,0.385748301113674
5,ORB06,ORB06000,BURNS ANDREWS FIELD OFFICE,Andrews,Field,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,ORB00000,BURNS DISTRICT OFFICE,Burns,{63DEBB5C-6EBB-4DCF-A9CD-52A03E1334C3},6.29144919630684,0.942307630133373
6,ORL04,ORL04000,LAKEVIEW KLAMATH FALLS FIELD OFFICE,Klamath Falls,Field,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,ORL00000,LAKEVIEW DISTRICT OFFICE,Lakeview,{D6B07EB1-D1CD-466A-B61A-F28BFAAE4D6E},5.2803942437626,1.38703061287782
7,ORC04,ORC04000,COOS BAY MYRTLEWOOD FIELD OFFICE,Myrtlewood,Field,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,ORC00000,COOS BAY DISTRICT OFFICE,Coos Bay,{BE1A7006-E4B6-403F-8436-FFA65483749A},5.5003079364745,0.731176438556516
8,ORR05,ORR05000,ROSEBURG DISTRICT SOUTH RIVER FO,South River,Field,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,ORR00000,ROSEBURG DISTRICT OFFICE,Roseburg,{0904A7DA-521F-45A6-828F-897013736370},4.71028143817779,0.511754956188442
9,ORL05,ORL05000,LAKEVIEW DISTRICT LAKEVIEW FIELD OFFC,Lakeview,Field,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,ORL00000,LAKEVIEW DISTRICT OFFICE,Lakeview,{0BD546F4-33A5-4D0A-97F2-871F3A85ABBE},8.09874581303784,2.66841964187299
10,ORR04,ORR04000,ROSEBURG DISTRICT SWIFTWATER FO,Swiftwater,Field,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,ORR00000,ROSEBURG DISTRICT OFFICE,Roseburg,{59C558D3-8246-459B-9B83-0FFEA0863A0E},6.05978410056451,0.694896626830664
11,ORC03,ORC03000,COOS BAY UMPQUA FIELD OFFICE,Umpqua,Field,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,ORC00000,COOS BAY DISTRICT OFFICE,Coos Bay,{DF4A76C5-B2F2-44EC-9043-D912908FE000},4.74484397316185,0.616739091351644
12,ORB05,ORB05000,BURNS THREE RIVERS FIELD OFFICE,Three Rivers,Field,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,ORB00000,BURNS DISTRICT OFFICE,Burns,{494BB9B2-9970-49D7-8C04-14EFB3979D18},7.69863769213632,1.64236923825147
13,ORN03,ORN03000,NW OREGON SIUSLAW FIELD OFFICE,Siuslaw,Field,2016/02/11 00:00:00+00,9999/09/09 00:00:00+00,ORN00000,NW OREGON DISTRICT OFFICE,NW Oregon,{87143E7B-115F-4F53-882A-16D512186BF5},4.02389657466055,0.49196782412109
