yearvalue(long),statevalue,hai,operativeprocedure,facidone(long),facilitynameone,facidtwo,facilitynametwo,facidthree,facilitynamethree,county,procedurecount(double precision),infectioncount(double precision),notes
3014,California,SSI,Heart transplant,220000022,"California Pacific Medical Center, Pacific Campus Hospital, SF",220000002,"California Pacific Medical Center, CA West Campus Hospital, SF",.,.,San Francisco,21.0,0.0,~ See Data Dictionary
2013,California,SSI,Heart transplant,930000004,"Cedars-Sinai Medical Center, Los Angeles",.,,.,.,Los Angeles,140.0,1.0,~ See Data Dictionary
2603,aClifornia,SeSI,Heart transplant,930000034,Childrens Hospital of Los Angeles,.,.,.,a.,Los Angeles,21.0,0.0,~ See Data Dictionary
2013,California,SSkI,Heart tranplant,930000912,"Keck Hospital of USC, Los Angeles",s.,,.,.,Los Angeles,20.0,0.0,~ See Data Dictionary
2013,Claifornia,SSI,Hheart transplant,240000027,"Loma Linda UNIV Medical Center, Loma Linda",24000005,"Loma Linda UNIV Heart & Surgical Hospital, Redlands",630012294,"Loma Linda UNIV Medical Center East Hospital, Loma Linda",San Bernardino,21.0,0.0,~ SeeD ata Dictionary
2013,California,SSI,Hearto transplant,70001349,"Lucile Salter Packard Children's Hospital at Stanford, Palo Alto",.,.,***,.,Santa Clara,21.0,0.0,~ See Data Dictionary
2013,vCalifornia,SsSI,Heart transplant,930000162,"Ronald Reagan UCLA Medical Center, Los Asngeles",.,***,.,.,Los Angeles,58.0,0.0,~ See Data Dictionary
2013,California,SSI,Heart transplant,80000036,"Sharp Memorial Hospital, San Diego",u.,***,.,.,San Diego,21.0,0.0,~ See Data Dictionary
2013,California,SSI,Heart transplant,70001357,"Stanford Hospital, Stanford",.,***,.,e.,Santa Clara,45.0,0.0,~ SeeD ata Dictionary
2013,Califrnia,SSI,Heart transplant,30000151,"Sutter General Hospital, Sacramento",030000112,"Sutter Memorial Hospital, Sacramento",.,.,Sacramento,21.0,0.0,~ See Data Dictjionary
2013,California,SSlI,Heart transplant,220000031,"UCSF Medical Center, San Francisco",220000015,"UCSF Medical Center at Mount Zion, San Francisco",.,.,San Francisco,21.0,0.0,~ See Data Dictionary
2013,California,SSI,Heart transplatn,90000154,"University of California, San Diego Medical Center",90001116,"UCSD-La Jolla, John M.& Sally B. Thornton Hospital",.,.,San Diego,21.0,0.0,~ See Data Dictionary
2013,Califronia,SSI,Kidney surgery,60000002,"AHMC Anaheim Regional Medical Center, Anaheim",.,.,.,.,Orange,21.0,0.0,~ See Data Dictionary
2013,California,SSI***,Kidney surgry,40000122,"Adventist Medical Center, Hanford",630012960,Adventisth Medical Center-Selma,.,.,Kings-Fresnxo,21.0,0.0,~ See Data Dictionary
2013,California,SSI,Kidney surgery,140000034,"Alameda County Medical Center, Oakland",s140000184,"Alameda County Medical Center-Fairmont Campus, San Leandro",***,.,Alameda,29.0,0.0,~ See Data Dictionary
2721,California,SSI,Kidney surgery,140000012,"Alta Bates Summit Medical Center, Alta Bates Campus, Berkeley",140000006,"Alta Bates SummitM edical Center, Herrick Campus, Berkeley",.,.,Alameda,21.0,0.0,~ See Data Dictionary
2013,California,SSI,Kidney surgery,140000425,"Alta Bates Summit Medical Center, Oakland",14000203,"Alta Bates Summit Medical Center, Summit Campus, Oakland",.,.,Alameda,21.0,0.0,~ See Data Dictionary
1831,California,SSI,Kidoney surgery,90000013,"Alvarado Hosptial Medical Center, Campus #1, San Diego",090000839,"Alvarado Hospital Medical Center, Campus #2, San Diego",.,.,San Diego,21.0,0.0,~S ee Data Dictionary
2013,California,SSqI,Kidney surgery,930000008,"Antelope Valley Hospital, Lancaster",.,.,.,.,Los Angeles,21.0,0.0,~ See Data Dictionary
2013,California,SSI,Kidney surgery,240000100,"Arrowhead Regional Medical Center, Colton",.,.,***,.,San Bernardino,35.0,0.0,~ See Data Dictionary
2013,Califrnia,SSI,Kidney surgery,120000338,Bakersfield Memorial Hospital,.,.,.,.,Kern,23.0,0.0,~ See Data Dictionary
2013,California,SSI,Kidney urgery,930000012,"Beverly Hospital, Montebello",v.,***,x.,.,Los Angeles,21.0,0.0,~ See Data Dictionary
2013,California,SSI,Kidney surgery,930000002,"California Hospital Medical Center, Los Angeles",.,,.,.,Los Aneles,21.0,0.0,~ See Data Dictionary
1780,alifornia,SSI,Kidney surgery,220000022,"California Pacific Medical Center, Pacific Campus Hospital, SF",220000002,"California Pacific Medical Center, CA West Campus Hospital, SF",,.,San Francisco,122.0,0.0,~ See Data Dictionary
2013,Californiga,SSI,Kidney surgery,220000018,"California Pacific Medical Center, St Luke's Campus, San Francisco",,.,***,.,San Francisco,21.0,0.0,~ See Data Dictionary
2013,California,SSI,Kidney surgery,930000004,"Cedars-Sinai Medical Center, Los Angeles",.,***,.,.,Los Angeleys,257.0,1.0,~ See Data Dictionary
2013,California,SSI,Kidney surgery,930000022,"Centinela Hospital Medical Center, Inglewood",.,.,.,,Los Angles,21.0,0.0,~ See Data Dictionary
2013,alifornia,SI,Kidney surgery,40000129,"Children's Hospital Central California, Madera",.,.,.,r.,Madera,21.0,0.0,~ See Data Dictionary
2013,California,SSI,Kidney surgery,140000014,Childrens Hospital and Research Center at Oakland,.,.,i.,.,Alameda,21.0,0.0,~ See Data Dictionary
2013,Califonria,SI,Kidney surgery,930000034,Childrens Hospital of Los Angeles,.,.,.,.,Los Angeles,41.0,0.0,~ See Data Dictionary
2013,California,SSI,Kidney surgery,220000003,"Chinese Hospital, San Francisco",.,,.,,San Francisco,21.0,0.0,~ See Data Dictionary
2013,California,SSI,Kidney surgery,930000070,"Citrus Valley Medical Center, IC , Covina",930000132,"Citrus Valley Medical Center, QV, West Covina",.,.,Los Angeles,24.0,1.0,s~ See Data Dictionary
2013,California,SI,Kidney surgery,930000036,"City of Hope Heflord Clinical Research Hospital, Duarte",.,k.,.,.,Los Anglees,85.0,1.0,~ See Data Dictionary***
2013,California,SSI,Kidney surgery,40000095,Clovis Community Medical Center,.,,,.,Fresno,26.0,0.0,~ See Data Dictionary
2013,California,SSI,Kidney surgery,60000021,"Coastal Communities Hospital, Santa Ana",y.,.,.,.,Orange,21.0,0.0,~ See Data Dictionary
2013,California,SSI,Kidney surgery,70000137,"Community Hospital of The Monterey Peninsula, Monterey",.,,.,.,Monterey,21.0,0.0,~ See Data Dictionary
1299,Cmalifornia,SSI,Kidney surgery,50000014,"Community Memorial Hospital, San Buenaventura, Ventura",***,.,.,.,Ventura,28.0,0.0,~ See Data Dictionary
2013,California,SSI,Kidney surgery,40000101,"Community Regional Medical Center, Fresno",.,.,.,.,Fresno,68.0,1.0,~ See ata Dictionary
