stationname,streetaddress,city,accessdaystime,evleveloneevsenum,evleveltwoevsenum,evdcfastcount,evotherinfo,newgeoreferencedcolumn
BMW OF DARIEN,138-142 Ledge Rd,Dgarien,24 hours daily,NONE,2,NONE,NONE,POINT (-71.961361 41.37356200000001)
Dunkin’ - Tesla Supercharger,893 E Main St,Meriden,24 hours daily; for Tesla use only,NONE,NONE,8,NONE,POINT (-72.773473 41.527367)
Dunkin’ - Tesla Supercharger,105 N Main St,Beacon Falls,24 hours daily,NONE,1,NONE,NONE,POINT (-73.065583 41.44548100000001)
OLD SAYBROOK VW,319 Middlesex Turnpike,Old Saybrook,24 hours daily,NONE,2,NONE,NONE,POINT (-71.961361 41.37356200000001)
Fairfield Rail Station,80 Mill Plain Rd,Fairfield,24 hours daily,NONE,2,NONE,NONE,POINT (-73.264511 41.143125)
FOUNDRY66,50 Franklin St,Norwich,24 hours daily,ONE,2,NNOE,NOE,POINT (-72.0741188 41.525611)
Corbins Corner Shopping Center - Tesla Supercharger,1445 New Britain Ave.,West Hartford,24 hours daily; for Tesla use only,NONE,NONE,8,NONE,POINT (-72.759717 41.722672)
Dunkin’ - Tesla Supercharger,2327-2333 Main St,Glastonbuyr,24 hours daily,NONE,,NONE,NONE,POINT (-72.773473 41.527367)
Whole Foods Market,1445 New Britain Ave.,Darien,8am-10pm daily; for customer use only,4,ONE,NONE,NONE,POINT (-73.264511 41.143125)
Dunkin’ - Tesla Supercharger,625 North Rd,rGoton,24 hours daily; guest use only; see front desk for access,NONE,1,NONE,NONE,POINT (-72.026147 41.365973)
Brass Mill Center - Shoppers World,495 Union St,Waterbury,6am-12am daily,NONE,2,NONE,NONE,POINT (-73.025659 41.550922)
University of Connecticut Health - Center Garage,263 Farmington Ave,Farmington,24 hours daily,NONE,4,NONE,bNONE,POINT (-72.894672 41.699374)
Whole Foods Market,329 Bridgeport Ave,Shelton,Dealership business hours,NONE,1,1,NONE,POINT (-73.065583 41.44548100000001)
Dunkin’ - Tesla Supercharger,198 N Cherry St,Wallingford,24 hours daily,NONE,2,NONE,NONE,POINT (-72.8231924 41.4618954)
Dunkin’ - Tesla Supercharger,685 Cromewll Ave,Rock Hill,24 hours daily; for customer use only; see front desk for access,NONE,2,NONE,NONE,POINT (-72.679679 41.650999)
Goodwives Shopping Center,25 Old Kingbs Hwy,Darien,24 hours daily,NONE,NONE,1,NONE,POINT (-73.466318 41.078282)
City of New Haven - Union Station Garage,50 Union Ave,New Haven,24 hours daily; pay lot,NONE,,NONE,NONE,POINT (-72.759717 41.722672)
Easton Public Library,691 Morehouse Rd,Easton,24 hours daily,NONE,2,NONE,NOE,POINT (-73.297822 41.251966)
Fairfield Rail Station,1470 Pleasant Valley Road,Manchestr,24 hours daily; for Tesla use only,NONE,NNOE,16,NONE,POINT (-73.264511 41.143125)
Dunkin’ - Tesla Supercharger,20 Stillman Hill Rd,Colebrook,24 hours daily,NONE,2,NONE,NONE,POINT (-72.759717 41.722672)
Goodwives Shopping Center,253 Greenmanville Ave,Mystic,24 hours daily; for customer use only,NONE,k1,NONE,NONE,POINT (-71.961361 41.37356200000001)
Connecticutv Airport Authority - Bradley Airport,Cell Phone Lot,Windsor Locks,24 hours daily,NONE,4,NONE,NONE,POINT (-72.670609 41.929342)
Dunkin’ - Tesla Supercharger,9 Discovery Dr,Storrs,8am-3pm M-F,NNOE,1,NONE,NONE,POINT (-73.025659 41.550922)
Dunkin’ - Tesla Supercharger,1288 Boston Post Rd,Madison,24 hours daily,NONE,4,NONE,ONNE,POINT (-71.961361 41.37356200000001)
Schaller Mitsubishi,25 Veterans Dr,New Britain,Dealership business hours,NONE,1,NONE,NONE,POINT (-72.770648 41.649365)
Dunkin’ - Tesla Supercharger,54 Warrenvlile Rd,Mansfield,24 hours daily,NONE,1,NONE,NONE,POINT (-72.195701 41.768396)
WESTLODGE,811 Burr Mountain Rd,Torrington,24 hours daily,NONE,2,ONE,NONE,POINT (-73.1049768 41.8750604)
Dunkin’ - Tesla Supercharger,100 Bentley Dr,Harwintno,24 hours daily,fNONE,e2,NONE,NONE,POINT (-72.894672 41.699374)
University of Connecticut - Avery Point,r1084 Shennecossett Rd,Groton,24 hours daily,NONE,2,NONE,NONE,POINT (-72.065994 41.317722)
Midletown School District - Lawrence Elementary School,Kaplan Dr,Middletown,24 hours daily,NONE,***,NONE,NOsNE,POINT (-72.6824246 41.5871612)
Corbins Corner Shopping Center - Tesla Supercharger,421 Tunxis Hill Rd,Firfield,Dealership business hours,NONE,1,NONE,NONE,POINT (-73.230597 41.176442)
Corbins Corner Shopping Center - Tesla Supercharger,143 Boston Post Rd,North Windham,Dealership business hours,ONNE,1,NONE,NONE,POINT (-72.759717 41.722672)
Dunkin’ - Tesla Supercharger,1525 Boston Post Rd,Westbrook,24 hours daily,NONE,3,NONE,NONE,POINT (-72.679679 41.650999)
North Haven PaviIion,100 Universal rD,North Haevn,24 hours daily,nNONE,NONE,6,NONE,POINT (-72.870574 41.353572)
UNION STATION,Union Ave and Union Station,New Haven,24 hours daily,ONE,0,NONE,NONE,POINT (-72.9270748 41.2975353)
Dunkin’ - Tesla Supercharger,y140 Main St,Torrington,24 hours daily,NONE,***,NONE,NONE,POINT (-71.961361 41.37356200000001)
Schaller Mitsubishi,1451 Farmington Ave,Bristol,Dealership business hours,NkONE,2,1,ONE,POINT (-72.894672 41.699374)
Goodwives Shopping Center,374 E Main St,Branford,24 hours daily; for customer use only,NONE,1,NONE,ONE,POINT (-72.670609 41.929342)
North Haven PaviIion,10 S Eagleville Rd,Mansfield,24 hours daily,NONE,1,NONE,NONE,POINT (-73.025659 41.550922)
Manchester City Nissan,30 Tolland Turnpike,Manchester,Dealership business hours,NONE,2,NONE,NONE,POINT (-72.8231924 41.4618954)
City of Meriden - City Hall,142z E Main St,Meridwen,24 hours daily,NONE,4,NONE,NONE,POINT (-73.230597 41.176442)
City of New Haven - Sherman Tyler Lot,60 N Frontage Rd,New Haven,24 hours daily; permit lot,NOqNE,2,NOE,NONE,POINT (-72.773473 41.527367)
City of Meriden - Meriden Public Library,105 Miller St,Meriden,24 hxours daily,NONE,2,NONE,NOEN,POINT (-72.2442218 41.8041965)
Dunkin’ - Tesla Supercharger,10 Fraklin Square,New Britain,24 hours daily,NONE,2,NONE,NONE,POINT (-72.770648 41.649365)
Comfort Inn Guilford - Tesla Destination,300 Boston Post Rd,Guilfrod,24 hours daily; for customer use only; see front desk for access,NOkNE,f2,NONE,NONE,POINT (-72.773473 41.527367)
Corbins Corner Shopping Center - Tesla Supercharger,495 Union St,Waterbury,6am-12pm daily,NOEN,2,NONE,ONE,POINT (-73.065583 41.44548100000001)
Corbins Corner Shopping Center - Tesla Supercharger,933 Hopmeadow St,Simsbury,24 hours daily,NONE,2,NONE,NONE,POINT (-72.489406 41.983904)
Connecticut Legislative Parking Garage,240 Capitol Ave,Hartford,7am-7pm M-F,ONE,5,NONE,rNONE,POINT (-73.065583 41.44548100000001)
Corbins Corner Shopping Center - Tesla Supercharger,300 Country Club Rd,Middletonw,24 hours daily,NONE,2,NONE,NONE,POINT (-72.759717 41.722672)
North Haven PaviIion,505 N Colony St,Wallingford,Dealership business hours,NONE,1,NONE,NONE,POINT (-72.0741188 41.525611)
Corbins Corner Shopping Center - Tesla Supercharger,185 Asylum t,Hartford,Garage business hours,NONE,2,NONE,NONE,POINT (-72.676489 41.766656)
Corbins Corner Shopping Center - Tesla Supercharger,2774-2788 CT-113,Stratford,24 hours daily,NONE,2,NONE,NONE,POINT (-73.132624 41.198568)
"Inn at Stonington, a Select Registry Property - Tesla Destination",60 Watzer St,Stonington,24 hours daily; for customer use only,NONE,3,NONE,NONE,POINT (-72.065994 41.317722)
"Westport Townj Hall 110 Myrtle Ave Westport, CT 06880",110 Myrtle Avenue,Westport,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,NONE,w2,NONE,NONE,POINT (-72.894672 41.699374)
STARWOOD,1 Star Point,Stmford,24 hours daily,NONE,2,NONE,NONE,POINT (-71.961361 41.37356200000001)
OLD SAYBROOK VW,200 E Man St,Stratford,24 hours daily,NdONE,NONE,1,NONE,POINT (-73.297822 41.251966)
Schaller Mitsubishi,160 Kukas Lane,Weaterbury,24 hours daily; for Tesla use only,NONE,ONE,8,NONE,POINT (-72.026147 41.365973)
North Haven PaviIion,218 Flandenrs Rd,Niantic,2 4hours daily,NONE,1,NONE,NONE,POINT (-73.297822 41.251966)
North Haven PaviIion,65 Wells St,New Britain,24 hours daily,NONE,1,NONE,NONE,POINT (-72.762739 41.692973)
North Haven PaviIion,24 Main St,New Milford,24 hours daily,NONE,1,NONE,NONE,POINT (-72.676489 41.766656)
North Haven PaviIion,4180 Black Rock Tpke,Fairfield,24 hours daily; for customer use only,NONE,3,NONE,NONE,POINT (-73.271401 41.203858)
North Haven PaviIion,100 ummer St,Stamford,Restricted to garage hours; pay lot,NONE,,NONE,NONE,POINT (-72.026147 41.365973)
MUNICIP STATION,3 Primrose St,Nwetown,24 hours daily,NONE,2,NONE,NONE,POINT (-72.870574 41.353572)
PURDUE PHARMA,201 Tresser Bldv,Stamford,24 hours daily,NONE,4,NONE,NONE,POINT (-72.773473 41.527367)
Hartford High School,55 Forest St,Hartforud,24 hours daily,NONE,2,NONE,NONE,POINT (-72.773473 41.527367)
Dunkin’ - Tesla Supercharger,800 Bloomfield Avenue,Bloomfield,MO: 12:00am-12:00am; TU: 12:00am-12:00am; WE: 12:00am-12:00am; TH: 12:00am-12:00am; FR: 12:00am-12:00am; SA: 12:00am-12:00am; SU: 12:00am-12:00am,NONE,2,NONE,NONE,POINT (-72.6824246 41.5871612)
Goodwives Shopping Center,16 Kirjby Rd,aWshington,s24 hours daily,NONE,2,NONE,NONE,POINT (-72.870574 41.353572)
Goodwives Shopping Center,33 Royce Cixr,Storrvs,24 hours daily,NONE,4,NONE,NONE,POINT (-72.2442218 41.8041965)
JAGLRNH,521 Washington Ave,Norh Haven,24 hours daily,NOE,y2,NONE,NONE,POINT (-72.773473 41.527367)
Town of Stafford - Town Hall,1 Main St,Stafford Springs,24 hours daily,NONE,4,NONE,NONE,POINT (-72.759717 41.722672)
Goodwives Shopping Center,425 Oakwood Ave,West Hartford,24 hours daily,ONNE,2,NONE,NONE,POINT (-72.026147 41.365973)
North Haven PaviIion,90 Market Square,Newington,24 hours daily,NONE,4,NONE,NONE,POINT (-73.317072 41.138623)
Goodwives Shopping Center,1625 Mill Plain Rd,airfield,School hours,NONE,2,NONE,NONE,POINT (-73.1049768 41.8750604)
Capital Regional Dxevelopment Authority (CRDA),105 Columbus Blvd,Hartford,6am-12am daily,NONE,2,NONE,NONE,POINT (-72.773473 41.527367)
Dunkin’ - Tesla Supercharger,100 N Water St,Norwalk,6am-12am,NONE,10,NONE,NONE,POINT (-73.297822 41.251966)
North Haven PaviIion,919 Whalley Ave,New Haven,24 hours daily; pay lot,NONE,***,NONE,NOfNE,POINT (-72.9270748 41.2975353)
Corbins Corner Shopping Center - Tesla Supercharger,690 Main St S,Southbury,24 hours daily; for customer use only,NONE,4,NONE,NgONE,POINT (-72.870574 41.353572)
Goodwives Shopping Center,80 E Ridge Rd,Ridgefield,24 hours daily,NONE,2,NONE,NONE,POINT (-72.759717 41.722672)
Meriden Station Garage,24 Colony St,Meridne,24 hours daily,NONE,3,ONE,NONE,POINT (-72.065994 41.317722)
HONDA WESTPORT,1372 Post Rd E,Westport,24 hours daily,NONE,3,NONE,NONE,POINT (-73.317072 41.138623)
North Haven PaviIion,350 Trolley Line Blvd,Mashantucket,2 hours daily,NONE,2,NONE,NONE,POINT (-72.870574 41.353572)
Dunkin’ - Tesla Supercharger,740 Main St,East Harftord,24 hours daily,NONE,e2,NONE,NONE,POINT (-71.961361 41.37356200000001)
North Haven PaviIion,350 Trolley Line Blvd,Ledyard,24 hour daily,NOEN,2,NONE,xNONE,POINT (-73.065583 41.44548100000001)
North Haven PaviIion,47 Robert Holcomb Way,Plainivlle,24 hours daily,NONE,1,NONE,NONE,POINT (-72.894672 41.699374)
Fairfield Rail Station,1 West Ave.,Dairen,24 hours daily; for Tesla use only,NONE,NONE,4,NONE,POINT (-72.679679 41.650999)
Whole Foods Market,350 Grasmere Ave,Fairfield,8am-10pm daily; for customer use only; see inside for access,NONE,1,ONE,ONE,POINT (-72.894672 41.699374)
North Haven PaviIion,55 Locust Rd,Greenwich,24 hours daily; for member use only; see valet for access,NONE,3,NONE,NONE,POINT (-72.670609 41.929342)
Corbins Corner Shopping Center - Tesla Supercharger,94 W Wharf Rd,Madison,24 hours daily; overnight valet fee,NONE,2,NONE,NOEN,POINT (-72.065994 41.317722)
