CT,XPAD,XPAN,XWAD,XWAN,XMAD,XMAN
100500,1067,143,611,107,456,36
101100,896,161,482,108,414,53
101400,1725,300,950,203,775,97
101600,397,40,226,32,171,8
101700,665,89,403,61,262,28
101800,1383,247,777,165,606,82
10300,422,70,197,33,225,37
110200,1803,296,987,192,816,104
110600,1412,189,782,131,630,58
111300,909,130,513,86,396,44
111400,496,58,269,38,227,20
111500,1079,160,625,116,454,44
120300,607,62,374,45,233,17
120400,277,28,163,20,114,8
120700,256,31,165,23,91,8
120800,289,34,176,25,113,9
130100,619,67,386,51,233,16
130200,389,46,247,36,142,10
130300,483,46,296,37,187,9
130400,348,36,197,23,151,13
130600,1229,130,718,95,511,35
140100,1299,197,660,137,639,60
140200,853,138,417,84,436,54
140300,1802,311,942,197,860,114
140400,1378,224,718,147,660,77
140500,825,105,475,71,350,34
140600,1765,308,938,207,827,101
140800,2454,368,1272,228,1182,140
141000,540,83,304,50,236,33
141100,785,150,423,101,362,49
141300,1998,340,1056,214,942,126
141400,2867,507,1482,329,1385,178
151600,1219,217,653,153,566,64
151700,2411,458,1266,304,1145,154
160800,991,168,507,109,484,59
160900,914,156,487,98,427,58
170200,1161,194,575,116,586,78
170600,574,109,288,74,286,35
180300,779,138,440,95,339,43
180700,801,108,439,78,362,30
190300,821,141,468,94,353,47
191100,1041,172,542,118,499,54
191400,979,184,546,134,433,50
191500,781,134,404,78,377,56
191600,1766,289,935,189,831,100
191700,1644,278,886,184,758,94
191800,2682,473,1498,342,1184,131
191900,1014,188,566,137,448,51
192000,1558,292,838,201,720,91
20100,2610,305,1242,173,1368,132
202200,1131,155,629,106,502,49
202300,1804,314,985,212,819,102
20300,354,47,175,34,179,13
210700,793,87,460,58,333,29
220600,606,86,308,56,298,30
240600,929,148,471,81,458,67
241200,371,65,192,45,179,20
250300,450,73,236,44,214,29
250700,202,21,111,16,91,5
250900,409,62,226,37,183,25
260200,940,144,511,95,429,49
260700,759,103,402,63,357,40
260900,467,29,261,26,206,3
261200,563,88,291,51,272,37
261400,765,104,450,75,315,29
261500,544,65,312,42,232,23
262000,962,177,540,127,422,50
270100,1119,194,654,139,465,55
270300,651,107,367,82,284,25
270400,406,61,232,44,174,17
270800,1321,252,730,172,591,80
271500,1112,152,615,102,497,50
281400,1077,125,602,92,475,33
281500,630,114,340,77,290,37
290100,988,174,533,114,455,60
290200,2049,334,1137,223,912,111
290400,1903,343,1053,240,850,103
300100,1419,196,794,142,625,54
30500,859,93,553,71,306,22
310200,1842,323,961,218,881,105
310300,589,100,316,69,273,31
320400,945,176,519,116,426,60
320600,1159,206,625,140,534,66
320700,854,152,450,108,404,44
401100,2585,485,1450,345,1135,140
401200,1116,214,617,163,499,51
401300,1457,256,782,186,675,70
40200,388,55,233,41,155,14
402000,1465,280,775,189,690,91
403500,1728,335,942,227,786,108
404000,734,151,394,104,340,47
40500,215,32,121,25,94,7
405000,683,111,348,67,335,44
40600,197,21,91,11,106,10
406000,1337,218,694,144,643,74
407001,2694,440,1427,304,1267,136
407002,3556,556,1864,379,1692,177
408001,2891,476,1536,316,1355,160
408002,3483,553,1817,364,1666,189
40900,659,121,348,76,311,45
409000,6394,882,3249,563,3145,319
410000,641,91,317,63,324,28
411000,3162,431,1645,299,1517,132
412001,4517,563,2336,368,2181,195
412002,2938,366,1497,247,1441,119
413100,3276,519,1715,347,1561,172
413201,1946,299,1023,204,923,95
413202,1430,242,774,166,656,76
413300,2677,413,1420,293,1257,120
413400,2498,351,1323,237,1175,114
413500,2819,455,1535,309,1284,146
414101,3211,480,1685,326,1526,154
414102,3987,690,2102,469,1885,221
414200,3303,536,1701,346,1602,190
415001,2556,349,1286,224,1270,125
415002,1494,223,777,152,717,71
416000,767,153,411,105,356,48
417100,1057,181,556,125,501,56
417200,591,121,301,86,290,35
418000,933,161,525,109,408,52
419000,1486,313,816,199,670,114
420000,720,155,427,110,293,45
421100,2772,435,1446,288,1326,147
421200,2709,453,1427,288,1282,165
422000,3357,509,1715,323,1642,186
423000,1330,247,755,178,575,69
424000,1577,320,887,223,690,97
425000,1751,358,942,263,809,95
426300,3530,575,1922,379,1608,196
426400,2457,461,1335,315,1122,146
426700,1238,208,659,137,579,71
426800,3132,514,1664,339,1468,175
427000,1446,313,804,212,642,101
427100,3253,524,1721,348,1532,176
427200,2583,466,1411,334,1172,132
428100,604,92,327,67,277,25
428200,1214,212,649,151,565,61
429100,1178,183,644,129,534,54
429201,2301,399,1201,272,1100,127
429202,2624,406,1448,274,1176,132
429300,3060,524,1680,359,1380,165
429400,2212,375,1197,245,1015,130
429500,2105,385,1199,264,906,121
429600,1652,288,928,195,724,93
429700,1240,228,659,149,581,79
430100,973,171,539,115,434,56
430200,2500,413,1380,270,1120,143
431100,1207,237,685,171,522,66
431400,790,135,445,97,345,38
431500,1182,206,644,137,538,69
432300,932,189,524,136,408,53
432400,1062,211,617,154,445,57
434000,977,157,517,107,460,50
435000,1228,205,647,145,581,60
437000,3116,443,1614,292,1502,151
439000,660,80,347,56,313,24
445500,1834,283,1030,186,804,97
446000,929,141,485,88,444,53
447000,637,112,346,80,291,32
448000,506,98,290,74,216,24
449000,1158,199,595,128,563,71
450700,1234,229,662,155,572,74
450800,995,183,541,134,454,49
451101,1761,299,954,210,807,89
451102,1756,261,923,174,833,87
451104,1798,219,940,146,858,73
451105,1657,263,864,181,793,82
451300,3857,598,2020,382,1837,216
452000,2183,387,1177,260,1006,127
453003,983,154,506,107,477,47
453004,2728,452,1470,294,1258,158
455000,768,129,393,80,375,49
456001,1067,155,569,106,498,49
456003,2278,342,1215,225,1063,117
456004,2282,383,1265,286,1017,97
457100,657,133,366,93,291,40
457200,1691,319,928,238,763,81
458000,4466,710,2404,489,2062,221
459101,890,136,462,91,428,45
459102,2867,407,1518,281,1349,126
459201,2912,472,1543,323,1369,149
459202,319,59,189,36,130,23
460001,2523,389,1381,264,1142,125
460002,2021,335,1102,222,919,113
461000,420,74,222,52,198,22
462100,1103,172,595,120,508,52
462600,1338,236,710,160,628,76
463900,973,164,536,114,437,50
464300,1451,248,783,168,668,80
464400,922,154,487,97,435,57
465600,1110,184,620,124,490,60
465800,1594,260,858,162,736,98
468700,739,126,393,87,346,39
468800,915,160,510,110,405,50
468900,1522,251,833,168,689,83
469000,2447,375,1322,246,1125,129
470300,1986,372,1104,244,882,128
470400,1635,288,906,201,729,87
470501,1273,170,705,114,568,56
470502,1667,271,906,200,761,71
470600,1353,255,718,181,635,74
471000,498,94,262,65,236,29
