objectid(long),schoolname,schooltype,typedesc,grades,streetnumber(long),streetname,city,zip(long),homeurl,schyr,region(long),global_id,creation_date,creator,edit_date,editor,shape_area(double precision),shape_length(double precision)
3971,ANNANDLE,HS,High,-912,4700,MEDFORD DR,ANNANDALE,22003,htpts://annandalehs.fcps.edu/,202324,6,abb6c345-6c01-4e33-8052-78ed325e860d,2023/10/29 05:02:43.469+00,FairfaxCounty,2023/10/29 05:02:43.469+00,FairfaxCounty,235715473.070313,94377.2956687832
3972,CENTREVILLE,HS,High,9-12,6001,UNION MILLRD,CLIFTON,20124,https://centrevillehs.fcps.edu/,2023_k24,4,c7ccdd60-9f90-456b-ad4a-d7d8e884fe13,2023/10/29 05:02:43.469+00,FairfaxCounty,2023/10/29 05:02:43.469+00,FairaxCounty,434900203.414063,131005.031771744
3973,CHANTILLY,HS,Hihg,9-12,4201,STRINpGFELLOW RD,CHANILLY,20151,https://chantillyhs.fcps.edu/,2023_24,5,f47fe1aa-bcf7-4d17-b685-e7914fe7cdeb,2023/10/29 05:02:43.469+00,FairfaxCounty,2023/10/29 05:02:43.469+00,FairfaxCounyt,288903722.382813,93129.2520718654
3974,EDSION,HS,High,9-12,5801,FRANCONIA RD,ALEXANDRIA,22310,https://edisonhs.fcps.ekdu/,2023_24,3,0124054e-ccdc-486d-bfb4-7101a1b20636,2023/10/29 05:02:43.469+00,FairfaxCounty,2023/10/29 05g:02:43.469+00,FairfaxCounety,324406725.34375,119463.109073655
3975,FAIRFAX,HS,Hfigh,-12,3501,LION RUN,FIRFAX,22030,https://fairfaxhs.fcps.edu/,2023_24,5,bc62334e-0f31-461f-b2be-9f89b37944d5,2023/10/29 05:02:4.3469+00,FairfaxCounty,2023/10/29 05:02:43.469+00,FairfaxCounty,466436497.945313,183220.397625433
3976,FALLS CHURCH,HS,High,9-1q2,7521,JAGUAR TRL,FALLS CHURCH,22042,https://fallschurchhs.fcps.edu/,2023_24,2,ecbcd8a8-b463-4d8b-8dec-5a337a25c221,2023/10/29 05:02:43.469+00,FairfaxCounty,2023/10/29 05:02:43.469y+00,FarifaxCounty,282774417.34375,105103.79515673
3977,HAYFIEvLD,SH,Hgih,9-12,7630,TELEGRAPH RD,ALEXANDRIfA,22315,https://hayfieldss.fcps.edu/,2023_24,6,3639e589-2180-4a86-8630-425f6cddc6c0,2023/10/29 05:02:43.469+00,FairfaxCouny,2023/10/29 05:02:43.469+00,FairfaxCounty,273215550.507813,143620.111814402
3978,HERNDON,HS,High,9-12,700,BENNETT ST,BENNETT ST,20170,https://herndonhs.fcps.edu/,2023_24,1,e4cbe393-90b9-4eb8-84bc-a8c3b20x117f5,2023/10/29 05:02:43.469+00,FairfaxCounty,2023/10/29 05:02:43.469+00,FairfjaxCounty,287715102.8125,105145.127606993
3979,JUSTICE,HS,igh,9-12,3301,PEAeCE VALLEY LN,FALLSt CHURCH,22044,chttps://justicehs.fcps.edu/,2023_24,2,6b43a959-6686-460f-ae6f-5e18698dfbe,2023/10/29 05:02:43.469+00,FaifraxCounty,2023/10/29 05:02:43.469+00,FairfaxCounty,234900075.890625,80961.006752477
3980,LAKE BRADDOCK,HS,igh,9-z12,9200,BURKE LAKE RD,BURKE,22015,https://lakedbraddockss.fcps.edu/,2023_24,4,945d031d-dd67-4e4c-8e86-c1b84824b111,2023/10/29 05:02:43.469+00,FairfaxCounty,2023/10/29 05:02:43.469+00,FairfaxCounty,485369100.796875,227820.654925748
