datevalue,pluginhybridelectricvehiclephevcount,batteryelectricvehiclebevcount,electricvehicleevtotal
January 31 2017,7684,14737,22421
February 28 2017,7885,15205,23090
March 31 2017,8091,15595,23686
April 30 2017,8285,16103,24388
May 31 2017,8498,16568,25066
June 30 2017,8752,16985,25737
July 31 2017,8931,17378,26309
August 31 2017,9146,17677,26823
September 30 2017,9372,18077,27449
October 31 2017,9646,18523,28169
November 30 2017,9885,18876,28761
December 31 2017,10118,19184,29302
January 31 2018,10531,19732,30263
February 28 2018,10830,19975,30805
March 31 2018,11178,20393,31571
April 30 2018,11513,20924,32437
May 31 2018,11932,21700,33632
June 30 2018,12355,22433,34788
July 31 2018,12648,22984,35632
August 31 2018,12962,23577,36539
September 30 2018,13291,24162,37453
October 31 2018,13641,25519,39160
November 30 2018,14021,26782,40803
December 31 2018,14344,27724,42068
January 31 2019,14730,29113,43843
February 28 2019,14896,29690,44586
March 31 2019,15045,30031,45076
April 30 2019,15300,31053,46353
May 31 2019,15567,31750,47317
June 30 2019,15816,32581,48397
July 31 2019,16078,33564,49642
August 31 2019,16282,34313,50595
September 30 2019,16515,35080,51595
October 31 2019,16796,36653,53449
November 30 2019,16970,37105,54075
December 31 2019,17137,37757,54894
January 31 2020,17360,39788,57148
February 29 2020,17472,40270,57742
March 31 2020,17613,41003,58616
April 30 2020,17571,41350,58921
May 31 2020,17585,41342,58927
June 30 2020,17687,41605,59292
July 31 2020,17821,43005,60826
August 31 2020,17966,43604,61570
September 30 2020,18176,44175,62351
October 31 2020,18428,45195,63623
November 30 2020,18600,46555,65155
December 31 2020,18891,47355,66246
January 31 2021,19223,48924,68147
February 28 2021,19512,49791,69303
March 31 2021,19869,50619,70488
April 30 2021,20323,52484,72807
May 31 2021,20723,53730,74453
June 30 2021,21302,54848,76150
July 31 2021,21707,56896,78603
August 31 2021,22118,58420,80538
September 30 2021,22446,59617,82063
October 31 2021,22853,61343,84196
November 30 2021,23264,62985,86249
December 31 2021,23543,64488,88031
January 31 2022,23874,66074,89948
February 28 2022,24178,67678,91856
March 31 2022,24626,69265,93891
April 30 2022,24977,71666,96643
May 31 2022,25416,73006,98422
June 30 2022,25909,74593,100502
July 31 2022,26186,76956,103142
August 31 2022,26581,79120,105701
September 30 2022,26758,80142,106900
October 31 2022,26662,82819,109481
