Unnamed: 0,Name,Description
,Add,Returns a new DateTime that adds the value of the specified TimeSpan to the value of this instance.
,AddDays,Returns a new DateTime that adds the specified number of days to the value of this instance.
,AddHours,Returns a new DateTime that adds the specified number of hours to the value of this instance.
,AddMilliseconds,Returns a new DateTime that adds the specified number of milliseconds to the value of this instance.
,AddMinutes,Returns a new DateTime that adds the specified number of minutes to the value of this instance.
,AddMonths,Returns a new DateTime that adds the specified number of months to the value of this instance.
,AddSeconds,Returns a new DateTime that adds the specified number of seconds to the value of this instance.
,AddTicks,Returns a new DateTime that adds the specified number of ticks to the value of this instance.
,AddYears,Returns a new DateTime that adds the specified number of years to the value of this instance.
,Compare,"Compares two instances of DateTime and returns an integer that indicates whether the first instance is earlier than, the same as, or later than the second instance."
,CompareTo(DateTime),"Compares the value of this instance to a specified DateTime value and returns an integer that indicates whether this instance is earlier than, the same as, or later than the specified DateTime value."
,CompareTo(Object),"Compares the value of this instance to a specified object that contains a specified DateTime value, and returns an integer that indicates whether this instance is earlier than, the same as, or later than the specified DateTime value."
,DaysInMonth,Returns the number of days in the specified month and year.
,Equals(DateTime),Returns a value indicating whether the value of this instance is equal to the value of the specified DateTime instance.
,Equals(Object),Returns a value indicating whether this instance is equal to a specified object. (Overrides ValueType.Equals(Object).)
,"Equals(DateTime, DateTime)",Returns a value indicating whether two DateTime instances have the same date and time value.
,FromBinary,Deserializes a 64-bit binary value and recreates an original serialized DateTime object.
,FromFileTime,Converts the specified Windows file time to an equivalent local time.
,FromFileTimeUtc,Converts the specified Windows file time to an equivalent UTC time.
,FromOADate,Returns a DateTime equivalent to the specified OLE Automation Date.
,GetDateTimeFormats(),Converts the value of this instance to all the string representations supported by the standard date and time format specifiers.
,GetDateTimeFormats(Char),Converts the value of this instance to all the string representations supported by the specified standard date and time format specifier.
,GetDateTimeFormats(IFormatProvider),Converts the value of this instance to all the string representations supported by the standard date and time format specifiers and the specified culture-specific formatting information.
,"GetDateTimeFormats(Char, IFormatProvider)",Converts the value of this instance to all the string representations supported by the specified standard date and time format specifier and culture-specific formatting information.
,GetHashCode,Returns the hash code for this instance. (Overrides ValueType.GetHashCode().)
,GetType,Gets the Type of the current instance. (Inherited from Object.)
,GetTypeCode,Returns the TypeCode for value type DateTime.
,IsDaylightSavingTime,Indicates whether this instance of DateTime is within the daylight saving time range for the current time zone.
,IsLeapYear,Returns an indication whether the specified year is a leap year.
,Parse(String),Converts the string representation of a date and time to its DateTime equivalent.
,"Parse(String, IFormatProvider)",Converts the string representation of a date and time to its DateTime equivalent by using culture-specific format information.
,"Parse(String, IFormatProvider, DateTimeStyles)",Converts the string representation of a date and time to its DateTime equivalent by using culture-specific format information and formatting style.
,"ParseExact(String, String, IFormatProvider)",Converts the specified string representation of a date and time to its DateTime equivalent using the specified format and culture-specific format information. The format of the string representation must match the specified format exactly.
,"ParseExact(String, String, IFormatProvider, DateTimeStyles)","Converts the specified string representation of a date and time to its DateTime equivalent using the specified format, culture-specific format information, and style. The format of the string representation must match the specified format exactly or an exception is thrown."
,"ParseExact(String, String[], IFormatProvider, DateTimeStyles)","Converts the specified string representation of a date and time to its DateTime equivalent using the specified array of formats, culture-specific format information, and style. The format of the string representation must match at least one of the specified formats exactly or an exception is thrown."
,SpecifyKind,"Creates a new DateTime object that has the same number of ticks as the specified DateTime, but is designated as either local time, Coordinated Universal Time (UTC), or neither, as indicated by the specified DateTimeKind value."
,Subtract(DateTime),Subtracts the specified date and time from this instance.
,Subtract(TimeSpan),Subtracts the specified duration from this instance.
,ToBinary,Serializes the current DateTime object to a 64-bit binary value that subsequently can be used to recreate the DateTime object.
,ToFileTime,Converts the value of the current DateTime object to a Windows file time.
,ToFileTimeUtc,Converts the value of the current DateTime object to a Windows file time.
,ToLocalTime,Converts the value of the current DateTime object to local time.
,ToLongDateString,Converts the value of the current DateTime object to its equivalent long date string representation.
,ToLongTimeString,Converts the value of the current DateTime object to its equivalent long time string representation.
,ToOADate,Converts the value of this instance to the equivalent OLE Automation date.
,ToShortDateString,Converts the value of the current DateTime object to its equivalent short date string representation.
,ToShortTimeString,Converts the value of the current DateTime object to its equivalent short time string representation.
,ToString(),Converts the value of the current DateTime object to its equivalent string representation using the formatting conventions of the current culture. (Overrides ValueType.ToString().)
,ToString(IFormatProvider),Converts the value of the current DateTime object to its equivalent string representation using the specified culture-specific format information.
,ToString(String),Converts the value of the current DateTime object to its equivalent string representation using the specified format and the formatting conventions of the current culture.
,"ToString(String, IFormatProvider)",Converts the value of the current DateTime object to its equivalent string representation using the specified format and culture-specific format information.
,ToUniversalTime,Converts the value of the current DateTime object to Coordinated Universal Time (UTC).
,"TryParse(String, DateTime)",Converts the specified string representation of a date and time to its DateTime equivalent and returns a value that indicates whether the conversion succeeded.
,"TryParse(String, IFormatProvider, DateTimeStyles, DateTime)","Converts the specified string representation of a date and time to its DateTime equivalent using the specified culture-specific format information and formatting style, and returns a value that indicates whether the conversion succeeded."
,"TryParseExact(String, String, IFormatProvider, DateTimeStyles, DateTime)","Converts the specified string representation of a date and time to its DateTime equivalent using the specified format, culture-specific format information, and style. The format of the string representation must match the specified format exactly. The method returns a value that indicates whether the conversion succeeded."
,"TryParseExact(String, String[], IFormatProvider, DateTimeStyles, DateTime)","Converts the specified string representation of a date and time to its DateTime equivalent using the specified array of formats, culture-specific format information, and style. The format of the string representation must match at least one of the specified formats exactly. The method returns a value that indicates whether the conversion succeeded."
