datevalue,socialdet,socialtier,sort,casessevendayavgsevendaysago,population,caserateperonezerozerok,statecaserateperonezerozerok,caserateperonezerozerokthreezerodaysago,ratediffthreezerodays
2022-10-30,crowding,10% - 15%,3.0,279.857142857143,4893204,5.71930258491456,6.10208209121319,8.92199525242415,-3.20269266750958
2022-10-30,crowding,15% - 20%,4.0,182.0,3217019,5.65741141099882,6.10208209121319,8.85025191689218,-3.19284050589337
2022-10-30,crowding,2% - 5%,1.0,552.0,8863472,6.22780779360503,6.10208209121319,8.67767007266292,-2.44986227905788
2022-10-30,crowding,5% - 10%,2.0,509.428571428571,8093475,6.29431204060767,6.10208209121319,8.70189522159164,-2.40758318098398
2022-10-30,crowding,less than 2%,0.0,513.857142857143,8304145,6.18795966179713,6.10208209121319,8.58435327004939,-2.39639360825226
2022-10-30,crowding,over 20%,5.0,247.142857142857,5289783,4.67207931105789,6.10208209121319,7.73728741397737,-3.06520810291948
2022-10-30,income,$100k - $120k,1.0,212.0,3267678,6.48778735236458,6.10208209121319,9.06279190124783,-2.57500454888325
2022-10-30,income,$40k - $60k,4.0,641.571428571429,11160609,5.74853422937251,6.10208209121319,8.3827990799734,-2.63426485060089
2022-10-30,income,$60k - $80k,3.0,557.428571428572,8630488,6.45883027041543,6.10208209121319,9.29760369782765,-2.83877342741222
2022-10-30,income,$80k - $100k,2.0,339.285714285714,5567034,6.09455078387727,6.10208209121319,8.73766122909563,-2.64311044521835
2022-10-30,income_cumulative,$100k - $120k,0.0,645863.0,3267678,19765.1971828314,25972.0362948041,19562.6068419226,202.59034090874
2022-10-30,income_cumulative,$40k - $60k,0.0,3049157.0,11160609,27320.7044525975,25972.0362948041,27147.407457783,173.296994814529
2022-09-28,income_cumulative,$60k - $80k,0.0,2132162.0,8630488,24704.9993001555,25707.7347245744,24376.6632894919,328.336010663592
2022-09-28,income_cumulative,$80k - $100k,0.0,1206346.0,5567034,21669.4563029434,25707.7347245744,21356.5787455223,312.877557421063
2022-09-28,income_cumulative,above $120K,0.0,441227.0,2744855,16074.6924700941,25707.7347245744,15794.4590880028,280.233382091223
2022-09-28,income_cumulative,below $40K,0.0,2166199.0,7290434,29712.895007348,25707.7347245744,29407.4810909748,305.413916373152
2022-09-28,income,above $120K,0.0,244.428571428571,2744855,8.90497208153332,9.05825090781866,15.6968999403299,-6.7919278587966
2022-09-28,income,below $40K,5.0,624.857142857143,7290434,8.57091831374021,9.05825090781866,22.8988914984838,-14.3279731847436
2022-09-28,insurance,10% - 15%,2.0,610.571428571429,6684699,9.13386569195454,9.05825090781866,19.532880773155,-10.3990150812005
2022-09-28,insurance,15% - 25%,3.0,1048.71428571429,11468254,9.1444982445827,9.05825090781866,21.6710034002187,-12.526505155636
2022-09-28,insurance,25% - 35%,4.0,696.857142857143,7463115,9.3373496570419,9.05825090781866,24.6890397450854,-15.3516900880435
2022-09-28,insurance,5% - 10%,1.0,534.857142857143,5902786,9.06109662212289,9.05825090781866,17.7107652459122,-8.64966862378932
2022-09-28,insurance,less than 5%,0.0,190.142857142857,2237998,8.49611380988085,9.05825090781866,15.9453736266584,-7.44925981677757
2022-09-28,insurance,over 35%,5.0,404.428571428571,4904246,8.24649847149942,9.05825090781866,23.9704824874492,-15.7239840159498
2022-09-13,crowding,10% - 15%,3.0,718.142857142857,4893204,14.67633185011,11.8951619506328,33.0925445635562,-18.4162127134462
2022-09-13,crowding,15% - 20%,4.0,476.857142857143,3217019,14.8229507770126,11.8951619506328,34.5306366812612,-19.7076859042486
2022-09-13,crowding,2% - 5%,1.0,1120.28571428571,8863472,12.6393552581394,11.8951619506328,25.6091195736518,-12.9697643155123
2022-09-13,crowding,5% - 10%,2.0,1152.0,8093475,14.2336882488671,11.8951619506328,30.2995402381019,-16.0658519892347
2022-09-13,crowding,less than 2%,0.0,956.714285714286,8304145,11.5209246191424,11.8951619506328,23.0676539074333,-11.5467292882909
2022-09-13,crowding,over 20%,5.0,750.714285714286,5289783,14.1917784853232,11.8951619506328,33.9711477767614,-19.7793692914381
2022-09-13,income,$100k - $120k,1.0,392.285714285714,3267678,12.0050296964913,11.8951619506328,24.6702048715589,-12.6651751750675
2022-09-13,income,$40k - $60k,4.0,1538.85714285714,11160609,13.7882900732132,11.8951619506328,30.5961286316391,-16.8078385584258
2022-09-13,income,$60k - $80k,3.0,1196.57142857143,8630488,13.8644701037928,11.8951619506328,30.3376322901522,-16.4731621863594
2022-09-13,income,$80k - $100k,2.0,727.0,5567034,13.0590185006953,11.8951619506328,27.1290908998529,-14.0700723991575
2022-09-13,income_cumulative,$100k - $120k,0.0,632481.0,3267678,19355.6709075986,25566.0497254366,18982.1028877386,373.568019859977
2022-09-13,income_cumulative,$40k - $60k,0.0,3006150.0,11160609,26935.3580973942,25566.0497254366,26483.6354360233,451.722661370899
2022-08-29,crowding,10% - 15%,3.0,1160.14285714286,4893204,23.7092681429766,20.9245773967288,46.6390295017918,-22.9297613588152
2022-08-29,crowding,15% - 20%,4.0,768.857142857143,3217019,23.8996767770766,20.9245773967288,49.0116559993673,-25.1119792222907
2022-08-29,crowding,2% - 5%,1.0,1621.42857142857,8863472,18.2933795179651,20.9245773967288,36.4819951884705,-18.1886156705054
2022-08-29,crowding,5% - 10%,2.0,1728.28571428571,8093475,21.354062553918,20.9245773967288,42.4627775549351,-21.1087150010171
2022-08-29,crowding,less than 2%,0.0,1371.28571428571,8304145,16.5132679437283,20.9245773967288,32.875148495119,-16.3618805513907
2022-08-29,crowding,over 20%,5.0,1258.71428571429,5289783,23.7951969998445,20.9245773967288,47.4904709161578,-23.6952739163132
2022-08-29,income,$100k - $120k,1.0,574.428571428572,3267678,17.5791057573167,20.9245773967288,37.0861860580248,-19.5070803007081
2022-08-29,income,$40k - $60k,4.0,2402.57142857143,11160609,21.5272430794003,20.9245773967288,43.0954465452045,-21.5682034658042
2022-08-29,income,$60k - $80k,3.0,1824.71428571429,8630488,21.1426548036946,20.9245773967288,42.3217253598108,-21.1790705561162
2022-08-29,income,$80k - $100k,2.0,1078.57142857143,5567034,19.3742561761151,20.9245773967288,38.2275886431241,-18.853332467009
2022-08-29,income_cumulative,$100k - $120k,0.0,626537.0,3267678,19173.7680395682,25353.5010451253,18640.0557215246,533.712318043577
2022-08-29,income_cumulative,$40k - $60k,0.0,2982132.0,11160609,26720.1547872522,25353.5010451253,26055.5315574625,664.6232297897
2022-08-15,crowding,10% - 15%,3.0,1580.57142857143,4893204,32.3013597751377,28.9265960214468,46.5718809773135,-14.2705212021758
2022-08-15,crowding,15% - 20%,4.0,1079.14285714286,3217019,33.544808319219,28.9265960214468,47.1288126412327,-13.5840043220136
2022-08-15,crowding,2% - 5%,1.0,2246.42857142857,8863472,25.3447923277534,28.9265960214468,39.7264509567228,-14.3816586289694
2022-08-15,crowding,5% - 10%,2.0,2416.0,8093475,29.8512072997075,28.9265960214468,44.4343834296852,-14.5831761299777
2022-08-15,crowding,less than 2%,0.0,1880.71428571429,8304145,22.647897955952,28.9265960214468,36.9626080882327,-14.3147101322808
2022-08-15,crowding,over 20%,5.0,1748.14285714286,5289783,33.0475344100667,28.9265960214468,43.3801213719785,-10.3325869619118
