Post (hide subjects),Posted by,When,Unnamed: 3
E M1 on Fourthirds RumorsNew,drj3,"Aug 18, 2013",5.0
Re: E M1 on Fourthirds RumorsNew,Rriley,"Aug 18, 2013",1.0
Re: Looks about the size of an E-4X0New,tinternaut,"Aug 18, 2013",1.0
Re: E M1 on Fourthirds RumorsNew,19andrew47,"Aug 18, 2013",1.0
Direct link to Engadget video (hurry before it disappears)New,Danielvr,"Aug 18, 2013",1.0
Re: Direct link to Engadget video (hurry before it disappears)New,Mark Chan,"Aug 18, 2013",1.0
Re: Direct link to Engadget video (hurry before it disappears)New,Roger Engelken,"Aug 18, 2013",
Thanks Roger!New,Snowbird_UT,"Aug 18, 2013",
UnscientificNew,Craig from Nevada,"Aug 18, 2013",
Re: E M1 on Fourthirds RumorsNew,Craig from Nevada,"Aug 18, 2013",
Re: E M1 on Fourthirds RumorsNew,Stacey_K,"Aug 18, 2013",
Re: E M1 on Fourthirds RumorsNew,Craig from Nevada,"Aug 18, 2013",
Re: E M1 on Fourthirds RumorsNew,Roger Engelken,"Aug 18, 2013",
Depends on the lensNew,TrapperJohn,"Aug 18, 2013",
Looks very interesting and...New,dharma108,"Aug 18, 2013",
Re: Looks very interesting and...New,Craig from Nevada,"Aug 18, 2013",
Re: Looks very interesting and...New,Pedagydusz,"Aug 18, 2013",
Re: E M1 on Fourthirds RumorsNew,goblin,"Aug 18, 2013",3.0
Re: E M1 on Fourthirds RumorsNew,Philip Rogers,"Aug 18, 2013",3.0
Hello upgrade!New,greyowl750,"Aug 18, 2013",3.0
Re: Hello upgrade!New,Craig from Nevada,"Aug 18, 2013",2.0
Re: Hello upgrade!New,greyowl750,"Aug 18, 2013",
Re: Hello upgrade!New,Craig from Nevada,"Aug 18, 2013",
Re: Hello upgrade! - Well perhaps another camera.New,Roger Engelken,"Aug 18, 2013",1.0
Re: Hello upgrade!New,StanTsui,"Aug 18, 2013",
Re: Hello upgrade!New,onlinedelivery,"Aug 18, 2013",
Re: Hello upgrade!New,greyowl750,"Aug 22, 2013",
Re: E M1 on Fourthirds RumorsNew,goblin,"Aug 18, 2013",1.0
Re: E M1 on Fourthirds RumorsNew,CollBaxter,"Aug 18, 2013",3.0
Re: E M1 on Fourthirds RumorsNew,goblin,"Aug 18, 2013",
Re: E M1 on Fourthirds RumorsNew,Just Having Fun,"Aug 18, 2013",
Re: E M1 on Fourthirds RumorsNew,goblin,"Aug 18, 2013",1.0
Re: E M1 on Fourthirds RumorsNew,drj3,"Aug 18, 2013",
Re: E M1 on Fourthirds RumorsNew,CollBaxter,"Aug 18, 2013",1.0
Re: E M1 on Fourthirds RumorsNew,Roger Engelken,"Aug 18, 2013",
Re: E M1 on Fourthirds RumorsNew,GBC,"Aug 18, 2013",
Re: E M1 on BIG lensesNew,erichK,"Aug 18, 2013",2.0
Re: E M1 on Fourthirds RumorsNew,HarjTT,"Aug 18, 2013",
Re: E M1 on Fourthirds RumorsNew,Craig from Nevada,"Aug 18, 2013",3.0
Re: E M1 on Fourthirds RumorsNew,Macx,"Aug 18, 2013",
Re: E M1 on Fourthirds RumorsNew,HarjTT,"Aug 18, 2013",1.0
Re: E M1 on Fourthirds RumorsNew,19andrew47,"Aug 18, 2013",
Re: E M1 on Fourthirds RumorsNew,HarjTT,"Aug 18, 2013",
Re: E M1 on Fourthirds RumorsNew,Stacey_K,"Aug 18, 2013",1.0
Re: E M1 on Fourthirds RumorsNew,19andrew47,"Aug 18, 2013",
Holy shot !New,gsergei,"Aug 18, 2013",
"""the autofocus is nearly as fast on 43rds as it is on m43rds""New",Rriley,"Aug 18, 2013",1.0
"Re: ""the autofocus is nearly as fast on 43rds as it is on m43rds""New",Stacey_K,"Aug 18, 2013",
"Re: ""the autofocus is nearly as fast on 43rds as it is on m43rds""New",HarjTT,"Aug 18, 2013",1.0
"Re: ""the autofocus is nearly as fast on 43rds as it is on m43rds""New",Stacey_K,"Aug 18, 2013",
"Re: ""the autofocus is nearly as fast on 43rds as it is on m43rds""New",HarjTT,"Aug 18, 2013",
This is a route forward for our lenses. I'd have preferred an E7 but that doesn't seemNew,travlinhoosier,"Aug 18, 2013",
Re: This is a route forward for our lenses. I'd have preferred an E7 but that doesn't seemNew,3dwag,"Aug 18, 2013",1.0
"Re: ""the autofocus is nearly as fast on 43rds as it is on m43rds""New",jkrumm,"Aug 18, 2013",
"Re: ""the autofocus is nearly as fast on 43rds as it is on m43rds""New",Olymore,"Aug 18, 2013",
"Re: ""the autofocus is nearly as fast on 43rds as it is on m43rds""New",Mark Chan,"Aug 20, 2013",
