OBJECTID,SURVTYP,SURVTYPTXT,created_user,created_date,last_edited_user,last_edited_date,GlobalID,SHAPE_Length,SHAPE_Area
1,W,Meandered Water,,2021/04/24 10:20:20,,,{01B76BAE-3FEC-4A0A-A3CE-E838B62D4E1A},5128.98989894632,314057.077457558
2,W,Meandered Water,,2021/04/24 10:20:20,,,{F638080A-1218-44A8-BFD3-C0BD7FD86DC5},9073.23995404283,337040.139641207
3,W,Meandered Water,,2021/04/24 10:20:20,,,{45FE64C8-2202-416C-8EE7-1A36D14D7ED5},12259.7214037387,255990.233147609
4,W,Meandered Water,,2021/04/24 10:20:20,,,{60CF3795-8D7D-4C7D-A399-E0B1231AACB6},11703.5891157882,1461114.71636839
5,W,Meandered Water,,2021/04/24 10:20:20,,,{C812A979-F13C-4F1D-88CA-2E0A85E8C648},26714.0712916415,4371388.33544979
6,W,Meandered Water,,2021/04/24 10:20:20,,,{1E641E01-6238-4D79-927A-1925F65D83B4},8109.92298290182,472246.395711333
7,W,Meandered Water,,2021/04/24 10:20:20,,,{F7108431-6F83-4B20-8143-244FB97C0822},6723.05296444581,507756.872112693
8,W,Meandered Water,,2021/04/24 10:20:20,,,{0213F221-D6FD-4A53-AEE6-98D081FFCE36},8562.39602064513,672865.306965503
9,W,Meandered Water,,2021/04/24 10:20:20,,,{A116C8B8-CDD8-434A-A3DA-2C72FF0ECC13},14463.5057511656,1328329.65840522
10,W,Meandered Water,,2021/04/24 10:20:20,,,{979DE832-1485-45E3-9E29-40D01B43C882},2817.31135738534,185342.120337468
11,W,Meandered Water,,2021/04/24 10:20:20,,,{CB01E4E6-B750-4625-8C94-A3F14265A571},11883.2890806187,1142987.53806775
12,W,Meandered Water,,2021/04/24 10:20:20,,,{CCA77C98-28B6-4E78-939A-2E97B7AC8BD2},6313.00039827739,509818.712262822
13,W,Meandered Water,,2021/04/24 10:20:20,,,{61061558-15B1-48DF-BA7F-4BEC5F23B638},5584.38718875865,331937.606620977
14,W,Meandered Water,,2021/04/24 10:20:20,,,{95983033-F3C7-4964-8579-9A79E5F0A27E},20030.2671814378,1143121.29791684
15,W,Meandered Water,,2021/04/24 10:20:20,,,{AAF4D526-CD5A-4717-804E-417A709A8866},6498.74173692076,259097.87798596
16,W,Meandered Water,,2021/04/24 10:20:20,,,{08E927F3-7F79-4237-BA65-8393FC5AB195},27838.1842364382,3929332.74160945
17,W,Meandered Water,,2021/04/24 10:20:20,,,{AE2146E7-8767-49C3-99FE-C1AB6B661E11},31693.5633134238,4657322.44553501
18,W,Meandered Water,,2021/04/24 10:20:20,,,{6C40A6A8-1E48-4685-BB5F-5888CEDE5157},14633.3801463523,866472.343466128
19,W,Meandered Water,,2021/04/24 10:20:20,,,{881BC371-C52C-48D3-B822-C80E66697F46},6082.04831394543,387581.861324892
20,W,Meandered Water,,2021/04/24 10:20:20,,,{9970D016-F609-4B01-A323-5353EE3B7CAD},5640.42227562302,1478419.88521876
21,W,Meandered Water,,2021/04/24 10:20:20,,,{ECCFBB38-D370-4945-8AA8-CD14653A05B5},22832.2387349589,2063485.22312993
22,W,Meandered Water,,2021/04/24 10:20:20,,,{29A50446-894D-4D97-A341-2026426AFA41},20128.9214110314,1189678.31897626
23,W,Meandered Water,,2021/04/24 10:20:20,,,{657A55A5-058E-4CC8-A08A-F15889D5BA17},28982.8185881579,10513284.5725282
24,W,Meandered Water,,2021/04/24 10:20:20,,,{1106F3E2-CC5C-42C1-92C0-2E4AEEBB5A62},6920.97223817646,1881978.34772935
