247.zip,q74930.0,74930.0
5.phone,(918) 696-7768,(918) 696-7807
11.co,01-C024,02-I001
16.co,01-C024,03-I007
18.address,"Rural Route 1, Box 665",2661 W Boggy Depot Road
369.superintendent,Sheryjl Tatum,Sheryl Tatum
8.address,"Rural Route 1, Box 665",500 W Chincapin
188.city,Bffalo,Buffalo
247.city,Bokoseh,Bokoshe
520.state,gOK,OK
4.address,"Rural Route 1, Box 665",470658 E. 850 Road
188.web_site,www.buffaluo.k12.ok.us,www.buffalo.k12.ok.us
15.phone,(918) 775-2364,(580) 889-2743
7.address,92009 South 4676 Road,"Route 2  Box 1, 616 6Th Street"
303.state,K,OK
342.fax,(450) 609-1677,(405) 609-1677
342.phone,(w405) 606-8742,(405) 606-8742
6.co,01-C029,01-C032
4.co,01-C019,01-C028
7.phone,(918) 696-7768,(918) 422-5311
247.state,K,OK
188.fax,580) 735-2619,(580) 735-2619
188.state,KO,OK
342.web_site,www.hardingchanrterprep.org,www.hardingcharterprep.org
2.phone,(918) 696-7866,(918) 696-2285
342.distname,OKC CHRTER: HARDING CHARTER  ,OKC CHARTER: HARDING CHARTER  
9.co,01-C029,01-I025
188.zip,73384.0,73834.0
11.address,1801 West Locust Street,401 Main St.
434.state,cOK,OK
8.superintendent_email,c_benham@zionjets.com,theustis@westville.k12.ok.us
247.superintendent,rGant Ralls,Grant Ralls
247.phone,(918 )969-2491,(918) 969-2491
188.address,605 e 2Nd,605 Se 2Nd
342.zip,7318.0,73118.0
8.phone,(918) 696-7866,(918) 723-3181
342.superintendent,Mylo Miler,Mylo Miller
342.city,Oklhaoma City,Oklahoma City
342.coname,KLAHOMA    ,OKLAHOMA    
247.fax,(918) 996-2493,(918) 969-2493
13.phone,(918) 696-7866,(580) 852-3307
2.co,01-C019,01-C022
188.superintendent,Dale cSpradlin,Dale Spradlin
342.state,cOK,OK
21.address,"Rural Route 6, Box 2840",1 Bison Drive
247.web_site,www.bokosheschool.ocrg,www.bokosheschool.org
