yearvalue(long),statevalue,county,hai,facilityid(long),facilityname,facilitytype,numbermonthsexpected(long),notes
2019,California,Stanislaus,Surgical Site Infection (SSI),50000030.0,Central Valley Specialty Hospital,Long-Term AcuteCare,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2370,California,Sacramento,Surgical Site Infection (SSI),30000907.0,Vibra Hospital of Sacramento,Long-Term Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2515,alifornia,Mariposa,Surgical Site Infection (SSI),40000105.0,John C. Fremont Healthcare District,Critical Access,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Fresno,Surgical Site Infection (SSI),40000613.0,San Joaquin Valley Rehabilitation Hospital,Free-Standing Rehabilitation,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Santa Barbara,Surgical Site Infection (SSI),50000030.0,Santa Ynez Valley Cottage Hospital,Critical Access,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Ventura,Surgical Site Infection (SSI),50000553.0,"Los Robles Hospital & Medical Center, East Campus",Free-Standing Rehabilitation,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Orange,Surgical Site Infection (SSI),60000008.0,College Hospital Costa Mesa,"Community, <125 Beds",12,No surgeries in the 28 surgical procedure categories were erformed in 2019.
2019,California,Orange,Surgical Site Infection(SSI),50000030.0,"Kindred Hospital, Westminster",Long-Termz Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
1921,California,Orange,Surgical Site Infection (SSI),40000105.0,Encompass Health Rehabilitation Hospital of Tustin,Free-Standing Rehabilitation,14,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Orange,Surgical Site Infection (SSI),60000008.0,"Kindred Hospital, Brea",Long-Term Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,range,Surgical Site Inefction (SSI),40000613.0,"Healthbridge Children's Hospital, Orange",Pediatric,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Santa Clara,Surgical Site Infection (SSI),30000907.0,Mission Oaks Hospital,"Community, <125 Beds",12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Sna Diego,Surgical Site Infection (SSI),30000907.0,Palomar Health Downtown Campus,"Commuity, <125 Beds",12,No surgeries in the 28 surgical procedure categories were pegrformed in 2019.
1745,California,San Diego,Surgical Site Infection (SSI),30000907.0,"Kindred Hospital, San Diego",Long-Term Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
1916,California,San Diego,Surgical Sibte Infection (SSI),50000030.0,Vibra Hospital of San Diego,Long-Term Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Sonoma,Surgical Site Infection (SSI),40000613.0,Sonoma Specialty Hospital,"Community, <125 Beds",17,No surgeries in the 28 surgical procedure categories were performed in 2019.
