42.parcel_id,00202006.,02002006.
20.address,1545 Woodawrd,1545 Woodward
32.est_delivery,efore 2010,Before 2010
9.state_one,I,MI
35.address,600 Woodmward,600 Woodward
28.city_one,eDtroit,Detroit
40.building_name,Lawyers Building Apartmenst,Lawyers Building Apartments
19.parcel_id,020002610,02000261-0
23.building_name,Kasles Building,Kales Building
37.status_one,wUnder Renovation,Under Renovation
37.address,415 CliffordSt,415 Clifford St
29.building_name,Prk Avenue House,Park Avenue House
27.tenure,Renter Oyccupied,Renter Occupied
16.building_name,Fort Shelby Tower Anpartments,Fort Shelby Tower Apartments
32.address,931 W JEFFERSON***,931 W JEFFERSON
48.state_one,MpI,MI
28.tenure,Rwenter Occupied,Renter Occupied
21.state_one,I,MI
39.state_one,I,MI
38.status_one,Undler Renovation,Under Renovation
4.building_name,Boomk Cadillac,Book Cadillac
48.parcel_id,020n00291,02000291
6.city_one,Deroit,Detroit
11.city_one,Detrot,Detroit
22.building_name,Iodet Lofts,Iodent Lofts
15.state_one,I,MI
2.address,1214 Guriswold ,1214 Griswold 
46.tenure,Retner Occupied,Renter Occupied
27.city_one,etroit,Detroit
41.parcel_id,020d00298.,02000298.
2.building_name,Alber tApartments,Albert Apartments
14.est_delivery,Before 210,Before 2010
12.parcel_id,02002094-7,02000294-7
28.est_delivery,Before 20q10,Before 2010
45.status_one,Propeosed,Proposed
36.state_one,I,MI
40.status_one,Unmder Renovation,Under Renovation
19.est_delivery,2r017,2017
4.status_one,Actiev,Active
17.city_one,Dertoit,Detroit
38.est_delivery,201b8,2018
34.parcel_id,0002013.,02002013.
20.city_one,eDtroit,Detroit
29.est_delivery,Befre 2010,Before 2010
32.status_one,Acitve,Active
21.parcel_id,0200086.,02000286.
33.state_one,MgI,MI
46.city_one,Dertoit,Detroit
41.address,1265 Washingtonv Blvd,1265 Washington Blvd
47.state_one,MyI,MI
14.state_one,dMI,MI
43.est_delivery,0222,2022
35.building_name,inton Building,Vinton Building
18.address,743 Bneaubien,743 Beaubien
52.city_one,Dtroit,Detroit
47.parcel_id,02002293v-6,02002293-6
39.address,1403 Woodwrad Ave.,1403 Woodward Ave.
44.state_one,IM,MI
38.building_name,The GabrielH ouze,The Gabriel Houze
49.status_one,Poposed,Proposed
18.state_one,MjI,MI
18.est_delivery,Before 010,Before 2010
16.state_one,pMI,MI
18.building_name,Greektown Lowfts,Greektown Lofts
22.city_one,gDetroit,Detroit
2.est_delivery,016,2016
49.parcel_id,0200327.,02000327.
38.state_one,tMI,MI
12.address,1431 Washirngton,1431 Washington
4.city_one,Dteroit,Detroit
53.tenure,Renter Occunpied,Renter Occupied
28.status_one,ctive,Active
9.city_one,Detrit,Detroit
11.est_delivery,214,2014
7.parcel_id,010s04138.,01004138.
51.status_one,Proosed,Proposed
50.state_one,I,MI
21.city_one,Dbetroit,Detroit
12.tenure,enter Occupied,Renter Occupied
11.address,1 Pahrk Avenue,1 Park Avenue
52.address,1326 Broadtway St,1326 Broadway St
42.est_delivery,208,2018
19.address,111n7 Griswold,1117 Griswold
23.city_one,Detroivt,Detroit
16.city_one,Dyetroit,Detroit
