Location,Last seen,Kills,Losses
Akora 0.3,"June 14, 2015, 09:24:10 am",0,2
1-GBBP 0.0,"September 27, 2012, 01:12:00 pm",0,1
DE-A7P 0.0,"May 02, 2015, 03:54:00 pm",0,1
M-OEE8 0.0,"December 17, 2012, 05:55:00 am",2,1
UMI-KK 0.0,"October 15, 2012, 01:02:10 pm",0,4
PNDN-V 0.0,"February 12, 2013, 02:47:00 pm",1,1
V7-FB4 0.0,"August 12, 2012, 12:42:00 pm",4,1
Y-DW5K 0.0,"February 10, 2010, 04:22:10 am",0,2
Utopia 0.0,"May 15, 2015, 06:05:10 pm",0,2
F9E-KX 0.0,"June 30, 2009, 02:13:00 am",0,1
B-3QPD 0.0,"April 02, 2015, 05:32:00 am",0,1
WD-VTV 0.0,"May 22, 2009, 01:02:00 pm",0,1
HED-GP 0.0,"March 27, 2015, 02:26:00 pm",14,1
ZQ-Z3Y 0.0,"May 13, 2009, 07:39:00 am",0,1
N-Q5PW 0.0,"October 26, 2012, 01:49:10 pm",0,2
H-PA29 0.0,"April 22, 2010, 06:00:00 am",0,1
P-VYVL 0.0,"October 20, 2012, 12:34:10 pm",1,2
GTB-O4 0.0,"May 29, 2015, 12:17:00 pm",6,2
X47L-Q 0.0,"October 31, 2012, 03:41:00 pm",1,4
MI6O-6 0.0,"September 23, 2012, 08:33:00 am",0,1
R-2R0G 0.0,"October 01, 2012, 12:18:10 pm",0,2
KGT3-6 0.0,"September 03, 2010, 07:27:10 am",0,4
G-QTSD 0.0,"May 13, 2015, 01:31:00 pm",2,2
KMH-J1 0.0,"May 28, 2015, 01:23:00 pm",1,1
R-6KYM 0.0,"November 14, 2010, 09:18:10 am",0,1
8KE-YS 0.0,"May 15, 2015, 04:34:10 pm",0,2
LXQ2-T 0.0,"June 14, 2015, 09:01:00 am",9,5
QBZO-R 0.0,"May 25, 2015, 11:37:00 am",3,3
CT8K-0 0.0,"May 17, 2015, 04:01:00 am",6,2
Atlar 0.4,"July 01, 2013, 01:48:00 pm",0,1
Grinacanne 0.8,"April 20, 2009, 01:05:00 pm",0,1
Dodixie 0.9,"October 06, 2013, 07:05:00 am",5,4
Botane 0.9,"October 10, 2013, 09:11:10 am",4,1
Sivala 0.6,"July 29, 2010, 02:45:10 am",0,2
Sujarento 0.3,"January 21, 2015, 01:50:00 pm",1,1
4U90-Z 0.0,"January 08, 2012, 12:08:00 pm",2,2
YA0-XJ 0.0,"July 30, 2012, 12:14:00 pm",0,1
2R-CRW 0.0,"March 01, 2014, 06:50:10 pm",0,6
Vaurent 0.6,"October 15, 2012, 02:02:00 pm",1,1
Jaschercis 0.6,"October 15, 2012, 01:28:00 pm",0,1
MHC-R3 0.0,"June 22, 2015, 12:59:00 pm",21,3
Poitot 0.0,"July 07, 2014, 12:43:00 pm",13,1
ZVN5-H 0.0,"June 13, 2014, 09:20:00 am",4,1
X-BV98 0.0,"December 13, 2014, 02:07:00 pm",4,2
FD-MLJ 0.0,"September 12, 2014, 02:05:10 am",5,1
PF-346 0.0,"February 21, 2015, 01:40:00 pm",15,8
X-M2LR 0.0,"July 31, 2014, 03:07:00 pm",4,2
K5-JRD 0.0,"January 21, 2015, 12:26:10 pm",7,3
6-CZ49 0.0,"February 21, 2015, 01:13:10 pm",30,3
EZA-FM 0.0,"January 04, 2015, 09:22:10 am",20,1
PVH8-0 0.0,"July 07, 2014, 11:50:00 am",2,1
M2-CF1 0.0,"June 28, 2015, 09:54:00 am",30,6
97X-CH 0.0,"June 26, 2015, 03:40:10 pm",109,10
5-T0PZ 0.0,"February 08, 2015, 07:43:10 am",25,1
6R-PWU 0.0,"January 16, 2015, 05:42:00 am",9,1
A-ZLHX 0.0,"June 25, 2015, 09:08:00 am",116,10
UTKS-5 0.0,"July 05, 2015, 07:59:00 am",41,2
Y9G-KS 0.0,"June 28, 2015, 07:10:10 am",186,13
I0AB-R 0.0,"January 20, 2015, 12:54:10 pm",7,2
5-FGQI 0.0,"February 21, 2015, 02:16:00 pm",4,1
BMNV-P 0.0,"February 06, 2015, 02:06:10 pm",7,1
EF-F36 0.0,"February 10, 2010, 02:30:10 am",0,1
Niarja 0.5,"February 02, 2010, 02:53:10 am",0,2
Pertnineere 0.4,"December 12, 2014, 09:07:00 am",23,1
K4YZ-Y 0.0,"January 07, 2012, 01:17:00 pm",1,1
YWS0-Z 0.0,"July 13, 2009, 09:53:00 am",9,3
9UY4-H 0.0,"August 22, 2009, 11:59:10 am",1,4
D-GTMI 0.0,"March 22, 2015, 01:03:00 pm",12,1
H6-CX8 0.0,"August 26, 2009, 12:01:00 am",2,1
Y-MPWL 0.0,"September 03, 2009, 09:05:00 am",11,2
3GXF-U 0.0,"June 06, 2009, 04:40:00 am",0,1
1-1I53 0.0,"July 16, 2009, 03:04:00 pm",1,1
R3-K7K 0.0,"October 05, 2012, 05:43:10 pm",5,2
Agoze 0.2,"July 30, 2014, 12:23:00 pm",10,1
