characteristic,sex,raceethnicity,year,score,standard_error,note
Total,NULL,NULL,2002,263.0,0.5,NULL
Total,NULL,NULL,2003,261.0,0.2,NULL
Total,NULL,NULL,2004,NULL,NULL,NULL
Total,NULL,NULL,2005,260.0,0.2,NULL
Total,NULL,NULL,2006,NULL,NULL,NULL
Total,NULL,NULL,2007,261.0,0.2,NULL
Total,NULL,NULL,2008,NULL,NULL,NULL
Total,NULL,NULL,2009,262.0,0.3,NULL
Total,NULL,NULL,2010,NULL,NULL,NULL
Total,NULL,NULL,2011,264.0,0.2,NULL
Total,NULL,NULL,2012,NULL,NULL,NULL
Total,NULL,NULL,2013,266.0,0.2,NULL
Total - Male,Male,NULL,2002,258.0,0.5,NULL
Total - Male,Male,NULL,2003,256.0,0.3,NULL
Total - Male,Male,NULL,2004,NULL,NULL,NULL
Total - Male,Male,NULL,2005,255.0,0.2,NULL
Total - Male,Male,NULL,2006,NULL,NULL,NULL
Total - Male,Male,NULL,2007,256.0,0.3,NULL
Total - Male,Male,NULL,2008,NULL,NULL,NULL
Total - Male,Male,NULL,2009,258.0,0.3,NULL
Total - Male,Male,NULL,2010,NULL,NULL,NULL
Total - Male,Male,NULL,2011,259.0,0.3,NULL
Total - Male,Male,NULL,2012,NULL,NULL,NULL
Total - Male,Male,NULL,2013,261.0,0.3,NULL
Total - Female,Female,NULL,2002,267.0,0.5,NULL
Total - Female,Female,NULL,2003,267.0,0.3,NULL
Total - Female,Female,NULL,2004,NULL,NULL,NULL
Total - Female,Female,NULL,2005,266.0,0.2,NULL
Total - Female,Female,NULL,2006,NULL,NULL,NULL
Total - Female,Female,NULL,2007,266.0,0.3,NULL
Total - Female,Female,NULL,2008,NULL,NULL,NULL
Total - Female,Female,NULL,2009,267.0,0.3,NULL
Total - Female,Female,NULL,2010,NULL,NULL,NULL
Total - Female,Female,NULL,2011,268.0,0.3,NULL
Total - Female,Female,NULL,2012,NULL,NULL,NULL
Total - Female,Female,NULL,2013,271.0,0.3,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2002,271.0,0.5,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2003,270.0,0.2,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2004,NULL,NULL,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2005,269.0,0.2,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2006,NULL,NULL,NULL
