characteristic,sex,raceethnicity,year,score,standard_error,note
Total,,,2002,263.0,0.5,
Total,,,2003,261.0,0.2,
Total,,,2004,,,
Total,,,2005,260.0,0.2,
Total,,,2006,,,
Total,,,2007,261.0,0.2,
Total,,,2008,,,
Total,,,2009,262.0,0.3,
Total,,,2010,,,
Total,,,2011,264.0,0.2,
Total,,,2012,,,
Total,,,2013,266.0,0.2,
Total - Male,Male,,2002,258.0,0.5,
Total - Male,Male,,2003,256.0,0.3,
Total - Male,Male,,2004,,,
Total - Male,Male,,2005,255.0,0.2,
Total - Male,Male,,2006,,,
Total - Male,Male,,2007,256.0,0.3,
Total - Male,Male,,2008,,,
Total - Male,Male,,2009,258.0,0.3,
Total - Male,Male,,2010,,,
Total - Male,Male,,2011,259.0,0.3,
Total - Male,Male,,2012,,,
Total - Male,Male,,2013,261.0,0.3,
Total - Female,Female,,2002,267.0,0.5,
Total - Female,Female,,2003,267.0,0.3,
Total - Female,Female,,2004,,,
Total - Female,Female,,2005,266.0,0.2,
Total - Female,Female,,2006,,,
Total - Female,Female,,2007,266.0,0.3,
Total - Female,Female,,2008,,,
Total - Female,Female,,2009,267.0,0.3,
Total - Female,Female,,2010,,,
Total - Female,Female,,2011,268.0,0.3,
Total - Female,Female,,2012,,,
Total - Female,Female,,2013,271.0,0.3,
"Total - White, non-Hispanic",,"White, non-Hispanic",2002,271.0,0.5,
"Total - White, non-Hispanic",,"White, non-Hispanic",2003,270.0,0.2,
"Total - White, non-Hispanic",,"White, non-Hispanic",2004,,,
"Total - White, non-Hispanic",,"White, non-Hispanic",2005,269.0,0.2,
"Total - White, non-Hispanic",,"White, non-Hispanic",2006,,,
"Total - White, non-Hispanic",,"White, non-Hispanic",2007,270.0,0.2,
"Total - White, non-Hispanic",,"White, non-Hispanic",2008,,,
"Total - White, non-Hispanic",,"White, non-Hispanic",2009,271.0,0.2,
"Total - White, non-Hispanic",,"White, non-Hispanic",2010,,,
"Total - White, non-Hispanic",,"White, non-Hispanic",2011,272.0,0.3,
"Total - White, non-Hispanic",,"White, non-Hispanic",2012,,,
"Total - White, non-Hispanic",,"White, non-Hispanic",2013,275.0,0.2,
"Total - Black, non-Hispanic",,"Black, non-Hispanic",2002,244.0,0.8,
"Total - Black, non-Hispanic",,"Black, non-Hispanic",2003,244.0,0.5,
"Total - Black, non-Hispanic",,"Black, non-Hispanic",2004,,,
"Total - Black, non-Hispanic",,"Black, non-Hispanic",2005,242.0,0.4,
"Total - Black, non-Hispanic",,"Black, non-Hispanic",2006,,,
"Total - Black, non-Hispanic",,"Black, non-Hispanic",2007,244.0,0.4,
"Total - Black, non-Hispanic",,"Black, non-Hispanic",2008,,,
"Total - Black, non-Hispanic",,"Black, non-Hispanic",2009,245.0,0.4,
"Total - Black, non-Hispanic",,"Black, non-Hispanic",2010,,,
"Total - Black, non-Hispanic",,"Black, non-Hispanic",2011,248.0,0.5,
"Total - Black, non-Hispanic",,"Black, non-Hispanic",2012,,,
"Total - Black, non-Hispanic",,"Black, non-Hispanic",2013,250.0,0.4,
Total - Hispanic,,Hispanic,2002,245.0,0.8,
Total - Hispanic,,Hispanic,2003,244.0,0.7,
Total - Hispanic,,Hispanic,2004,,,
Total - Hispanic,,Hispanic,2005,245.0,0.4,
Total - Hispanic,,Hispanic,2006,,,
Total - Hispanic,,Hispanic,2007,246.0,0.4,
Total - Hispanic,,Hispanic,2008,,,
Total - Hispanic,,Hispanic,2009,248.0,0.6,
Total - Hispanic,,Hispanic,2010,,,
Total - Hispanic,,Hispanic,2011,251.0,0.5,
Total - Hispanic,,Hispanic,2012,,,
Total - Hispanic,,Hispanic,2013,255.0,0.4,
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2002,265.0,1.7,
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2003,268.0,1.2,
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2004,,,
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2005,270.0,0.8,
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2006,,,
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2007,269.0,1.2,
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2008,,,
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2009,273.0,1.1,
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2010,,,
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2011,277.0,1.1,
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2012,,,
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2013,280.0,1.0,
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2002,,,
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2003,,,
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2004,,,
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2005,,,
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2006,,,
