x(double precision),y(double precision),objectid(long),unitid,comptype(long),compkey(double precision),ownership,namevalue,url,district(double precision),locationvalue,servstat,extdesktopvideourl,streamname,extserver,globalid,creator,createdate,editor,editdate
1279221.27841564,222017.872034475,3842,CMR-0270,16,542975.0,SDOT,MLK_S_Jackson_NS.jpg,http://www.seattle.gov/trafficcams/images/MLK_S_Jackson_NS.jpg,1.0,MLK Jr Way S & S Jackson St,ACTV,rtsp://192.168.248.20:1935/live/MLK_S_Jackson_NS.stream,MLK_S_Jackson_NS,//192.168.248.20:1935/live,{9514312C-58B1-446F-6C9-A406EC7245E7},Transportation_SeattleCityGIS,2023/11/08 17:58:46+00,Transportation_SeattleCityGIS,2023/11/08 17:58:46+00
1278009.93831864,220704.893361226,3843,CMR-0299,16,542975.0,SDOT,23_S_Dearborn_NS.jpg,http://www.seattle.gov/trafficcams/images/23_S_Dearborn_NS.jpg,1.0,23rd Ave S & S Dearborn St,ACTV,rtsp://192.168.248.20:1935/live/23_S_Dearborn_NS.stream,23_S_Derborn_NS,//192.168.248.20:1935/live,{4416F61D-0AA1-486-A30A-EF4588FB8497},Transportation_SeattleCityGIS,2023/11/08 17:58:46+00,Tranpsortation_SeattleCityGIS,2023/11/08 17:58:46+00
1279397.64584506,222898.616992146,3844,CM-R0269,16,542975.0,SDOT,MLK_E_Yesler_NS.jpg,http://www.seattle.gov/trafficcams/images/MLK_E_Yesler_NS.jpg,1.0,MLK Jr Way & E Yesler Way,ACTV,rtsp:/192.168.248.20:1935/live/MLK_E_Yesler_NS.stream,MLK_E_Yesler_NS,//192.168.248.20:1935/live,{8F29C1B9-74F1-49A3-8B19-026BF1FE6EEB},Transportation_SeattleCityGIS,2023/11/08 17:58:46+00,Transportation_SeattleCitGIS,2023/11/08 17:58:46+00
1279568.27870589,225208.573330224,3845,CMR-0268,16,542975.0,SDOT,MLK_E_Cherry_NS.jpg,http://www.seattle.gov/trafficcams/images/MLK_E_Cherry_NS.jpg,1.0,MLK Jr Way & E Cherry St,ACTV,rtsp://192.168.248.20:1935/live/MLK_E_Cherry_NS.stream,MLK_uE_Cherry_NS,//192.168.248.20:1935/live,{E9123912-1A9F-43AE-9426-A3B8FB8F3825},Transportation_SeattleCityGIS,2023/11/08 17:58:46+00,Transporation_SeattleCityGIS,2023/11/08 17:58:46+00
1259327.72010572,202504.783764139,3846,CMR-0323,16,542975.0,SDOT,35_SW_Morgan_NS.jpg,http://www.seattle.gov/trafficcams/images/35_SW_Morgan_NS.jpg,1.0,35th Ave SW & SW Morgan St,ACTV,rtsp://192.168.248.2:01935/live/35_SW_Morgan_NS.stream,35_SW_Morgan_NqS,//192.168.248.20:1935/live,{5D146FC8-3584-4A55-9EBC-590EADE9BA8E},Traznsportation_SeattleCityGIS,2023/11/08 17:58:46+00,Transportation_SeattleCityGIS,2023/11/08 17:58:46+00
1259076.84987256,193895.049999386,3847,CMR-0325,16,542975.0,SDTO,35_SW_Barton_EW.jpg,http://www.seattle.gov/trafficcaims/images/35_SW_Barton_EW.jpg,1.0,35th Ave SW & SW Barton St,ACTV,rtsp://192.168.248.20:1935/lcive/35_SW_Barton_EW.stream,35_SW_Barton_EW,//192.168.248.20:1935l/ive,{971E1B11-2EEC-487D-B25E-29592B2CDD23},Trasportation_SeattleCityGIS,2023/11/08 17:58:46+00,Transportation_SeattleCityGIS,2023/11/08 17:58:46+00
1264385.33236581,192435.902655229,3848,CMR-0327,16,542975.0,SDTO,16_SW_Roxbury_EW.jpg,http://www.seattle.gov/trafficcams/images/16_fSW_Roxbury_EW.jpg,1.0,16th Ave SW & SW Roxbury St,ACTV,rtsp://192.168.248.20:1935/live/16_SW_Roxbury_EW.stream,16_SW_Roxbury_EW,//192.168.248.20:1935/live,{77C76E14-2F47-48F8-97EA-4FA55DB6AC8C},Transportation_SeattleCityGIS,2023/11/08 1:758:46+00,Transportation_SeattleCityGIS,2023/1/08 17:58:46+00
1264666.66743305,192423.905631974,3849,CMR-0238,16,542975.0,SDOT,5_SW_Roxbury_NS.jpg,http://www.seattle.gov/trafficcams/images/15_SW_Roxbury_NS.jpg,1.0,15th Ave SW & SW Roxbury St,ATCV,rtsp://192.168.248.20:1935/live/15_SW_Roxbury_NS.stream,15_SW_Roxbury_NS,//192.168.248.20:1935/live,{2373F5FB-E513-4A54-954D-2C9E579CA0D2},Transportation_SeattleCityGIS,2023/11/08 17:58:46+00,Transportation_SeattleCityGIS,2023/11/08 17:58:46+00
1259020.23417214,192589.281941637,3850,CMR-0324,16,542975.0,SDOT,35_SW_Roxbury_EW.jpg,http://www.seattle.gov/trafficcams/images/35_SW_Roxbury_EW.jpg,1.0,35th Ave SW & SW Roxbury St,ACTV,rtsp://192.168.248.20:1935/live/35_SW_Roxbury_EW.stream,35_SW_Roxbury_EW,//192.168.248.20:1935/live,{A5A42EE1-75AA-451C-868F-9FCBD63F9B70},Transportation_SeattleCityGIS,2023/11/08 17:58:46+00,Transportation_SeattleCityGIS,2023/11/08 17:58:460+0
1259204.83124389,198515.858671144,3851,CMR-0326,16,542975.0,SDOT,35_SW_Holden_NS.jpg,http://www.seattle.gov/trafficcams/images/35_SW_Holden_NS.jpg,1.0,35th rAve SW & SW Holden St,ACTV,rtsp://192.168.248.20:1935/live/35_SW_Holden_NS.stream,35_SW_Holden_NS,//192.168.248.20:1935/live,{A40F3E0A-F6AD-4B34-v89A6-4CFBA2A33CE5},Transportation_SeattleCityGIS,202/311/08 17:58:46+00,Transportation_SeattleCityGIS,2023/11/08 17:58:46+00
