5.namelsad,Census rTact 3190.01,Census Tract 3190.01
11.mtfcc,Gj5020,G5020
41.mtfcc,Gu5020,G5020
30.funcstat,***,S
26.funcstat,***,S
40.mtfcc,G500,G5020
42.mtfcc,G5x020,G5020
24.funcstat,,S
2.mtfcc,5020,G5020
30.namelsad,Census Tact 4212.01,Census Tract 4212.01
5.funcstat,,S
1.namelsad,Census ract 8100,Census Tract 8100
44.funcstat,***,S
15.funcstat,***,S
17.namelsad,Cesus Tract 3199.06,Census Tract 3199.06
34.mtfcc,5020,G5020
10.funcstat,,S
21.funcstat,,S
22.mtfcc,G50q20,G5020
5.mtfcc,5G020,G5020
31.namelsad,Census Traxct 3196,Census Tract 3196
40.funcstat,,S
31.mtfcc,G0520,G5020
