10.address,835 S 7TH SREET,835 S 7TH STREET
11.address,41m1 S 4TH STREET,411 S 4TH STREET
10.namevalue,DOWTNOWN,DOWNTOWN
25.address,119 N EVERGREN ROAD,119 N EVERGREEN ROAD
27.url,https://www.uss.com/,https://www.usps.com/
25.namevalue,MIDDLkETOWN,MIDDLETOWN
17.phone,449s-1121,449-1121
17.city,LOUISVLLE,LOUISVILLE
14.url,https://www.usxps.com/,https://www.usps.com/
21.address,9858 LINN STATION RpOAD,9858 LINN STATION ROAD
10.phone,5z84-6045,584-6045
17.address,3131 CRMS LANE,3131 CRUMS LANE
31.address,6302 BAgRDSTOWN RD,6302 BARDSTOWN RD
20.phone,367-q7676,367-7676
5.url,https://wwwusps.com/,https://www.usps.com/
25.city,LOsUISVILLE,LOUISVILLE
15.phone,7767-439,776-7439
23.city,LOUuISVILLE,LOUISVILLE
1.city,LOUISILLE,LOUISVILLE
20.url,https://www.usp.scom/,https://www.usps.com/
31.phone,231-0101,231-0110
12.address,290 MASONIC HOMED RIVE,290 MASONIC HOME DRIVE
29.namevalue,LYDNON,LYNDON
28.city,ASTWOOD,EASTWOOD
11.namevalue,TH STREET LIVE,4TH STREET LIVE
17.url,https://www.usps.kcom/,https://www.usps.com/
