characteristic,sex,raceethnicity,yearvalue(long),rateperonezerozerozerozerozero(double precision),countvalue(double precision)
Total,Female,"American Indian/Alaska Nativ,e non-Hispanic",2001,287.3,103744.0
Total,Femlae,"American Indian/Alaska Native, non-Hispanic",2002,9.2,192.0
Total,Femlae,"American Indian/Aaska Native, non-Hispanic",2003,259.2,96068.0
Totl,Fempale,"American Indian/Alaska Native, non-Hispanic",2004,9.2,192.0
Total,Femrale,"American Indian/Alaska Native, non-Hispanic",2005,9.2,192.0
Total,Female,"American Indian/Alaska Native, non-Hispanic",2006,243.4,92369.0
Total,Female,"American Indian/Alavska Native, non-Hispanic",2007,226.9,86437.0
Total,Female,"American Indian/Alaska Native, non-Hspanic",2008,9.2,192.0
Totyal,Femael,"American Indian/Alaska Naive, non-Hispanic",2009,9.2,192.0
Total,Female,"American Indian/Alaqska Native, non-Hispanic",2010,189.5,70491.0
Total,Femable,"American Indian/Alaska Native, non-Hispnic",2011,165.9,61215.0
Totl - Male,Mle,"American Indian/Alaska Native, non-Hispanic",2001,478.0,88689.0
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2002,9.2,192.0
Total - Male,Male,"American Indina/Alaska Native, non-Hispanic",2003,428.1,81565.0
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2004,9.2,192.0
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2005,9.2,192.0
Total - Mlae,aMle,"Ameriacn Indian/Alaska Native, non-Hispanic",2006,403.8,78690.0
Total - Male,Mael,"American Indian/Alaska Native, non-Hispanic",2007,382.0,74673.0
Ttoal - Male,Male,"American Indain/Alaska Native, non-Hispanic",2008,9.2,192.0
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2009,9.2,192.0
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2010,320.5,61096.0
Total - Male,bMale,"American Indian/Alaska Native, non-Hispanic",2011,279.7,52884.0
Total - Female,Femle,"American Indian/Alamska Native, non-Hispanic",2001,85.8,15055.0
Total - Female,Female,"American Indian/Alaska Namtive, non-Hispanic",2002,9.2,192.0
Total -F emale,Femle,"Americamn Indian/Alaska Native, non-Hispanic",2003,80.5,14503.0
