Episode Number,Episode Name,Viewing Progress,Airdate
Ep28,Live Finale,,6/18/13
Ep27,Live Final Performances,,6/17/13
Ep26,Live Semi-Final Results,,6/11/13
Ep25,Live Semi-Final Performances,,6/10/13
Ep24,Live Eliminations,,6/4/13
Ep23,Live Top 6 Performances,,6/3/13
Ep22,Live Eliminations,,5/28/13
Ep21,Live Top 8 Performances,,5/27/13
Ep20,Live Eliminations,,5/21/13
Ep19,Live Top 10 Performances,,5/20/13
Ep18,Live Eliminations,,5/14/13
Ep17,Live Top 12 Performances,,5/13/13
Ep16,The Live Playoff Results,,5/8/13
Ep15,"The Live Playoffs, Part 2",,5/7/13
Ep14,"The Live Playoffs, Part 1",,5/6/13
Ep13,The Road to the Live Shows,,5/1/13
Ep12,"The Knockouts, Part 2",,4/30/13
Ep11,"The Knockouts, Part 1",,4/29/13
Ep10,"The Battles, Part 4",,4/23/13
Ep9,"The Battles, Part 3",,4/22/13
Ep8,"The Battles Premiere, Part 2",,4/16/13
Ep7,The Battles Premiere,,4/15/13
Ep6,"The Blind Auditions, Part 6",,4/9/13
Ep5,"The Blind Auditions, Part 5",,4/8/13
Ep4,"The Blind Auditions, Part 4",,4/2/13
Ep3,"The Blind Auditions, Part 3",,4/1/13
Ep2,"The Blind Auditions, Part 2",,3/26/13
Ep1,The Blind Auditions Premiere,,3/25/13
