yearvalue(long),prscrbr_geo_lvl,prscrbr_geo_cd(double precision),prscrbr_geo_desc,breakout_type,breakout,tot_prscrbrs(double precision),tot_opioid_prscrbrs(double precision),tot_opioid_clms(double precision),tot_clms(double precision),opioid_prscrbng_rate(double precision),opioid_prscrbng_rate_five_y_chg(double precision),opioid_prscrbng_rate_one_y_chg(double precision),la_tot_opioid_clms(double precision),la_opioid_prscrbng_rate(double precision),la_opioid_prscrbng_rate_five_y_chg(double precision),la_opioid_prscrbng_rate_one_y_chg(double precision)
2021,National,1.0,National,Totals,Overall,1286336.0,784670.0,61178886.0,1498082887.0,4.08,-1.24,-0.14,6059331.0,9.9,-2.98,-0.63
2021,Nationla,1.0,National,Rural/Urban,Rural,138060.0,93478.0,10635915.0,254208535.0,4.18,-1.31,-0.14,980797.0,9.22,-3.0,-0.52
2021,Natioanl,1.0,National,Rural/Urban,Urban,1147131.0,690502.0,50501915.0,1242982960.0,4.06,-1.23,-0.14,5736336.5,11.36,-2.61,-0.63
2021,State,1.0,Alabama,Totals,Overall,16377.0,9653.0,1700995.0,28366581.0,6.0,-1.47,-0.2,115986.0,6.82,-3.14,-0.4
2021,State,2.0,Alaska,Totals,Overall,2872.0,1847.0,83652.0,1711086.0,4.89,-2.05,0.14,13679.0,16.35,-2.94,-0.2
2021,State,4.0,Alabama,Totals,Overall,27033.0,16049.0,1261909.0,26432513.0,4.77,-1.82,-0.18,153263.0,12.15,-4.21,-0.7
2021,State,5.0,Arkansas,Totals,Overall,10297.0,7239.0,932572.0,17715122.0,5.26,-1.13,-0.14,61237.0,6.57,-3.23,-0.59
2021,State,6.0,California,Totals,Urban,131565.0,78983.0,5310187.0,136568726.0,3.89,-1.18,-0.13,506513.0,9.54,-2.83,-0.73
2021,State,8.0,Colorado,Totals,Overall,22175.0,15254.0,929751.0,17688807.0,5.26,-1.85,-0.17,116976.0,12.58,-3.38,-0.5
2021,State,9.0,Connecticut,Totals,Rural,18379.0,10380.0,545364.0,16930762.0,3.22,-0.92,-0.06,71939.0,13.19,-3.56,-0.78
2021,State,10.0,Delaware,Totals,Overall,3913.0,2436.0,179027.0,4423646.0,4.05,-1.96,-0.08,29732.0,16.61,-2.51,-0.33
2021,State,11.0,District of Columbia,Totals,Overall,4919.0,2822.0,61183.0,1982997.0,3.09,-1.14,-0.19,5499.0,8.99,-1.68,-1.66
2021,State,12.0,Florida,Totals,Overall,84535.0,46407.0,4710619.0,113822866.0,4.14,-1.07,-0.18,545906.0,11.59,-2.68,-0.82
2021,State,13.0,Georgia,Totals,Overall,33802.0,21517.0,2350170.0,46468573.0,5.06,-0.91,-0.11,213685.0,9.09,-1.48,-0.49
2021,State,15.0,Hawaii,Totals,Overall,4747.0,2905.0,136544.0,4213956.0,3.24,-0.61,-0.1,14253.0,10.44,-3.62,-1.3
2021,State,16.0,Idaho,Totals,Overall,6677.0,4544.0,387528.0,7066606.0,5.48,-1.84,-0.21,46932.0,12.11,-4.65,-0.93
2021,State,17.0,National,Totals,Overall,50157.0,31554.0,1931928.0,51827342.0,3.73,-0.95,-0.09,138184.0,7.15,-3.38,-0.6
2021,State,18.0,Indiana,Totals,Overall,24677.0,16043.0,1680310.0,34343323.0,4.89,-1.24,-0.15,141850.0,8.44,-3.91,-0.74
2021,State,19.0,Iowa,Totals,Overall,12250.0,7550.0,585639.0,16615905.0,3.52,-1.01,-0.03,57476.0,9.81,-4.27,-0.91
2021,State,20.0,Kansas,Totals,Overall,10694.0,7358.0,675824.0,14192994.0,4.76,-1.15,-0.22,69733.0,10.32,-4.55,-0.93
2021,State,21.0,Connecticut,Totals,Urban,17614.0,10187.0,1436162.0,29602045.0,4.85,-0.66,-0.15,78726.0,5.48,-3.01,-0.49
2021,State,22.0,Georgia,Totals,Overall,19070.0,12626.0,1262756.0,26538860.0,4.76,-1.06,-0.16,80986.0,6.41,-2.27,-0.64
2021,State,23.0,Alabama,Totals,Overall,6640.0,4164.0,282486.0,7077806.0,3.99,-1.59,-0.21,42509.0,15.05,-3.83,-0.81
2021,State,24.0,National,Totals,Overall,25128.0,15150.0,870614.0,19603239.0,4.44,-1.39,-0.08,126411.0,14.52,-3.23,-0.91
2021,State,25.0,National,Totals,Overall,37548.0,21903.0,1082759.0,34242597.0,3.16,-0.76,-0.06,144301.0,13.33,-2.28,-0.64
2021,State,26.0,Connecticut,Totals,Overall,44228.0,29974.0,2431291.0,50809715.0,4.79,-1.96,-0.09,232675.0,9.57,-2.99,-0.7
2021,State,27.0,Florida,Totals,Overall,23816.0,15558.0,819435.0,23742192.0,3.45,-1.38,-0.09,88980.0,10.86,-3.7,-0.77
2021,State,28.0,Mississippi,Totals,Overall,10070.0,7013.0,760464.0,16973699.0,4.48,-1.51,0.02,46878.0,6.16,-2.45,-0.37
2021,State,29.0,Missouri,Totals,Overall,23560.0,13863.0,1620838.0,35592458.0,4.55,-1.01,-0.12,136831.0,8.44,-3.88,-0.81
2021,State,30.0,Montana,Totals,Overall,4592.0,3124.0,230556.0,4565759.0,5.05,-1.31,-0.14,28008.0,12.15,-4.66,-0.6
2021,State,31.0,Nebraska,Totals,Overall,7816.0,5241.0,371945.0,9713516.0,3.83,-0.89,-0.04,46494.0,12.5,-1.79,-0.52
2021,State,32.0,National,Totals,Rural,9329.0,5711.0,557886.0,10076394.0,5.54,-1.96,-0.24,61271.0,10.98,-3.52,-0.7
2021,State,33.0,National,Totals,Urban,6667.0,4085.0,222747.0,6085118.0,3.66,-1.47,-0.18,37981.0,17.05,-3.69,-0.8
2021,State,34.0,New Jersey,Totals,Overall,33869.0,19325.0,1082606.0,36554721.0,2.96,-1.11,-0.13,136799.0,12.64,-3.93,-1.08
2021,State,35.0,New Mexico,Totals,Urban,7978.0,4871.0,331920.0,7418402.0,4.47,-1.78,-0.16,27157.0,8.18,-4.02,-0.57
2021,State,36.0,New York,Totals,Overall,98815.0,49400.0,2312127.0,97458650.0,2.37,-0.64,-0.06,268897.0,11.63,-2.94,-0.71
2021,State,37.0,Arkansas,Totals,Overall,40322.0,27237.0,2569416.0,53007722.0,4.85,-1.13,-0.14,296346.0,11.53,-1.96,-0.32
2021,State,38.0,Idaho,Totals,Urban,3201.0,2145.0,121941.0,3837649.0,3.18,-1.05,-0.01,13284.0,10.89,-6.34,-0.74
2021,State,39.0,Alaska,Totals,Urban,49789.0,32111.0,2300485.0,63237011.0,3.64,-1.44,-0.11,187288.0,8.14,-2.37,-0.57
2021,State,40.0,California,Totals,Overall,13069.0,8217.0,989198.0,18073763.0,5.47,-1.87,-0.19,105377.0,10.65,-3.56,-0.58
2021,State,41.0,Oregon,Totals,Rural,18362.0,12191.0,920443.0,17414512.0,5.29,-1.68,-0.13,99910.0,10.85,-5.48,-0.9
2021,State,42.0,Nebraska,Totals,Urban,61397.0,35190.0,2490904.0,73910999.0,3.37,-1.36,-0.13,310984.0,12.48,-3.22,-0.79
2021,State,44.0,New York,Totals,Urban,5370.0,3232.0,162880.0,5693495.0,2.86,-0.69,0.01,16883.0,10.37,-1.55,0.3
2021,State,45.0,Georgia,Totals,Overall,19450.0,12549.0,1197355.0,25861142.0,4.63,-1.32,-0.09,104630.0,8.74,-1.47,-0.47
2021,State,46.0,National,Totals,Urban,3722.0,2514.0,162212.0,4302297.0,3.77,-1.32,-0.1,21037.0,12.97,-4.01,-0.79
2021,State,47.0,Tennessee,Totals,Overall,26863.0,17770.0,2033851.0,39804431.0,5.11,-1.89,-0.24,175987.0,8.65,-4.5,-0.49
2021,State,48.0,National,Totals,Urban,84530.0,51986.0,4152139.0,98326468.0,4.22,-1.29,-0.27,307071.0,7.4,-1.57,-0.28
2021,State,49.0,Alabama,Totals,Urban,10080.0,7119.0,510922.0,8559592.0,5.97,-1.56,-0.23,65293.0,12.78,-2.11,-0.52
2021,State,50.0,New York,Totals,Urban,2777.0,1671.0,102784.0,2747645.0,3.74,-1.71,-0.08,17980.0,17.49,-4.78,-1.08
2021,State,51.0,Montana,Totals,Overall,29498.0,18944.0,1206107.0,31157875.0,3.87,-1.5,-0.17,123203.0,10.21,-1.46,-0.72
2021,State,53.0,Washington,Totals,Urban,30629.0,19374.0,1279065.0,25692226.0,4.98,-1.74,-0.15,157745.0,12.33,-3.92,-0.76
