4.address,1214 Griswold ,1114 Washington
1.y,306394.701267,306761.720398
5.y,306394.701267,307547.069109
3.y,306394.701267,307594.830427
3.building_name,Albert Apartments,Ashley
1.building_name,Albert Apartments,28 Grand
4.building_name,Albert Apartments,Book Cadillac
1.x,1.3479650709765E7,1.3479445731195E7
4.y,306394.701267,306025.920922
5.address,1214 Griswold ,114 W Adams
3.address,1214 Griswold ,1526 Centre St
3.x,1.3479650709765E7,1.3480068333588E7
1.address,1214 Griswold ,28 W Grand River Ave
5.x,1.3479299166425E7,1.3478504145662E7
5.parcel_id,02001996.,02000380-1
