objectid(long),zcta_five_ce_one_zero(long),geoid_one_zero(long),funcstat_one_zero,aland_one_zero(long),awater_one_zero(long),county,sif_area(double precision),global_id,aland_one_zero_one(long),awater_one_zero_one(long),intptlat_one_zero_one(double precision),intptlon_one_zero_one(double precision),partflg_one_zero_one,geoid_one_zero_one_two(long),zcta_five_ce_one_zero_one_two(long),county_one_two,id(long),median_hh_income(double precision)
1.0,48371.0,2648371.0,S,110655621.0,4157391.0,Wayne,1.0,a7f9954d-8407-437f-9267-a068b2d25519,10178038.0,4157391.0,42.8409698,-83.2915307,N,2648371.0,48081.0,Oakland,39.0,72362.0
2.0,48380.0,2648383.0,S,49265723.0,4189694.0,Wayne,1.0,a7f9954d-8407-437f-9267-a068b2d25519,33063561.0,3357791.0,42.8409698,-83.2915307,N,2648380.0,48317.0,Oakland,165.0,90302.0
3.0,48081.0,2648081.0,S,110655621.0,3460922.0,Wayne,1.0,fe86e94c-e388-4121-9763-444ae8e5bf69,10178038.0,4157391.0,42.7457468,-82.8950389,N,2648081.0,48081.0,Macomb,132.0,57277.0
4.0,48315.0,2648315.0,S,33063561.0,425300.0,Wayne,1.0,168af005-994c-40c5-88cc-70b737974d65,33063561.0,2452196.0,42.6715479,-82.8950389,N,2648380.0,48048.0,Macomb,132.0,70210.0
5.0,48317.0,2648317.0,S,110655621.0,1328385.0,Wayne,1.0,fe86e94c-e388-4121-9763-444ae8e5bf69,31361812.0,1328385.0,42.6715479,-82.8950389,N,2648317.0,48317.0,Macomb,39.0,53279.0
6.0,48088.0,2648088.0,S,49265723.0,0.0,Wayne,1.0,168af005-994c-40c5-88cc-70b737974d65,31361812.0,1328385.0,42.7457468,-83.2915307,N,2648088.0,48317.0,Macomb,39.0,55876.0
7.0,48048.0,2648048.0,S,49265723.0,3357791.0,Wayne,1.0,fe86e94c-e388-4121-9763-444ae8e5bf69,33063561.0,402169.0,42.7457468,-82.8950389,N,2648048.0,48048.0,Macomb,168.0,54580.0
8.0,48236.0,2648236.0,S,49265723.0,3357791.0,Wayne,1.0,168af005-994c-40c5-88cc-70b737974d65,19463663.0,3357791.0,42.7457468,-82.8950389,N,2648048.0,48236.0,Wayne,132.0,94515.0
9.0,48088.0,2648383.0,S,24100791.0,2452196.0,Wayne,1.0,e2cf5d78-b6b4-4840-a89a-6e18e29c52c9,19463663.0,2452196.0,42.4628849,-82.8950389,N,2648088.0,48317.0,Oakland,168.0,71047.0
10.0,48371.0,2648335.0,S,110655621.0,9310.0,Wayne,1.0,d0fc55ea-104f-459b-82ea-c8cf5b228b90,31361812.0,9310.0,42.4628849,-83.2915307,N,2648335.0,48320.0,Oakland,165.0,63597.0
