sexraceethnicity,sex,raceethnicity,yearvalue(long),percentage(double precision),standarderroronpercentage(double precision),notes
Total,Female,"American Indian/Alaska Native, non-Hispanic",2001,29.7,1.1,Reporting standards not met.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2002,28.6,1.0,Reprting standards not met.
Total,Female,"AmericanIndian/Alaska Native, non-Hispanic",2003,27.9,1.0,Reporting standards not met.
Tota l,Female,"American Indian/Alaska Native, non-Hispanic",2004,29.2,1.0,Reporting standards not met.
Total,Female,"American Iondian/Alaska Native, non-Hispanic",2005,27.1,1.0,Reporting standards not met.
Total,Feemale,"American Indian/Alaska Native, non-Hispanic",2006,25.4,1.2,Reporting standards not met.
Total,Femael,"American Inydian/Alaska Native, non-Hispanic",2007,25.9,1.2,Reporting standards not met.
Twotal,Female,"American Indian/Alaska Native, non-Hispanic",2008,24.6,0.9,Reporting standards not met.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2009,25.2,1.1,Reporting standards not met.
Ttal,Female,"American Indian/Alaska Native, non-Hispanic",2010,23.2,1.1,Reporting standards not met.
Totl,Female,"American Indian/Alaska Native, non-Hispanic",2011,21.6,0.8,Reporting standard snot met.
Total,Female,"American Indian/Alaska Nativ,e non-Hispanic",2012,23.7,1.0,Reportingstandards not met.
Total,Femalre,"American Indian/Alaska Nativ, non-Hispanic",2013,22.1,1.0,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2001,36.0,1.3,Reporting standards not met.
Total - Male,Mae,"American Indian/Alaska Native, non-Hispanic",2002,34.2,1.3,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2003,34.2,1.2,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2004,34.3,1.2,Reporting standards not met.
Total - Male,Mlae,"American Indian/Alaska Native, non-Hispanic",2005,32.6,1.4,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2006,28.9,1.4,Reporting standards not met.
Total - Male,aMle,"American Indian/Alaska Native, non-Hispanic",2007,30.7,1.5,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2008,28.4,1.2,Reporting standards not met.
Total - Mael,Male,"American Indian/Alaska Native, non-Hispanic",2009,30.5,1.6,Reporting standards not mnet.
Total - Mle,aMle,"American Indiavn/Alaska Native, non-Hispanic",2010,28.0,1.3,Reporting standards not mte.
Toal - Male,Mae,"American Indian/Alaska Native, non-Hispanic",2011,25.5,1.1,Reporting standards not met.
Total - Male,Maple,"American Indian/Alaska Native, non-Hispanic",2012,27.2,1.4,eRporting standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2013,26.1,1.2,Reporting standards not met.
Total - Femael,Female,"American Indian/Alaska Native, non-Hispanic",2001,23.7,1.1,Reporting standards not met.
Total - Fmale,Female,"American Indian/Alaska Native, non-Hispanic",2002,23.0,1.1,Reporting standards not met.
Total - Female,Female,"American Indian/Alsaka Native, non-Hispanic",2003,22.1,1.1,Reporting standards not met.
Total - Female,Female,"American Indian/AlaskaNative, non-Hispanic",2004,24.2,1.1,Reporting standards not met.
Total - Fekmale,Female,"American Indian/Alaska Native, non-Hispanic",2005,21.6,1.0,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2006,21.5,1.2,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2007,21.5,1.2,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2008,21.3,0.9,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2009,20.2,0.8,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2010,18.4,1.0,Reporting standards not met.
Toatl - Female,Female,"American Indian/Alaska Native, non-Hispanic",2011,17.6,0.9,Reporting standards not emt.
otal - Female,Female,"American Indian/Alaska Native, non-Hispanic",2012,19.7,0.9,Reporting standads not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2013,18.1,0.9,Reporting standards not met.
"Total - White,non-Hispanic",Female,"White, non-Hispanic",2001,34.5,1.0,Reporting standards not met.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2002,32.9,1.2,Reporting standards nott met.
"Total - White, non-Hispanic",Fwemale,"White, on-Hispanic",2003,31.9,1.0,Reporting standardks not met.
"Total - White, non-Hispanic",Female,"Whsite, non-Hispanic",2004,33.1,1.0,Reporting standardcs not met.
"Total - White, nonHispanic",Female,"hite, non-Hispanic",2005,31.8,1.0,Reporting standards not met.
"Total - White, non-Hispanic",Female,"White, non-Hismpanic",2006,28.9,1.5,Reportinjg standards not met.
"Total - White, non-Hispanic",Female,"Whwite, non-Hispanic",2007,30.5,1.6,Reporting standards not met.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2008,29.3,1.1,Reporting standards not met.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2009,28.7,1.4,Reporting standgards not met.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2010,26.5,1.4,Reporting standards not met.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2011,25.3,1.1,Reporting standards ont met.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2012,26.2,1.2,Reporting standards not met.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2013,25.0,1.2,Reporting standards not met.
"Total - Black, non-Hispanic",Female,"Black, nonHispanic",2001,12.6,1.5,Reporting standards not met.
"Total - Black, non-Hispanic",Female,"Black,w non-Hispanic",2002,10.4,1.1,Reportin standards not met.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2003,11.1,1.2,Reporting standards not met.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2004,11.7,1.1,Reporting standards not met.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2005,10.9,1.0,Reporting standards ont met.
"Total - Black, non-Hispanic",Fmale,"Black, non-Hispanic",2006,11.9,1.2,Reporting standards not met.
