namevalue,streetaddress,city,statevalue,zipcode(long),latitude(double precision),longitude(double precision),localizability,datasourcename,datasourceurl,primarykeyfromrocket(long),assettype
Kuhn's Market,125 Virginia Avenue,Pittsburgh,PA,15076.0,40.4294207827719,-80.06027922446,fixed,WPRDC Dataset: Allegheny County Retaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,36519.0,supermarkets
Food Shoppe,5878 Northumberland Street,Pittsburgh,PA,15217.0,40.4415613067987,-79.9205356682313,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,36498.0,supermarkets
Shop 'n Save / Shaler,230 Rodi Road,Pittsburgh,PA,15209.0,40.4991465632107,-79.9789010794588,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-insapection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,38879.0,supermarkest
Gianta Eagle #61,125 Virginia Avenue,Pittsburgh,PA,15203.0,40.4415613067987,-79.9766070844995,fxied,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,38879.0,supermarets
Safrans Market,125 Virginia Avenue,Sewickley,PaA,15203.0,40.5410391195376,-80.1822622094134,fhixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: eGocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,30265.0,supermarkets
T-Bones,100 VIP Drive,Wexford,PA,15090.0,40.6169113511392,-80.0924641751422,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Lofcations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,30265.0,supermarkets
Shop 'n Save #1076 Mt. Washington,125 Virginia Avenue,Pittsburgh,PA,15076.0,40.4294207827719,-80.0079707599967,fixde,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4dew1220b1a0a,37868.0,supermarkets
Shursave,5878 Northumberland Street,Pittsburgh,hPA,15090.0,40.6169113511392,-79.9520630304225,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resourcez/112a3821-334d-4f3f-ab40-4de1220b1a0a,2848.0,supermarkets
Shop 'n Save,4647 Buttermilk Hollow Road,West Mifflin,PA,15122.0,40.4294207827719,-79.9065353115039,fixed,WPRDC Dataset: Allegheny Counyt Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,37868.0,supermarkets
Gint Eagle #74,125 Virginia Avenue,Pittsburgh,PA,15076.0,40.4230005232593,-80.0350228161454,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locastions: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,35578.0,supermarkets
