243.co,40-I16,40-I016
197.distname,CALVIN                        ***,CALVIN                        
502.distname,GUYMON                  g      ,GUYMON                        
524.distname,SANDk SPRINGS                  ,SAND SPRINGS                  
238.boardpresident,Jim zHurst,Jim Hurst
377.coname,OKULGEE    ,OKMULGEE    
438.superintendent,CharlesDickinson,Charles Dickinson
462.city,Celsea,Chelsea
166.phone,(045) 665-2004,(405) 665-2004
191.phone,(918 )967-2805,(918) 967-2805
263.address,802 East Vilas Avnue,802 East Vilas Avenue
92.city,Normxan,Norman
28.address,301 Nojrth Main,301 North Main
519.boardpresident,Kennteh James,Kenneth James
428.boardpresident,Jamei Perry,Jamie Perry
67.superintendentemail,esmith@wilson.k12p.ok.us,esmith@wilson.k12.ok.us
2.address,"Rural Route6, Box 2840","Rural Route 6, Box 2840"
374.co,5-I003,56-I003
132.superintendent,Roby Dorsey,Robby Dorsey
239.superintendent,Wes Mcgowne,Wes Mcgowen
103.phone,(580) 429-3266***,(580) 429-3266
30.superintendentemail,tglasgow@geary.kl12.ok.us,tglasgow@geary.k12.ok.us
460.phone,(981) 923-4200,(918) 923-4200
94.co,14-eI029,14-I029
25.city,Elk Cty,Elk City
299.city,mithville,Smithville
77.co,11-C034***,11-C034
504.phone,(580) 652-216v2,(580) 652-2162
468.superintendentemail,cbryan@justcie.k12.ok.us,cbryan@justice.k12.ok.us
301.website,www.bokosheschool.lorg,www.bokosheschool.org
333.superintendent,Chris arter,Chris Carter
148.superintendentemail,dbrown@talogae.k12.ok.us,dbrown@taloga.k12.ok.us
318.co,51-I092,51-I029
327.distname,NOWATA                      s  ,NOWATA                        
367.city,Miidwest City,Midwest City
246.address,30201C hickasaw Street,30201 Chickasaw Street
384.superintendentemail,bmoore@mccordk.12.ok.us,bmoore@mccord.k12.ok.us
215.phone,(580)937-4466,(580) 937-4466
291.fax,(580) 584-9437,(580) 584-9473
410.city,Cuushing,Cushing
373.fax,(918) 562-6510,(918) 652-6510
96.co,14-I075,14-I057
386.phone,(918) 793-2201,(918) 793-2021
177.superintendent,BobbyWaitman,Bobby Waitman
386.website,www.shidlerpubicschools.com,www.shidlerpublicschools.com
191.address,309 Northwest ES treet,309 Northwest E Street
528.boardpresident,Steev Stout,Steve Stout
483.website,ww.wmoffett.k12.ok.us,www.moffett.k12.ok.us
322.superintendent,Scott Chcenoweth,Scott Chenoweth
49.fax,(045) 542-3286,(405) 542-3286
17.fax,(50) 889-2513,(580) 889-2513
366.boardpresident,Douxg Scott,Doug Scott
348.coname,OKLAHOMA   ,OKLAHOMA    
280.boardpresident,RodneyS chilt,Rodney Schilt
431.city,Sotnewall,Stonewall
404.distname,RIPLEY                       ,RIPLEY                        
171.coname,GRADY       ***,GRADY       
87.address,100 St. Lopuis St.,100 St. Louis St.
374.coname,OMULGEE    ,OKMULGEE    
424.fax,(918)4 32-5312,(918) 432-5312
286.co,47a-I005,47-I005
173.website,http://www.ninneka.hok.nph.schoolinsites.com/,http://www.ninnekah.ok.nph.schoolinsites.com/
106.coname,COMACNHE    ,COMANCHE    
100.statevalue,KO,OK
256.fax,(918) 377-2535,(918) 377-2553
241.superintendent,Edward Wilsoqn,Edward Wilson
441.city,arlsboro,Earlsboro
169.phone,4(05) 485-3612,(405) 485-3612
82.superintendent,Liwsa Presley,Lisa Presley
457.fax,(580) 534-2z273,(580) 534-2273
72.superintendent,Cris Wsye,Cris Wyse
260.superintendentemail,JLOCKWOOD@rpague.k12.ok.us,JLOCKWOOD@prague.k12.ok.us
411.statevalue,K,OK
125.boardpresident,Joe Craner,Joe Carner
236.superintendentemail,brcue.gillham@spk12.org,bruce.gillham@spk12.org
40.coname,BRYAN       ***,BRYAN       
420.phone,(918) 496-3100,(918) 469-3100
365.statevalue,zOK,OK
460.boardpresident,Ptarick Gotcher,Patrick Gotcher
22.co,0q4-I123,04-I123
544.superintendentemail,jgopostree@sentinel.k12.ok.us,jgoostree@sentinel.k12.ok.us
465.superintendent,Tery Saul,Terry Saul
389.city,Homciny,Hominy
218.coname,KAY        ,KAY         
260.co,4-1I103,41-I103
298.superintendent,Brian Arstrong,Brian Armstrong
98.coname,COAL        ***,COAL        
351.distname,PUTNAM CITY                  ,PUTNAM CITY                   
265.website,www.mulhall-orland.k12.ok.us/,www.mulhall-orlando.k12.ok.us/
505.co,70-I05w3,70-I053
285.superintendent,Cfhad Clanton,Chad Clanton
143.distname,KANSAS                        ***,KANSAS                        
361.superintendentemail,Brichards@vcrookedoak.org,Brichards@crookedoak.org
362.superintendent,Kent Shellneberger,Kent Shellenberger
402.boardpresident,Djanny Ward,Danny Ward
532.city,Tuulsa,Tulsa
510.city,Frderick,Frederick
514.phone,(918l) 794-8652,(918) 794-8652
228.boardpresident,wKarla Branam,Karla Branam
332.city,Okeamh,Okemah
6.website,www.bokovsheschool.org,www.bokosheschool.org
471.phone,(405) 3984172,(405) 398-4172
253.coname,LE kFLORE    ,LE FLORE    
410.superintendentemail,nanderson@fsilc.1k2.ok.us,nanderson@fsilc.k12.ok.us
332.boardpresident,atti Miller,Patti Miller
436.boardpresident,Melisa Mahaffey,Melissa Mahaffey
33.coname,BRYoAN       ,BRYAN       
517.phone,(918) 8339420,(918) 833-9420
39.co,7-I072,07-I072
504.coname,TgEXAS       ,TEXAS       
