4.geoidonezeroonetwo,2648317.0,2648315
9.alandonezeroone,1.9519357E7,38623150
2.intptlatonezeroone,42.6448395,42.5830021
6.alandonezeroone,6.5730039E7,11490620
2.intptlononezeroone,-82.8950389,-83.6668237
6.geoidonezeroonetwo,2648081.0,2648088
3.globalid,a7f9954d-8407-437f-9267-a068b2d25519,c3a3787a-9ac1-4817-9cea-195ec12ba783
10.zctafiveceonezero,48320.0,48335
13.alandonezero,4.9265723E7,52310794
20.awateronezeroone,24,0
3.alandonezeroone,4.9265723E7,10178038
5.alandonezero,4.9265723E7,31361812
6.intptlatonezeroone,42.8409698,42.515645
8.alandonezeroone,4.9265723E7,19463663
9.id,115.0,168
10.id,115.0,145
7.geoidonezero,2648315.0,2648048
2.geoidonezero,2648371.0,2648380
14.awateronezero,46,0
9.intptlononezeroone,-82.8950389,-83.525841
12.alandonezeroone,6.5730039E7,24100791
13.intptlatonezeroone,42.6448395,42.7724831
1.zctafiveceonezeroonetwo,48236.0,48371
17.awateronezeroone,7,0
5.zctafiveceonezeroonetwo,48081.0,48317
3.geoidonezero,2648335.0,2648081
6.awateronezeroone,425300.0,0
1.alandonezeroone,3.3063561E7,110655621
6.globalid,665df799-45bc-47d6-8858-f9f1d3c6d014,068b3fbd-930e-45d6-9bff-879b81e2fbf8
8.globalid,168af005-994c-40c5-88cc-70b737974d65,11f9e67a-5260-4d6e-92eb-14f2aafa98ba
2.awateronezeroone,3460922.0,4189694
16.awateronezero,96,0
12.alandonezero,2832858.0,24100791
3.alandonezero,3.862315E7,10178038
7.awateronezeroone,1328385.0,402169
2.alandonezero,4.9265723E7,65730039
8.intptlatonezeroone,42.501565,42.425373
13.zctafiveceonezero,48315.0,48363
2.id,115.0,165
7.intptlononezeroone,-82.8950389,-82.7958699
6.alandonezero,1.9519357E7,11490620
19.awateronezeroone,66,0
11.globalid,650ecdb0-a1bf-4cb7-80bc-3238b28567e2,eb8eaacf-fd95-4230-97f4-911f051e14de
5.globalid,650ecdb0-a1bf-4cb7-80bc-3238b28567e2,fe86e94c-e388-4121-9763-444ae8e5bf69
4.intptlatonezeroone,42.8409698,42.6715479
5.alandonezeroone,4.9265723E7,31361812
12.zctafiveceonezero,48315.0,48165
11.alandonezeroone,1.9519357E7,2832858
15.awateronezero,76,0
1.intptlononezeroone,-82.8950389,-83.2915307
2.zctafiveceonezeroonetwo,48081.0,48380
5.id,19.0,134
3.intptlatonezeroone,42.6448395,42.494669
4.alandonezero,4.9265723E7,33063561
8.alandonezero,1.9519357E7,19463663
13.objectid,6.0,13
1.alandonezero,3.862315E7,110655621
8.intptlononezeroone,-83.4051512,-82.8931944
5.intptlononezeroone,-82.9829908,-83.0519717
9.globalid,a7f9954d-8407-437f-9267-a068b2d25519,e2cf5d78-b6b4-4840-a89a-6e18e29c52c9
6.zctafiveceonezeroonetwo,48383.0,48088
10.globalid,650ecdb0-a1bf-4cb7-80bc-3238b28567e2,d0fc55ea-104f-459b-82ea-c8cf5b228b90
11.intptlatonezeroone,42.4628849,42.6119345
4.id,161.0,132
9.zctafiveceonezero,48088.0,48383
3.id,161.0,34
12.globalid,650ecdb0-a1bf-4cb7-80bc-3238b28567e2,357ec643-33b4-4321-b506-c39c0005dabd
4.intptlononezeroone,-82.9829908,-82.996562
1.awateronezero,3460922.0,4157391
11.zctafiveceonezeroonetwo,48081.0,48320
6.id,115.0,39
11.id,115.0,135
