yearvalue,dataset,locationvalue,ge_oid,sex,age_range,population,associatesdegree,associatesdegreepercent,bachelorsdegree,bachelorsdegreepercent,graduateorprofessionaldegree,graduateorprofessionaldegr_one,total_post_secondary_attainment,total_post_secondary_attainme_one,datevalue,object_id
2021,2017-2021,"Tempe, Arizona",1600000US0473000,All,25 years and older,115591.0,8823.0,7.6,33685.0,29.0,23359,20.1,65867.0,56.98,2021/12/31 07:00:00+00,1.0
2021,2017-2021,"Tempe, Arizona",1600000US0473000,Female,25 years and older,53261.0,4621.0,8.7,14295.0,26.8,11570,21.7,30486.0,57.24,2021/12/31 07:00:00+00,2.0
2021,2017-2021,"Tempe, Arizona",1600000US0473000,Male,25 years and older,62921.0,4202.0,6.7,19390.0,30.8,11789,18.7,35381.0,56.23,2021/12/31 07:00:00+00,3.0
2020,2016-2020,"Tempe, Arizona",1600000US0473000,All,25 years and older,121374.0,9214.0,7.6,32757.0,27.0,23702,19.5,65673.0,54.11,2020/12/31 07:00:00+00,4.0
2020,2016-2020,"Tempe, Arizona",1600000US0473000,Female,25 years and older,58009.0,3983.0,6.9,15733.0,27.0,11730,20.2,31446.0,54.21,2020/12/31 07:00:00+00,5.0
2020,2016-2020,"Tempe, Arizona",1600000US0473000,Male,25 years and older,63365.0,5231.0,8.3,17024.0,27.0,11972,18.9,34227.0,54.02,2020/12/31 07:00:00+00,6.0
2019,2015-2019,"Tempe, Arizona",1600000US0473000,All,25 years and older,115591.0,8704.0,7.5,31163.0,27.0,22619,19.6,62486.0,54.06,2019/12/31 07:00:00+00,7.0
2019,2015-2019,"Tempe, Arizona",1600000US0473000,Female,25 years and older,54760.0,4251.0,7.8,14826.0,27.1,10739,19.6,29816.0,54.45,2019/12/31 07:00:00+00,8.0
2019,2015-2019,"Tempe, Arizona",1600000US0473000,Male,25 years and older,60831.0,4453.0,7.3,16337.0,26.9,11880,19.5,32670.0,53.71,2019/12/31 07:00:00+00,9.0
2018,2014-2018,"Tempe, Arizona",1600000US0473000,All,25-64,91991.0,6697.0,7.3,24739.0,26.9,16516,18.0,47952.0,52.1,2018/12/31 07:00:00+00,10.0
2018,2014-2018,"Tempe, Arizona",1600000US0473000,Female,25-64,42118.0,3208.0,7.6,11905.0,28.3,7889,18.7,23002.0,54.6,2018/12/31 07:00:00+00,11.0
2018,2014-2018,"Tempe, Arizona",1600000US0473000,Female,25-34,15842.0,918.0,5.8,5330.0,33.6,2863,18.1,9111.0,57.5,2018/12/31 07:00:00+00,12.0
2018,2014-2018,"Tempe, Arizona",1600000US0473000,Female,35-44,8527.0,663.0,7.8,2233.0,26.2,1859,21.8,4755.0,55.8,2018/12/31 07:00:00+00,13.0
2018,2014-2018,"Tempe, Arizona",1600000US0473000,Female,45-64,17749.0,1627.0,9.2,4342.0,24.5,3167,17.8,9136.0,51.5,2018/12/31 07:00:00+00,14.0
2018,2014-2018,"Tempe, Arizona",1600000US0473000,Male,25-64,49873.0,3489.0,7.0,12834.0,25.7,8627,17.3,24950.0,50.0,2018/12/31 07:00:00+00,15.0
2018,2014-2018,"Tempe, Arizona",1600000US0473000,Male,25-34,22612.0,1422.0,6.3,6373.0,28.2,3487,15.4,11282.0,49.9,2018/12/31 07:00:00+00,16.0
2018,2014-2018,"Tempe, Arizona",1600000US0473000,Male,35-44,10195.0,883.0,8.7,2644.0,25.9,2025,19.9,5552.0,54.5,2018/12/31 07:00:00+00,17.0
2018,2014-2018,"Tempe, Arizona",1600000US0473000,Male,45-64,17066.0,1184.0,6.9,3817.0,22.4,3115,18.3,8116.0,47.6,2018/12/31 07:00:00+00,18.0
2017,2013-2017 ACS 5-year estimate,"Tempe, Arizona",1600000US0473000,All,25-64,89022.0,6968.0,7.8,24294.0,27.3,15098,17.0,46360.0,52.1,2017/12/31 07:00:00+00,19.0
2017,2013-2017 ACS 5-year estimate,"Tempe, Arizona",1600000US0473000,Female,25-64,41070.0,3446.0,8.4,11653.0,28.4,7401,18.0,22500.0,54.8,2017/12/31 07:00:00+00,20.0
2017,2013-2017 ACS 5-year estimate,"Tempe, Arizona",1600000US0473000,Female,25-34,15016.0,1200.0,8.0,1200.0,8.0,2541,16.9,4941.0,32.9,2017/12/31 07:00:00+00,21.0
2017,2013-2017 ACS 5-year estimate,"Tempe, Arizona",1600000US0473000,Female,35-44,8427.0,690.0,8.2,2470.0,29.3,1606,19.1,4766.0,56.6,2017/12/31 07:00:00+00,22.0
2017,2013-2017 ACS 5-year estimate,"Tempe, Arizona",1600000US0473000,Female,45-64,17627.0,1556.0,8.8,4264.0,24.2,3254,18.5,9074.0,51.5,2017/12/31 07:00:00+00,23.0
2017,2013-2017 ACS 5-year estimate,"Tempe, Arizona",1600000US0473000,Male,25-64,47952.0,3522.0,7.3,12641.0,26.4,7697,16.1,23860.0,49.8,2017/12/31 07:00:00+00,24.0
