OBJECTID,TMA_ID,TMA_NM,TMA_NR,ST_PRRTY_NR,ADMIN_ST,ADM_UNIT_CD,ADMU_NM,TMP_START_DT,TMP_ID,TMP_CMPLTN_DT,GIS_ACRES,BLM_ACRES,GlobalID,SHAPE_Length,SHAPE_Area
1,TMA-CO-CON01000-003,TMA3,003,-1,CO,CON01000,LITTLE SNAKE FIELD OFFICE,0218/03/20 00:00:00+00,,,138550.64582307,103401.46809058,{73D0ECE2-5EB2-499E-9141-E480264A993E},1267365.74421428,8635515736.15314
2,TMA-CO-CON01000-001,TMA1,001,-1,CO,CON01000,LITTLE SNAKE FIELD OFFICE,2016/01/28 00:00:00+00,,,127954.55889636,122462.89961006,{A55B2366-E137-4552-A51C-19E9B1CED351},168296.506086737,1415077961.40958
3,TMA-CO-CON01000-002,TMA2,002,-1,CO,CON01000,LITTLE SNAKE FIELD OFFICE,2017/02/02 00:00:00+00,,,65517.56785241,56393.86146599,{2C5861F2-4692-49F1-B5C0-CAAF469C6674},280631.371180442,3425630517.96621
18,TMA-CO-CON04000-001,R,001,-1,CO,COG02000,COLORADO RIVER VALLEY FIELD OFFICE,9999/09/09 00:00:00+00,,,42114.09557351,24650.8486341,{DF10FC74-56EE-40B3-8A84-467A82FA7845},56673.6591490272,170429698.158618
19,TMA-CO-CON04000-002,Q,002,-1,CO,COG02000,COLORADO RIVER VALLEY FIELD OFFICE,9999/09/09 00:00:00+00,,,47541.97885046,26180.93685639,{9CA9A100-ECE2-4A63-B633-C32341902FBC},59111.5086195819,192395562.444016
20,TMA-CO-CON04000-003,C,003,-1,CO,COG02000,COLORADO RIVER VALLEY FIELD OFFICE,9999/09/09 00:00:00+00,,,98125.30157957,20294.50554649,{1FD2FEFC-26AA-428D-B72D-5D9000DFDF90},93592.8938824152,397397340.651435
21,TMA-CO-CON04000-004,E,004,-1,CO,COG02000,COLORADO RIVER VALLEY FIELD OFFICE,9999/09/09 00:00:00+00,,,92623.80037512,25667.25944925,{BF10E922-58BC-43E0-AC4E-D0074FB3B95A},92306.00840553,374835221.415154
22,TMA-CO-CON04000-005,F,005,-1,CO,COG02000,COLORADO RIVER VALLEY FIELD OFFICE,9999/09/09 00:00:00+00,,,94481.37601874,32148.69078142,{091D8A6C-6352-4F57-BCAB-3D2589E8DEE3},98312.4279592717,382352563.338625
23,TMA-CO-CON04000-006,D,006,-1,CO,COG02000,COLORADO RIVER VALLEY FIELD OFFICE,9999/09/09 00:00:00+00,,,59613.69382177,27790.80914312,{1F9145E0-19F7-4156-854B-008FDD9124E1},71094.2644700731,241248059.705601
24,TMA-CO-CON04000-007,L,007,-1,CO,COG02000,COLORADO RIVER VALLEY FIELD OFFICE,9999/09/09 00:00:00+00,,,55314.50501114,27741.83971501,{0FB4049D-5C44-4AA3-B096-751E9440AC5B},68894.3741998981,223849859.901629
25,TMA-CO-CON04000-008,K,008,-1,CO,COG02000,COLORADO RIVER VALLEY FIELD OFFICE,9999/09/09 00:00:00+00,,,144035.52392497,43285.63655424,{20AD9BB2-152D-4233-9701-5C3BCF57C852},125623.308048759,582929820.910916
26,TMA-CO-CON04000-009,O,009,-1,CO,COG02000,COLORADO RIVER VALLEY FIELD OFFICE,9999/09/09 00:00:00+00,,,48856.84192978,39667.75962623,{4B93CEF8-7555-489E-8F20-B9EEDCB445DD},72571.9885263562,197716624.550094
27,TMA-CO-CON04000-010,M,010,-1,CO,COG02000,COLORADO RIVER VALLEY FIELD OFFICE,9999/09/09 00:00:00+00,,,121693.74104397,77644.99540208,{174E61AC-3090-4FC6-BA93-49BA9D55616A},114056.625716188,492405413.816979
28,TMA-CO-CON04000-011,P,011,-1,CO,COG02000,COLORADO RIVER VALLEY FIELD OFFICE,9999/09/09 00:00:00+00,,,58860.58240668,18660.87615794,{56E2C6FF-6816-4B8A-B64D-A61809185A84},72825.6321871035,238200325.993042
29,TMA-CO-CON04000-012,N,012,-1,CO,COG02000,COLORADO RIVER VALLEY FIELD OFFICE,9999/09/09 00:00:00+00,,,29471.39601868,15857.48495411,{F556C0DD-DE62-438E-84D3-031A30D00D11},55046.0880705813,119266508.178757
30,TMA-CO-CON04000-013,G,013,-1,CO,COG02000,COLORADO RIVER VALLEY FIELD OFFICE,9999/09/09 00:00:00+00,,,74724.51424931,11405.88563949,{EBBE28A6-CD3A-4497-B828-EB0F55BAB879},72812.7269581654,302399380.40055
31,TMA-CO-CON04000-014,H,014,-1,CO,COG02000,COLORADO RIVER VALLEY FIELD OFFICE,9999/09/09 00:00:00+00,,,39081.90056264,11055.37916059,{D9DD636D-C985-4909-8D26-F5795FC3EFE7},48803.8892347129,158158840.291536
32,TMA-CO-CON04000-015,I,015,-1,CO,COG02000,COLORADO RIVER VALLEY FIELD OFFICE,9999/09/09 00:00:00+00,,,35023.19824466,11404.91652294,{866511C2-77F2-49C5-B924-44FDA068E09D},47798.138657221,141733854.721814
33,TMA-CO-CON04000-016,J,016,-1,CO,COG02000,COLORADO RIVER VALLEY FIELD OFFICE,9999/09/09 00:00:00+00,,,53859.29654533,10477.27293005,{734BAB6A-C1C7-4027-99EC-61425F44E461},80096.5329578774,217960840.157998
34,TMA-CO-CON04000-017,B,017,-1,CO,COG02000,COLORADO RIVER VALLEY FIELD OFFICE,9999/09/09 00:00:00+00,,,97710.2688705,50119.64254419,{26B05177-9A88-4C8A-BC47-4B6640DA657D},97326.1144094354,395402404.801222
35,TMA-CO-CON04000-018,A,018,-1,CO,COG02000,COLORADO RIVER VALLEY FIELD OFFICE,9999/09/09 00:00:00+00,,,86232.78415842,28463.58092564,{97D80C1F-61AD-40E2-BA18-9B24D9C05928},101012.779032789,348960924.63935
36,TMA-CO-CON04000-019,Roan Plateau Planning Boundary,019,-1,CO,COG02000,COLORADO RIVER VALLEY FIELD OFFICE,9999/09/09 00:00:00+00,,,126890.62339403,66739.42907637,{621D4BE9-6E0B-46A6-8748-A2DF77AB9241},130110.21643895,513794628.901229
37,TMA-CO-CON02000-001,C,001,-1,CO,CON02000,KREMMLING FIELD OFFICE,9999/09/09 00:00:00+00,,,141065.56084669,15124.82059708,{3FE6AB8D-FD8C-433F-B609-05ED3C5B0672},99687.1496490236,571039643.996074
38,TMA-CO-CON02000-002,D,002,-1,CO,CON02000,KREMMLING FIELD OFFICE,9999/09/09 00:00:00+00,,,123422.15532589,39133.18914616,{FFE36BE5-0DDB-477B-AF28-92B2138706E5},101573.981142052,499831868.809388
39,TMA-CO-CON02000-003,E,003,-1,CO,CON02000,KREMMLING FIELD OFFICE,9999/09/09 00:00:00+00,,,122903.99354545,45738.35710502,{B999B5F7-99AF-4210-9385-9F91FE87C5AE},90530.4479959627,497699417.123131
40,TMA-CO-CON02000-004,F,004,-1,CO,CON02000,KREMMLING FIELD OFFICE,9999/09/09 00:00:00+00,,,182763.16282004,19084.91984998,{62E38185-EE62-4EC5-84F0-7E24A3947EA2},133073.999020646,739615165.369299
41,TMA-CO-CON02000-005,G,005,-1,CO,CON02000,KREMMLING FIELD OFFICE,9999/09/09 00:00:00+00,,,66992.27232642,18470.88471936,{C94C4114-B8DE-4757-B600-50981448D3DC},70572.6334347256,271108107.515325
42,TMA-CO-CON02000-006,H,006,-1,CO,CON02000,KREMMLING FIELD OFFICE,9999/09/09 00:00:00+00,,,82332.61912596,23182.34941459,{CFEF2D71-732D-4472-9CB9-BF952F611DFB},77118.7145715732,333188288.482886
43,TMA-CO-CON02000-007,I,007,-1,CO,CON02000,KREMMLING FIELD OFFICE,9999/09/09 00:00:00+00,,,58477.09025691,36261.21302132,{EE2B189E-7C54-4DE3-864D-FBBABD8A67C1},76203.4342731873,236736952.662936
44,TMA-CO-CON02000-008,J,008,-1,CO,CON02000,KREMMLING FIELD OFFICE,9999/09/09 00:00:00+00,,,71107.52880525,22030.37183548,{7521C8E2-7389-44D4-A1FC-531EB21003C7},69611.4846582794,287761959.626525
45,TMA-CO-CON02000-009,K,009,-1,CO,CON02000,KREMMLING FIELD OFFICE,9999/09/09 00:00:00+00,,,66592.42888713,26892.64544384,{0D03ECC1-5291-40D9-9EA3-681CEBC90C9F},68082.6354235178,269489998.528735
46,TMA-CO-CON02000-010,L,010,-1,CO,CON02000,KREMMLING FIELD OFFICE,9999/09/09 00:00:00+00,,,69230.81312295,30660.2648778,{CA6078D2-02B3-4101-85E3-4E7587AB5787},68999.7367251239,280167160.714603
47,TMA-CO-CON02000-011,M,011,-1,CO,CON02000,KREMMLING FIELD OFFICE,9999/09/09 00:00:00+00,,,2921.2486547,1441.67846229,{40B1A53F-0358-47E9-904B-E551D883FC3F},14079.5205720259,11811840.8713202
48,TMA-CO-CON02000-012,N,012,-1,CO,CON02000,KREMMLING FIELD OFFICE,9999/09/09 00:00:00+00,,,45168.12318596,9308.1734065,{EFD686BC-C3D4-44AF-8263-ED71B02A79D7},69733.8029712613,182779752.007218
49,TMA-CO-CON02000-013,O,013,-1,CO,CON02000,KREMMLING FIELD OFFICE,9999/09/09 00:00:00+00,,,111387.7818461,26802.90670596,{BE29B2F6-37BA-4127-8DFC-59DCCFA5E945},95496.2814244133,450770360.727503
50,TMA-CO-CON02000-014,B,014,-1,CO,CON02000,KREMMLING FIELD OFFICE,9999/09/09 00:00:00+00,,,102030.0223885,23259.25779626,{A8EC53BE-EBE0-490A-BD21-EF7F262D170D},87300.9454946488,412508537.036515
51,TMA-CO-CON02000-015,A,015,-1,CO,CON02000,KREMMLING FIELD OFFICE,9999/09/09 00:00:00+00,,,105445.72731043,38490.34980173,{C74FBDDB-7580-467C-9F9B-7EB4916CF81E},110240.712881964,426258327.029515
