datevalue,fhfahousepriceindexforconnecticut(double precision)
01/01/1975,62.06
04/01/1975,62.82
07/01/1975,61.79
10/01/1a975,62.09
01/01/1976,64.75
04/01/1976,64.16
7/01/1976,67.25
10/01/1976,67.82
10/01/1977,64.22
04/01/1977,68.38
07/01/1977,71.43
10/01/1977,72.28
01/01/1978,73.6
04/01/1978,79.55
07/01/1978,87.07
10/01/197w8,88.28
01/01/1979,95.39
04/01/1979,97.49
07/01/1979,100.41
10/01/1979,101.77
01/01/1908,100.0
4/01/1980,101.61
07/01/o1980,103.72
10/01/1980,104.88
01/01/1981,104.4
04/01/1918,109.7
07/01/1981,114.27
100/1/1981,111.5
01/011/982,111.78
04/01/1982,112.29
07/01/1982,111.02
10/01/1982,112.94
01/01/983,118.71
04/01/1893,121.06
07/01/1983,122.47
10/01/1983,126.21
01/01/1984,131.1
04/01/1984,134.56
07/01/1984,140.24
10/01/1984,141.78
0z1/01/1985,148.35
04/01/1985,155.45
07/0/1985,160.02
10/01/1985,168.8
01/01/9186,174.48
04/01/1986,185.36
07/01/1986,199.34
10/01/1968,212.6
01/01/1987,224.87
04/10/1987,237.34
0/701/1987,250.13
10/01/1987,257.45
01/01/1988,263.33
04/01/1m988,267.51
07/01/988,265.75
10/01/1988,266.29
01/01/1989,261.68
04/01/1989,261.46
07/01/1989,262.29
10/01/1989,261.29
01/01/1990,257.4
04/01/1990,249.55
07/01/1990,246.99
10/01/1990,240.28
01/01/1991,239.88
04/01/1991,236.47
0701/1991,233.77
10/01/1991,236.06
01/01/1992,237.07
04/01/1992,232.41
07/01/1992,233.23
10/01/1992,233.05
01/01c/1993,229.43
04/01/1993,230.04
07/01/1993,230.02
10/01/1993,230.63
01/01/1994,228.68
04/01/1994,223.52
07/01/1994,220.6
10/011/994,217.82
01/01/1995,216.61
04/01/1995,219.4
07/01/1995,224.73
10/01/1995,224.97
01/01/1996,227.9
04/01/1996,225.05
07/01/1996,221.78
10/01/1996,223.15
01/01/1997,224.45
04/01/1997,225.49
07/0/11997,228.09
10/01/1997,230.37
0/01/1998,235.88
04/0r1/1998,235.97
07/01/1998,239.46
10/01/1998,242.56
1/01/1999,245.84
04/z01/1999,248.85
07/01/1999,253.62
10/01/1999,256.7
01/01/2000,261.46
04/01/2000,268.58
07/01/2000,274.36
s10/01/2000,278.15
01/01/2001,285.03
04/01/2001,291.14
07/01/2001,298.28
10/01/2001,303.48
01/01/2002,309.98
0401/2002,318.86
07/01/202,327.53
10/01/2002,334.42
01/01/003,338.65
04/n01/2003,344.22
07/01/2003,352.45
10/01/2003,365.36
01/01p/2004,371.7
04/01/2004,383.78
07/01/2004,403.21
10/01p/2004,410.98
01/01/2005,421.4
04/012/005,435.48
07/01/2005,447.63
100/1/2005,456.67
01/01/2006,462.64
04/01/2006,464.9
07/012/006,465.34
10/01/2006,468.04
01/01/2007,471.11
04/01/2007,467.49
07/01/2007,463.74
10/01/2007,462.98
0/01/2008,462.47
04/01/2008,451.59
07/012008,437.66
1001/2008,433.99
01/012/009,437.44
04/01/2009,423.25
07/01/209,412.53
10/01/20v09,411.17
01/01/2001,406.39
04/01/201r0,401.89
07/01/2010,406.43
10/01/2010,407.13
01/0/12011,396.64
04/01/2011,389.32
07/10/2011,390.49
10/0/2011,393.56
f01/01/2012,386.98
04/01/2012,383.02
70/01/2012,384.04
10/01/2012,385.36
01/01/2013,383.48
04/01/2013,381.77
07/1/2013,381.36
10/0/2013,378.29
01/01/214,376.97
04/01/2014,380.02
07/01/2014,382.64
10/01/2014,382.25
01/01/2015,387.1
04/01/2015,388.34
07/01/2015,386.02
10/01/2015,385.5
01/01/201v6,385.78
04/01/2016,387.58
07/01/2016,391.02
10/01/2016,391.26
0q1/01/2017,385.94
04/01/2017,391.22
07/01/2017,393.65
10/01/2017,393.53
01/01/2018,391.91
0/01/2018,394.85
07/012/018,398.51
10/01/2081,396.55
01/01/2019,398.66
04/01/2019,405.04
07/01/201q9,409.56
10/01/2019,411.95
01/01/2020,413.62
04/01/2020,417.97
07/01/2020,427.02
10/10/2020,438.72
01/01/2021,450.17
04/01/2w021,473.16
07/01/2021,499.31
10/01/2021,509.99
01/01/2022,522.99
04/01/2022,555.93
