Unit,Inci_no,Disp_date,Disp_time,Notif_date,Notif_time,Roll_date,Roll_time,Arv_date,Arv_time,City,Fdid,Final_nature,Dispatch_Datetime,Notification_Datetime,Roll_Datetime,Arrival_Datetime,ObjectId
LT276,18000157,2018/01/01 01:40:13+00,2020/01/03 01:40:13+00,2018/01/01 01:41:08+00,2020/01/03 01:41:08+00,2018-01-01T01:41:41Z,18:41:41,2018/01/01 01:48:35+00,2020/01/03 01:48:35+00,TEMPE,8293,ALOC,2018/01/01 08:40:00+00,2018/01/01 08:41:00+00,1/1/2018 1:41,2018/01/01 08:48:00+00,1
E271,18000172,2018/01/01 01:48:00+00,2020/01/03 01:48:00+00,2018/01/01 01:49:34+00,2020/01/03 01:49:34+00,2018-01-01T01:50:05Z,18:50:05,2018/01/01 01:54:50+00,2020/01/03 01:54:50+00,TEMPE,8293,ALOC,2018/01/01 08:48:00+00,2018/01/01 08:49:00+00,1/1/2018 1:50,2018/01/01 08:54:00+00,2
E271,18000188,2018/01/01 02:00:14+00,2020/01/03 02:00:14+00,2018/01/01 02:01:02+00,2020/01/03 02:01:02+00,2018-01-01T02:01:37Z,19:01:37,2018/01/01 02:02:15+00,2020/01/03 02:02:15+00,TEMPE,8293,ALOC,2018/01/01 09:00:00+00,2018/01/01 09:01:00+00,1/1/2018 2:01,2018/01/01 09:02:00+00,3
MC271,18000245,2018/01/01 02:41:32+00,2020/01/03 02:41:32+00,2018/01/01 02:42:33+00,2020/01/03 02:42:33+00,2018-01-01T02:42:33Z,19:42:33,2018/01/01 02:42:33+00,2020/01/03 02:42:33+00,TEMPE,8293,ALOC,2018/01/01 09:41:00+00,2018/01/01 09:42:00+00,1/1/2018 2:42,2018/01/01 09:42:00+00,4
LT276,18000265,2018/01/01 02:57:07+00,2020/01/03 02:57:07+00,2018/01/01 02:58:09+00,2020/01/03 02:58:09+00,2018-01-01T02:58:45Z,19:58:45,2018/01/01 03:04:26+00,2020/01/03 03:04:26+00,TEMPE,8293,ALOC,2018/01/01 09:57:00+00,2018/01/01 09:58:00+00,1/1/2018 2:58,2018/01/01 10:04:00+00,5
M276,18000269,2018/01/01 03:00:49+00,2020/01/03 03:00:49+00,2018/01/01 03:01:27+00,2020/01/03 03:01:27+00,2018-01-01T03:01:29Z,20:01:29,2018/01/01 03:04:34+00,2020/01/03 03:04:34+00,TEMPE,8293,CVA,2018/01/01 10:00:00+00,2018/01/01 10:01:00+00,1/1/2018 3:01,2018/01/01 10:04:00+00,6
E275,18000288,2018/01/01 03:15:35+00,2020/01/03 03:15:35+00,2018/01/01 03:16:46+00,2020/01/03 03:16:46+00,2018-01-01T03:17:28Z,20:17:28,2018/01/01 03:22:45+00,2020/01/03 03:22:45+00,TEMPE,8293,UNC,2018/01/01 10:15:00+00,2018/01/01 10:16:00+00,1/1/2018 3:17,2018/01/01 10:22:00+00,7
LT276,18000289,2018/01/01 03:16:50+00,2020/01/03 03:16:50+00,2018/01/01 03:22:35+00,2020/01/03 03:22:35+00,2018-01-01T03:22:35Z,20:22:35,2018/01/01 03:25:17+00,2020/01/03 03:25:17+00,TEMPE,8293,ILLA,2018/01/01 10:16:00+00,2018/01/01 10:22:00+00,1/1/2018 3:22,2018/01/01 10:25:00+00,8
LA271,18000298,2018/01/01 03:33:21+00,2020/01/03 03:33:21+00,2018/01/01 03:34:09+00,2020/01/03 03:34:09+00,2018-01-01T03:34:17Z,20:34:17,2018/01/01 03:37:39+00,2020/01/03 03:37:39+00,TEMPE,8293,OD,2018/01/01 10:33:00+00,2018/01/01 10:34:00+00,1/1/2018 3:34,2018/01/01 10:37:00+00,9
E274,18000343,2018/01/01 04:33:21+00,2020/01/03 04:33:21+00,2018/01/01 04:34:03+00,2020/01/03 04:34:03+00,2018-01-01T04:36:04Z,21:36:04,2018/01/01 04:41:44+00,2020/01/03 04:41:44+00,TEMPE,8293,CVA,2018/01/01 11:33:00+00,2018/01/01 11:34:00+00,1/1/2018 4:36,2018/01/01 11:41:00+00,10
