3974.personpremise,TELEEPRFORMANCE,TELEPERFORMANCE
2848.activity_type_desc,FILED,FIELD
3371.activity_type_desc,IELD,FIELD
831.personpremise,ULVER'S,CULVER'S
2646.address_one,301 CHAMBERLAIN LANE,3001 CHAMBERLAIN LANE
4392.activity_type_desc,IELD,FIELD
2284.address_one,5201 S3RD ST,5201 S 3RD ST
655.personpremise,PRIMPOLOGY BEAUTY jSALON,PRIMPOLOGY BEAUTY SALON
4621.address_one,4611DIXIE HWY,4611 DIXIE HWY
3850.activity_type_desc,FILD,FIELD
3101.activity_date,2020/10/160 3:59:59+00,2020/10/16 03:59:59+00
3284.address_one,569 NEW CUT RD,5469 NEW CUT RD
2194.request_date,2020/0/828 03:59:59+00,2020/08/28 03:59:59+00
2567.address_one,110 OXMOORL N,110 OXMOOR LN
4611.activity_date,2020/7/21 03:59:59+00,2020/07/21 03:59:59+00
4674.activity_type_desc,IELD,FIELD
1630.personpremise,ANYTIME FITNxESS MALL,ANYTIME FITNESS MALL
3969.address_one,5404 BARDvSTOWN RD,5404 BARDSTOWN RD
4520.request_date,2020/12/11 05:00:00+00***,2020/12/11 05:00:00+00
4584.request_date,2020/11/19 0c5:00:00+00,2020/11/19 05:00:00+00
1833.request_date,2020/05/05 03:59:5+900,2020/05/05 03:59:59+00
539.activity_date,202/004/27 03:59:59+00,2020/04/27 03:59:59+00
2840.activity_date,202m0/07/20 03:59:59+00,2020/07/20 03:59:59+00
412.personpremise,STARVING ARTIT CAFE & DELI,STARVING ARTIST CAFE & DELI
1584.activity_type_desc,FIEDL,FIELD
836.address_one,4000 TAYLORSVILLE ROAaD,4000 TAYLORSVILLE ROAD
1987.address_one,5001 MD LN,5001 MUD LN
476.personpremise,DOMINO'S PIZZA#1435,DOMINO'S PIZZA #1435
3155.activity_type_desc,FIED,FIELD
4055.request_date,202/12/09 05:00:00+00,2020/12/09 05:00:00+00
1323.activity_date,220/05/01 03:59:59+00,2020/05/01 03:59:59+00
2436.personpremise,PAPA JOcHN'S #7,PAPA JOHN'S #7
665.activity_type_desc,FIlELD,FIELD
4525.address_one,7921 ORMSBY STATION RD,9721 ORMSBY STATION RD
1142.personpremise,BEACH BEAUTY SLAON,BEACH BEAUTY SALON
2876.request_date,20200/9/08 03:59:59+00,2020/09/08 03:59:59+00
2336.activity_type_desc,zFIELD,FIELD
2094.request_date,200/08/04 03:59:59+00,2020/08/04 03:59:59+00
