OBJECTID,SMARC_COD,SURFM_ARC,SHAPE_Length
1,3,State Boundary,552.326062789467
2,3,State Boundary,1920.39308155414
3,3,State Boundary,1096.67919166586
4,3,State Boundary,427.007029461586
5,3,State Boundary,68.7418987874431
6,3,State Boundary,321.738089884329
7,3,State Boundary,2927.55813369656
8,3,State Boundary,608.363595136808
9,1,Surficial Material Contact,653.568916591109
10,3,State Boundary,14676.5007981339
11,3,State Boundary,266.017319482582
12,3,State Boundary,103.928000458559
13,3,State Boundary,615.366939894544
14,1,Surficial Material Contact,856.031618084458
15,3,State Boundary,1843.85192094538
16,3,State Boundary,875.25675206608
17,3,State Boundary,4197.4044543535
18,3,State Boundary,221.873475509184
19,3,State Boundary,47.3637900232609
20,3,State Boundary,309.660537981005
21,1,Surficial Material Contact,2326.02566223835
22,1,Surficial Material Contact,955.445563505794
23,2,Hydrography Shoreline,190.506708367954
24,1,Surficial Material Contact,866.138331482976
25,3,State Boundary,6228.66097050228
26,3,State Boundary,444.083365530335
27,3,State Boundary,66.0407131577283
28,3,State Boundary,595.098479331154
29,1,Surficial Material Contact,2423.13227197679
30,1,Surficial Material Contact,2935.18478036434
31,1,Surficial Material Contact,446.695205323445
32,3,State Boundary,7914.17018907494
33,3,State Boundary,101.122799173417
34,1,Surficial Material Contact,678.725954911563
35,1,Surficial Material Contact,1094.83205634586
36,1,Surficial Material Contact,2721.13018243898
37,2,Hydrography Shoreline,810.94804229786
38,1,Surficial Material Contact,77.2714612868068
39,3,State Boundary,3906.88596970154
40,1,Surficial Material Contact,657.074354225367
41,1,Surficial Material Contact,5472.56461775839
42,3,State Boundary,970.430791520115
43,1,Surficial Material Contact,1271.65082251529
44,1,Surficial Material Contact,2078.65128114916
45,3,State Boundary,10792.4517766457
46,3,State Boundary,980.260525737567
47,1,Surficial Material Contact,1563.44078909687
48,3,State Boundary,1278.83063328367
49,3,State Boundary,124.323547092467
50,2,Hydrography Shoreline,1673.48420007285
51,1,Surficial Material Contact,1124.9055267722
52,1,Surficial Material Contact,1117.18783407905
53,1,Surficial Material Contact,3405.33984150666
54,1,Surficial Material Contact,1691.26344053569
55,1,Surficial Material Contact,1158.32265950475
56,1,Surficial Material Contact,2449.87406012407
57,1,Surficial Material Contact,656.273643786045
58,1,Surficial Material Contact,2441.98189018876
59,1,Surficial Material Contact,4678.52958847807
60,1,Surficial Material Contact,407.405588672708
61,1,Surficial Material Contact,629.977082561534
62,1,Surficial Material Contact,589.547478510057
63,1,Surficial Material Contact,4684.91515455285
64,3,State Boundary,36003.2187191643
65,3,State Boundary,117.200160480566
66,1,Surficial Material Contact,1692.47807112015
67,1,Surficial Material Contact,372.479471235348
68,3,State Boundary,1394.36862116312
