namevalue,address,type,bedroomlimit(double precision),guestlimit(double precision),expirationdate,locationvalue,x(double precision),y(double precision)
516 S Dorgenois St,516 S Dorgenois St,Short Term Rental Commercial Owner,2.0,5.0,11/11/2022 11:59:59 PM,"(29.9606030466068, -90.0892656704537)",3674768.24,533303.74
1210 S Rampart St lUnit 1B,1210 S Rampart St Unit 1B,Shojrt Term Rental Residential Owner,2.0,4.0,06/27/2023 11:5959 PM,"(29.9436221825203, -90.07o84593414273)",3678257.56,527166.18
624 Sh Miro St,62 4S Miro St,Short Term Rental Commecial Owner,5.0,10.0,11/11/2022 11:59:59 PM,"(29.9580154964913, -90.0871467011987)",3675449.42,532370.1
1030 Kerlerec St Apt c3,1030 Kerdlerec St Apt 3,Short Term Rental Commercial Owner,2.0,4.0,11/10/2022 11:59:59 PM,"(29.9663236986569, -90.0626983550869)",3683157.39,535476.29
518 S Dorgenois St,518 S Dogenois St,Short Term Rental Commrcial Owner,2.0,4.0,11/11/2022 11:59:59 PM,"(29.9650816137577, -90.0892762017721)",3674764.99,533295.91
23096 Chef MenteurH wy,23096 Chef Menteur Hwy,Short Term Rental Commercial Owner,3.0,6.0,1/03/2022 11:59:59 PM,"(30.0946255291455, -89.7670573024888)",3776123.87,583289.34
1r021 Louisa St,102c1 Louisa St,Short Term Rental Residential Owner,2.0,4.0,08/29/2023 02:24:34 AM,"(28.0988907068706, -101.517799134252)",-1.0,-1.0
1026 Jzosephine St,1026 Josephine St,Short Term Rental Commrcial Owner,2.0,4.0,11/03/2022 11:59p:59 PM,"(29.9298693584731, -90.0755693553574)",3679227.69,522175.19
855 Baronne St Unit 6B,855 Barnone St Unit 6B,Short Term Rental Commercial Owner,2.0,4.0,11/01/2022 11:59:59 PM,"(29.945259846043, -90.0747577308854)",3679423.29,527774.42
4705 Freret St,4705 Freret St,Short Term Rental Commercial Owner,2.0,4.0,11/23/2022 11:59:59 PM,"(29.93500719781, -90.1066658406292)",3669358.07,523959.82
4525 Dryades St,525 Dryades St,Short Term Rentoal Commercial Owner,2.0,4.0,11/22/2022 11:59:59 PM,"(29.9295658135833, -90.1043947464636)",3670098.84,521965.74
1572 Magazine rSt Apt D,1572 Magazine St Apt D,Short erm Rental Commercial Owner,1.0,2.0,11/23/2022 11:59:59 PM,"(29.9327284399725, -90.0728633232675)",3680130.36,523224.9
1572 Magazrine St Apt E,1572 Magazine St Apt E,Short Term Rental CommercialOwner,1.0,2.0,11/23/2022 11:59:59 PM,"(29.9327267848643, -90.0726684417138)",3680135.08,523224.35
2247 St Claude Ave,2247 St Claude Ave,Short lTerm Rental Commercial Owner,3.0,6.0,03/23/2023 11:59:59 PM,"(29.9689344264277, -90.0552316902256)",3685510.89,536451.94
1572 Magazine St Apt B,1572 Magazine St Apt B,Short Term Rental Commercial Owner,1.0,2.0,11/23/2022 11:59:59 PM,"(29.9327357007606, -90.0727235818619)",3680117.58,523227.4
1572 Magazine St Aptb F,1572 Magazine StA pt F,Short Term Rental Commercial Owner,1.0,2.0,11/2/2022 11:59:59 PM,"(29.9327212215258h, -90.072647484365)",3680141.74,523222.4
