2345.locationvalue,"(29.950840295232, -90.0713554986585)","(29.9508403295232, -90.0713554986585)"
1872.locationvalue,"(29.9637115457021, -90.03620845599)","(29.9637115457021, -90.036320845599)"
1543.locationvalue,"(30.0355193458883, -89.973405950849)","(30.0355193458883, -89.9734059508498)"
49.type,Short Term Rental Commercial Owenr,Short Term Rental Commercial Owner
742.type,Short Term Rental Commercial Ower,Short Term Rental Commercial Owner
2690.namevalue,4810 ConstanceS t,4810 Constance St
709.namevalue,5926 StClaude Ave,5926 St Claude Ave
2218.address,1839g Esplanade Ave Apt A,1839 Esplanade Ave Apt A
2118.expirationdate,08/282/023 08:06:00 AM,08/28/2023 08:06:00 AM
1890.expirationdate,3/01/2023 12:00:00 AM,03/01/2023 12:00:00 AM
123.locationvalue,"(29.930409415996, -90.0752783544609)","(29.9304079415996, -90.0752783544609)"
1689.expirationdate,0/301/2023 12:00:00 AM,03/01/2023 12:00:00 AM
2322.type,Short Term Rental sResidential Owner,Short Term Rental Residential Owner
1112.locationvalue,"(29.9202964762981,- 90.1114762700936)","(29.9202964762981, -90.1114762700936)"
2153.locationvalue,"(29.9409850580058, -90.1335887477019)","(29.9409805580058, -90.1335887477019)"
2439.locationvalue,"(29.9663844482864, -90.0645626612896)","(29.9663844482864, -90.0645626612869)"
277.locationvalue,"(29.9411357639047, -90.127260676733)","(29.9411357639047, -90.1272600676733)"
2456.expirationdate,09/12/2023 11:9:59 PM,09/12/2023 11:59:59 PM
605.type,Short Term ental Residential Owner,Short Term Rental Residential Owner
1502.namevalue,173 Allen St,1732 Allen St
2458.locationvalue,"(29.966374311144, -90.0806611987079)","(29.9660374311144, -90.0806611987079)"
2213.locationvalue,"(29.9668375715243, -90.098882460026)","(29.9668375715243, -90.0998882460026)"
1318.address,1216 N Lvopez St Apt 1A,1216 N Lopez St Apt 1A
1506.address,2615 Valefnce St,2615 Valence St
1049.address,3024 Dumsaine St,3024 Dumaine St
993.address,3660 St Ferdinand tS,3660 St Ferdinand St
333.address,740 HjEBERT DR,740 HEBERT DR
567.namevalue,934 Congtress St,934 Congress St
2135.locationvalue,(29.9631843376509 -90.0540671507285),"(29.9631843376509, -90.0540671507285)"
469.address,12h14 Piety St,1214 Piety St
329.expirationdate,07/29/2023 11:59:59 MP,07/29/2023 11:59:59 PM
1737.namevalue,7135 S Claijborne Ave,7135 S Claiborne Ave
2093.namevalue,1014 Canal St Aptj 303,1014 Canal St Apt 303
1983.expirationdate,03/01/2023 12:00:00A M,03/01/2023 12:00:00 AM
2609.expirationdate,03/01/2023 12:00:f00 AM,03/01/2023 12:00:00 AM
1112.address,k5214 Magazine St,5214 Magazine St
1120.namevalue,4859 Tchouptoulas St,4859 Tchoupitoulas St
266.expirationdate,051/1/2023 11:59:59 PM,05/11/2023 11:59:59 PM
1769.locationvalue,"(29.938499597256w6, -90.0775801168904)","(29.9384995972566, -90.0775801168904)"
73.expirationdate,08/03/2023 11:59:59 M,08/03/2023 11:59:59 PM
1433.type,4701 - HOTELS (EXC CASIbNO HOTELS) & MOTELS,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS
740.locationvalue,"(29.376340327424, -90.1303348862722)","(29.9376340327424, -90.1303348862722)"
2428.type,Short Term Renatl Residential Owner,Short Term Rental Residential Owner
549.namevalue,3w41 Baronne St Apt A,341 Baronne St Apt A
