Meeting Date,Meeting Time,Meeting Place,Committee
"Monday, November 17, 2014",2:00 pm - 3:00 pm,House Finance,Joint Committee on Technology
"Monday, October 20, 2014",6:00 pm - 7:00 pm,House Gov. Org.,Joint Committee on Technology
"Monday, September 8, 2014",11:00 am - 12:00 pm,House Finance,Joint Committee on Technology
"Monday, June 16, 2014",4:00 pm - 5:00 pm,House Finance,Joint Committee on Technology
"Monday, May 19, 2014",4:00 pm - 5:00 pm,House Finance,Joint Committee on Technology
"Monday, December 9, 2013",2:00 pm - 3:00 pm,House Gov. Org.,Joint Committee on Technology
"Tuesday, November 19, 2013",2:00 pm - 3:00 pm,House Finance,Joint Committee on Technology
"Monday, November 18, 2013",2:00 pm - 3:00 pm,House Finance,Joint Committee on Technology
"Monday, October 21, 2013",1:00 pm - 2:00 pm,House Finance,Joint Committee on Technology
"Monday, September 23, 2013",1:00 pm - 2:00 pm,House Finance,Joint Committee on Technology
"Monday, August 19, 2013",3:00 pm - 4:00 pm,House Finance,Joint Committee on Technology
"Tuesday, July 23, 2013",2:00 pm - 3:00 pm,Senate Finance,Joint Committee on Technology
"Wednesday, June 19, 2013",2:00 pm - 3:00 pm,Norhern Community College,Joint Committee on Technology
"Monday, January 7, 2013",2:00 pm - 3:00 pm,House Finance,Joint Committee on Technology
"Tuesday, December 11, 2012",5:00 pm - 6:00 pm,House Finance,Joint Committee on Technology
"Monday, November 26, 2012",3:00 pm - 4:00 pm,House Finance,Joint Committee on Technology
"Monday, October 8, 2012",2:00 pm - 3:00 pm,House Finance,Joint Committee on Technology
"Monday, December 12, 2011",11:00 am - 12:00 pm,House Finance,Joint Committee on Technology
"Monday, November 14, 2011",2:00 pm - 3:00 pm,House Finance,Joint Committee on Technology
"Tuesday, September 13, 2011",1:00 pm - 2:00 pm,House Finance,Joint Committee on Technology
"Monday, August 1, 2011",9:00 am - 10:00 am,House Finance,Joint Committee on Technology
"Monday, July 11, 2011",1:00 pm - 2:00 pm,House Finance,Joint Committee on Technology
"Sunday, January 9, 2011",12:00 pm - 1:00 pm,House Finance,Joint Committee on Technology
"Tuesday, December 14, 2010",9:00 am - 10:00 am,House Finance,Joint Committee on Technology
"Tuesday, November 16, 2010",9:00 am - 10:00 am,House Finance,Joint Committee on Technology
"Tuesday, October 12, 2010",9:00 am - 10:00 am,House Finance,Joint Committee on Technology
"Tuesday, September 14, 2010",2:00 pm - 3:00 pm,House Chamber,Joint Committee on Technology
"Tuesday, September 14, 2010",2:00 pm - 3:00 pm,House Chamber,Joint Committee on Technology
"Monday, August 9, 2010",10:00 am - 11:00 am,House Finance,Joint Committee on Technology
"Tuesday, July 20, 2010",3:00 pm - 4:00 pm,House Judiciary,Joint Committee on Technology
"Tuesday, June 8, 2010",1:00 pm - 2:00 pm,House Finance,Joint Committee on Technology
"Monday, May 24, 2010",4:00 pm - 5:00 pm,House Finance,Joint Committee on Technology
"Sunday, January 10, 2010",3:00 pm - 4:00 pm,House Finance,Joint Committee on Technology
"Tuesday, December 8, 2009",11:00 am - 12:00 pm,House Finance,Joint Committee on Technology
"Wednesday, November 18, 2009",11:00 am - 12:00 pm,Senate Finance,Joint Committee on Technology
"Tuesday, October 13, 2009",1:00 pm - 2:00 pm,House Finance,Joint Committee on Technology
"Monday, September 14, 2009",3:00 pm - 4:00 pm,House Finance,Joint Committee on Technology
"Tuesday, August 11, 2009",10:00 am - 11:00 am,House Finance,Joint Committee on Technology
"Tuesday, July 14, 2009",1:00 pm - 2:00 pm,House Finance,Joint Committee on Technology
"Tuesday, June 16, 2009",9:00 am - 10:00 am,House Finance,Joint Committee on Technology
"Sunday, February 8, 2009",1:00 pm - 2:00 pm,Senate Finance,Joint Committee on Technology
"Sunday, January 11, 2009",2:00 pm - 3:00 pm,Senate Finance,Joint Committee on Technology
"Monday, December 8, 2008",3:00 pm - 4:00 pm,House Finance,Joint Committee on Technology
"Monday, November 17, 2008",11:00 am - 12:00 pm,Senate Finance,Joint Committee on Technology
"Sunday, October 12, 2008",3:00 pm - 4:00 pm,House Finance,Joint Committee on Technology
"Sunday, August 24, 2008",1:00 pm - 2:00 pm,House Finance,Joint Committee on Technology
"Monday, July 28, 2008",9:00 am - 10:00 am,House Finance,Joint Committee on Technology
"Sunday, June 22, 2008",5:00 pm - 6:00 pm,House Finance,Joint Committee on Technology
"Sunday, May 18, 2008",3:00 pm -,House Finance,Joint Committee on Technology
"Sunday, January 6, 2008",3:00 pm -,House Finance,Joint Committee on Technology
"Sunday, December 9, 2007",5:00 pm -,House Finance,Joint Committee on Technology
"Monday, November 26, 2007",2:00 pm -,House Finance,Joint Committee on Technology
"Sunday, October 7, 2007",4:00 pm -,House Finance,Joint Committee on Technology
"Tuesday, September 11, 2007",9:00 am -,Visitation,Joint Committee on Technology
"Sunday, August 19, 2007",2:00 pm - 3:00 pm,House Finance,Joint Committee on Technology
"Saturday, July 28, 2007",11:00 am -,House Finance,Joint Committee on Technology
"Monday, June 4, 2007",2:00 pm -,Senate Judiciary,Joint Committee on Technology
"Sunday, May 6, 2007",3:00 pm -,Senate Judiciary,Joint Committee on Technology
"Sunday, January 7, 2007",4:00 pm -,House Finance,Joint Committee on Technology
"Sunday, December 10, 2006",1:30 pm -,Senate Judiciary,Joint Committee on Technology
"Tuesday, November 14, 2006",1:00 pm -,House Finance,Joint Committee on Technology
"Monday, October 16, 2006",11:00 pm -,Senate Finance,Joint Committee on Technology
