1694.fipstwo,f3059,f37059
2040.statecounty,NY_Syeneca,NY_Seneca
2936.countytwo,Falls Churc hcity,Falls Church city
2366.countytwo,Loizau Municipio,Loiza Municipio
2316.statevalue,A,PA
3112.fipstwo,f55503,f55053
1145.county,Jefferson Parizsh,Jefferson Parish
1565.countytwo,Lawrkence ,Lawrence 
1372.countytwo,Nicolet ,Nicollet 
376.statevalue,pFL,FL
1334.statevalue,MhN,MN
2612.fipstwo,f84001,f48001
1955.statevalue,MN,NM
1210.fipstwo,f20425,f24025
1133.fipstwo,f2027,f22027
376.fipstwo,f11201,f12101
1372.county,Nicolle ,Nicollet 
216.statecounty,A_Modoc,CA_Modoc
1774.county,Cavaliner ,Cavalier 
1748.countytwo,Standly ,Stanly 
988.statecounty,KS_Stantoon,KS_Stanton
3.county,Anchroage Municipality,Anchorage Municipality
226.statevalue,fCA,CA
1821.county,Banenr ,Banner 
2496.fipstwo,4f6093,f46093
643.statecounty,IA_Taam,IA_Tama
896.fipstwo,f20030,f20003
199.statevalue,A,CA
1248.fipstwo,f2601,f26021
2860.fipstwo,f4849h7,f48497
2023.county,Niagar a,Niagara 
15.statecounty,AK_Lake and Peninsula Borouh,AK_Lake and Peninsula Borough
2940.county,Frapnklin ,Franklin 
876.countytwo,Sto. Joseph ,St. Joseph 
578.statevalue,A,IA
673.county,Cark ,Clark 
1039.statevalue,tKY,KY
1976.statevalue,yNV,NV
868.statecounty,IN_Pultaski,IN_Pulaski
1161.countytwo,Richand ,Richland 
2922.statevalue,VuA,VA
2548.countytwo,Hambln ,Hamblen 
2333.fipstwo,f7g2023,f72023
2873.statecounty,UT_Duchexsne,UT_Duchesne
2978.statevalue,dVA,VA
1006.countytwo,uBell ,Bell 
1074.statevalue,YK,KY
168.countytwo,Wshington ,Washington 
2341.fipstwo,f7209,f72039
2098.county,Lickign ,Licking 
2833.county,Tererll ,Terrell 
2806.fipstwo,f43889,f48389
2175.fipstwo,f4y0067,f40067
2365.statecounty,PR_Las Piedras Mulnicipio,PR_Las Piedras Municipio
3126.statevalue,jWI,WI
262.countytwo,oCstilla ,Costilla 
2845.county,an Zandt ,Van Zandt 
1981.statevalue,VN,NV
1990.countytwo,Wshoe ,Washoe 
797.statecounty,IL_Whte,IL_White
488.fipstwo,f13179,f13197
1024.countytwo,Clarkt ,Clark 
1407.county,Yellow edicine ,Yellow Medicine 
1065.statecounty,KY_dLeslie,KY_Leslie
1378.fipstwo,27115,f27115
804.statevalue,wIN,IN
1896.statecounty,NE_uScotts Bluff,NE_Scotts Bluff
948.county,iLinn ,Linn 
383.fipstwo,f1e2109,f12109
2536.countytwo,Dpecatur ,Decatur 
2793.fipstwo,uf48363,f48363
1571.fipstwo,f280m89,f28089
1546.countytwo,Gerge ,George 
1640.statecounty,MT_Missuola,MT_Missoula
1121.countytwo,Alle n,Allen 
2802.statecounty,TX_Randeall,TX_Randall
3175.statecounty,WV_ackson,WV_Jackson
3111.county,Iro ,Iron 
1246.statecounty,M_IBay,MI_Bay
345.statevalue,LF,FL
1540.fipstwo,f8027,f28027
2126.fipstwo,39145,f39145
1983.county,Landerj ,Lander 
1625.fipstwo,f0033,f30033
806.statecounty,IN_iBenton,IN_Benton
2629.county,Bosquae ,Bosque 
1880.statevalue,EN,NE
594.fipstwo,f19037,f19073
1445.countytwo,Gentr ,Gentry 
2977.county,Middlwesex ,Middlesex 
2073.statecounty,OH_Defiwance,OH_Defiance
1957.fipstwo,f3502b8,f35028
1113.statecounty,KY_Warrne,KY_Warren
112.statecounty,AR_Craigheda,AR_Craighead
1289.county,Marqhuette ,Marquette 
643.countytwo,Taam ,Tama 
2562.county,Johnso ,Johnson 
3011.county,Smyh ,Smyth 
1939.statecounty,J_Sussex,NJ_Sussex
488.statecounty,lGA_Marion,GA_Marion
1690.statecounty,NsC_Cumberland,NC_Cumberland
776.fipstwo,f71151,f17151
1591.statevalue,S,MS
998.county,Woodsobn ,Woodson 
3039.statecounty,VyT_Grand Isle,VT_Grand Isle
1596.county,ippah ,Tippah 
2559.statevalue,NT,TN
2910.statevalue,sVA,VA
