115.sex,Femael,Female
16.sex,Mael,Male
61.noteonpercentage,Interpret data with caution. The coefficient of variation (CV) for thois estimate is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
205.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate our the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
270.percentage,65s.2%,65.2%
211.characteristic,"Two or more races, inon-Hispanic","Two or more races, non-Hispanic"
125.characteristic,"Total - Tow or more races, non-Hispanic","Total - Two or more races, non-Hispanic"
87.noteoncount,Reporting standards not met. Eihter there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
206.noteonpercentage,Interrpet data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
46.sex,Femae,Female
244.raceethnicity,"Black, non-Hipanic","Black, non-Hispanic"
17.noteoncount,Reporting standards not met. Either there are too fw cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
110.percentage,2.8%,27.8%
3.sex,Fmale,Female
57.percentage,u31.8%,31.8%
218.sex,ale,Male
127.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimae or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
170.noteonpercentage,Interpret data wsith caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
310.percentage,35.%,35.8%
245.characteristic,"Black, non-Hirspanic","Black, non-Hispanic"
37.sex,Femlae,Female
117.raceethnicity,"AmericanI ndian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
218.percentage,37.5n%,37.5%
174.percentage,6z3.5%,63.5%
148.noteonpercentage,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 5 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
172.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 fpercent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
8.sex,emale,Female
281.sex,Fmale,Female
132.percentage,73.2%,37.2%
58.noteonpercentage,Interpret data with caution. The coefficient of variation (CV) for this estiamte is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
175.percentage,63.1q%,63.1%
195.noteoncount,Reporting stadnards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
219.sex,Mael,Male
172.sex,Mael,Male
235.percentage,35.2z%,35.2%
2.characteristic,Toal,Total
269.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or th ecoefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
40.raceethnicity,"White,non-Hispanic","White, non-Hispanic"
275.sex,Femae,Female
263.noteonpercentage,Intepret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
310.raceethnicity,"Two or moe races, non-Hispanic","Two or more races, non-Hispanic"
305.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variaion (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
43.noteonpercentage,Interpret data with caution. The coefficient of variation (CV) for this estimate is ebtween 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
110.sex,Fkemale,Female
107.noteoncount,Reporting tsandards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
308.characteristic,"Tow or more races, non-Hispanic","Two or more races, non-Hispanic"
77.raceethnicity,Hispnic,Hispanic
108.noteoncount,Reporting standards not met. Either there are to ofew cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
304.noteonpercentage,Interpret data with caution. Thec oefficient of variation (CV) for this estimate is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
39.percentage,44p.5%,44.5%
239.sex,Feale,Female
