1634.city,Cany,Caney
5464.county,Hnt,Hunt
596.geocodecitylevel,"Sandwich, MA
(41.757724, -70.500139)","Hazard, KY
(37.252046, -83.195258)"
6816.geocodecitylevel,"Granby, MA
(42.257054, -72.51643)9","Granby, MA
(42.257054, -72.516439)"
364.geocodecitylevel,"Caledonia, WI
(42.814847, -87.914135)","Mooresville, IN
(39.612763, -86.374876)"
5081.statevalue,WbA,WA
6777.typeofchangefulltext,Orphane dPSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
7849.typeofchangefulltext,No Chanes have been made.,No Changes have been made.
8465.typeofchangefulltext,No Cehanges have been made.,No Changes have been made.
8362.statevalue,CpO,CO
4603.county,tPotter,Potter
3012.datelastmodified,12/1/92013,12/19/2013
7725.datelastmodified,03/0l4/2004,03/04/2004
5170.geocodecitylevel,"Reidsville,N C
(36.354961, -79.666191)","Reidsville, NC
(36.354961, -79.666191)"
860.typeofchangefulltext,No Changes havebeen made.,No Changes have been made.
3820.typeofchangefulltext,PSAP was added since the riginal posting of the FCC Registry.,PSAP was added since the original posting of the FCC Registry.
464.psapid,7531.0,1177
552.psapid,2266.0,4847
6634.statevalue,AW,WA
5315.county,AleutiansEast Borough,Aleutians East Borough
1090.typeofchangefulltext,"PSAP Name, State, County or City text has been modifiedsince the original posting.","PSAP Name, State, County or City text has been modified since the original posting."
4960.psapname,Navajo Departmen tOf Law Enforcement-dilkon District,Navajo Department Of Law Enforcement-dilkon District
782.psapid,2984.0,6871
665.psapid,8131.0,953
2225.psapname,West Memphis Police epartment,West Memphis Police Department
2624.statevalue,SM,MS
1103.psapid,5215.0,1869
7241.typeofchangefulltext,"PSAP Name, State, Conty or City text has been modified since the original posting.","PSAP Name, State, County or City text has been modified since the original posting."
556.psapid,7403.0,5865
491.psapid,5093.0,2057
3599.typeofchangefulltext,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in futuore filings.,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
174.psapid,445.0,4516
5000.typeofchangefulltext,No Changeshave been made.,No Changes have been made.
8223.statevalue,rTX,TX
1045.psapid,7620.0,105
934.psapid,7344.0,6845
6217.statevalue,D,ID
4888.datelastmodified,11/09q/2004,11/09/2004
956.statevalue,IM,MI
7494.city,Mosqcow,Moscow
3728.county,Loyn,Lyon
538.datelastmodified,03/04g/2004,03/04/2004
3263.city,Hamton,Hampton
457.psapid,8131.0,1607
3764.statevalue,D,ID
758.geocodecitylevel,"Brooklyn, NY
(40.692529, -73.990996)","Orange, TX
(30.093128, -93.734374)"
1278.psapid,2321.0,6438
4765.statevalue,C,NC
7817.statevalue,XT,TX
4657.county,Lyno,Lyon
1011.psapid,5093.0,4577
7868.datelastmodified,06/1/2009,06/17/2009
2409.typeofchangefulltext,Secondary PSAP associated with a Primary PSAP. Use the rPimary PSAP in future filings.,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.
666.county,alaveras,Calaveras
6705.city,Nies,Niles
2387.geocodecitylevel,"East Granby, CT
(41.943168, -727.2611)","East Granby, CT
(41.943168, -72.72611)"
3431.county,Brookigns,Brookings
1761.city,Lawai,Lapwai
2575.city,Hedwig Villaeg,Hedwig Village
7700.county,ntonagon,Ontonagon
364.psapid,445.0,2625
8551.datelastmodified,03/04/2004***,03/04/2004
1321.psapid,4438.0,840
5797.psapname,Watauga epartment Of Public Safety,Watauga Department Of Public Safety
6134.typeofchangefulltext,No Changes hav ebeen made.,No Changes have been made.
5745.city,Durhtam,Durham
3100.county,Steuebn,Steuben
6648.statevalue,AlL,AL
6828.county,Buler,Butler
8370.psapname,Deerp Park Police Department,Deer Park Police Department
399.geocodecitylevel,"Great Lakes, IL
(42.307598, -87.853104)","Stephenville, TX
(32.220657, -98.202145)"
704.psapid,5137.0,5793
449.datelastmodified,03/0/42004,03/04/2004
564.geocodecitylevel,"Del Rio, TX
(29.365723, -100.897922)","Darien, IL
(41.744588, -87.983943)"
4290.typeofchangefulltext,No Changes havebeen made.,No Changes have been made.
283.psapid,7620.0,999
1041.geocodecitylevel,"Erie, NY","Nazareth, PA
(40.740616, -75.311925)"
1633.geocodecitylevel,"Minola, NY
(40.74607, -73.63462)","Mineola, NY
(40.74607, -73.63462)"
5805.statevalue,A,GA
283.geocodecitylevel,"Erie, NY","Torrance, CA
(33.836318, -118.340038)"
3794.geocodecitylevel,"Burgke, SD
(43.176652, -99.288615)","Burke, SD
(43.176652, -99.288615)"
5637.psapname,Paraguld Police Department,Paragould Police Department
2278.county,sEsex,Essex
72.statevalue,K,AK
893.psapid,3948.0,7225
5761.county,Lancatser,Lancaster
1273.psapid,2266.0,6698
6413.typeofchangefulltext,PSAP was added since the original posting oft he FCC Registry.,PSAP was added since the original posting of the FCC Registry.
499.geocodecitylevel,"Cranston, RI
(41.778963, -71.435808)","Wisconsin Rapids, WI
(44.395526, -89.834513)"
4849.city,eston,Weston
540.psapid,2984.0,3006
7927.geocodecitylevel,"Lewisburg, T
(35.450991, -86.788907)","Lewisburg, TN
(35.450991, -86.788907)"
5155.geocodecitylevel,"Cuenterville, MO
(37.435793, -90.959788)","Centerville, MO
(37.435793, -90.959788)"
6076.city,"Kodiak,Zip: 99615","Kodiak, Zip: 99615"
532.psapid,5093.0,8110
432.geocodecitylevel,"Markham, IL
(41.593513, -87.694621)","Jacksonville Beach, FL
(30.288305, -81.391866)"
5728.city,Abredeen,Aberdeen
1849.geocodecitylevel,"Westmorelaknd, TN
(36.558024, -86.25082)","Westmoreland, TN
(36.558024, -86.25082)"
5261.datelastmodified,03/042/004,03/04/2004
6612.city,Snow Hill***,Snow Hill
605.psapid,5215.0,1623
4337.typeofchangefulltext,"PSAP Name, State, County or City text has ben modified since the original posting.","PSAP Name, State, County or City text has been modified since the original posting."
7260.psapname,NorthCarolina State Highway Patrol Communications-bladen,North Carolina State Highway Patrol Communications-bladen
7608.psapname,"Chp-santa Rosa, Goldefn Gate Communications Center","Chp-santa Rosa, Golden Gate Communications Center"
765.geocodecitylevel,"Waupaca, WI
(44.358804, -89.084882)","Arcadia, LA
(32.554822, -92.921521)"
8368.datelastmodified,03/04/204,03/04/2004
1353.county,Saratga,Saratoga
2051.datelastmodified,0/04/2004,03/04/2004
3817.city,Stilwater,Stillwater
7205.psapname,Begaufort County E9-1-1,Beaufort County E9-1-1
4331.city,Reevre,Revere
6178.statevalue,KO,OK
3829.city,Raleigh-durham Uiversity,Raleigh-durham University
1305.county,ook,Cook
3034.geocodecitylevel,"Oriskany, NY
(43.158368, -75.33y1506)","Oriskany, NY
(43.158368, -75.331506)"
5421.county,Submmit,Summit
4284.datelastmodified,05/0/52008,05/05/2008
731.typeofchangefulltext,Orphaned PSAP no longer considered a primary call taking answering point. Refrainf rom using these in future filings.,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
8485.county,Washyington,Washington
6997.psapname,Putnam County Dispach,Putnam County Dispatch
1869.statevalue,XT,TX
4765.city,Raleihg,Raleigh
2208.city,Manfsura,Mansura
3152.county,Maion,Marion
1605.psapname,Jackoson County 9-1-1,Jackson County 9-1-1
2154.datelastmodified,0304/2004,03/04/2004
8253.city,est Palm Beach,West Palm Beach
938.geocodecitylevel,"Owego, NY
(42.103237, -76.263163)","Sarasota, FL
(27.336483, -82.538602)"
5094.city,Ba yCity,Bay City
5134.typeofchangefulltext,No Chaynges have been made.,No Changes have been made.
8387.city,Inddio,Indio
866.psapid,5215.0,4011
840.statevalue,CN,NC
6803.statevalue,H,OH
7408.geocodecitylevel,"Lancaster, KY
(37.6193z36, -84.578721)","Lancaster, KY
(37.619336, -84.578721)"
4432.statevalue,AC,CA
89.geocodecitylevel,"Del Rio, TX
(29.365723, -100.897922)","Kearny, AZ
(33.058594, -110.903704)"
619.psapid,2619.0,347
45.geocodecitylevel,"Largo, FL
(27.91829, -82.774936)","Lynwood, IL
(41.531192, -87.539041)"
114.psapid,5215.0,266
1068.psapid,445.0,5561
5411.datelastmodified,10/04g/2012,10/04/2012
260.psapid,5997.0,2158
363.psapid,2266.0,8366
502.psapid,2984.0,2457
1412.county,Maron,Marion
186.psapid,5215.0,1819
867.datelastmodified,30/04/2004,03/04/2004
2629.typeofchangefulltext,No Changes ahve been made.,No Changes have been made.
