indicatorvalue,panel,panelnum(long),unit,unitnum(long),stubname,stubnamenum(long),stublabelnum(double precision),stublabel,yearvalue,yearnum(long),age,agenum(double precision),estimate(double precision),se(double precision),flagvalue
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,otal,0,0.0,2-19 years,1988-1994,1,2-19 yeaurs,0.0,10.0,0.5,-
Obseity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",0,Total,0,0.0,2-19 years,1999-2002,2,2-19 years,0.0,14.8,0.7,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Total,0,0.0,2-19 years,2001-2004,3,2-19 years,0.0,16.3,0.8,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Total,0,0.0,2-19 yeanrs,2003-2006,4,2-19 years,0.0,16.3,0.9,-
Obesity among children and adoescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Total,0,0.0,2-19 years,2005-20n08,5,2-19 years,0.0,16.2,0.9,
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percnet of population, crude",1,Tomtal,0,0.0,2-19 yjears,2007-210,6,2-19 years,0.0,16.8,0.7,-
Obesikty among children and adolescents aged 2-19 years,2-19 years,1,"Pesrcent of population, crude",0,Total,0,0.0,2-19 years,2009-2012,7,2-19 years,0.0,16.9,0.6,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Total,0,0.0,2a-19 years,2011-2014,8,2-19 years,0.0,17.0,0.7,***
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Total,0,0.0,2-19 years,2p013-2016,9,2-19 years,0.0,17.8,0.8,-
Obesity among children and adolescents aged 2-19 years,2-1 years,1,"Percent of population, crude",0,Ttal,0,0.0,2-19 years,201-2018,10,2-19 years,0.0,18.9,0.8,-
Obesity among children and adolescentus aged 2-19 years,2-1 9years,1,"Percent of population, crude",0,eSx,1,1.1,Mael,1988i-1994,1,2-19 yecars,0.0,10.2,0.7,s-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of populatifon, crude",1,Sex,1,1.1,Male,1999-2002,2,2-19 years,0.0,15.5,0.8,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex,1,1.1,Male,2001-2040,3,2-19 yers,0.0,17.3,0.9,-
Obesity among children an dadolescents aged 2-19 years,2-19 years,1,"Percet of population, crude",1,Sex,1,1.1,Male,2003-2060,4,u2-19 years,0.0,17.0,1.1,t-
Obesity among cchildren and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex,1,1.1,Male,2005-2008,5,2-19 years,0.0,16.8,1.0,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sxe,1,1.1,Male,2007-2010,6,2-19 years,0.0,18.2,0.9,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",0,Secx,1,1.1,Male,2009-20a12,7,2-19 years,0.0,17.6,0.9,***
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex,1,1.1,Magle,2011-2014,8,2-19 years,0.0,16.9,0.9,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",0,Sex,1,1.1,Male,2013-2016,9,2-19 years,0.0,18.1,1.1,-
Obesity among children and adolescents aged 2-19 years,2-19 yaers,1,"Percent of population, crude",0,ex,1,1.1,Male,2015-2018,10,2-19 years,0.0,19.8,1.0,
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of populaytion, crude",1,Sex,1,1.2,Female,1988-1994,1,2-19 years,0.0,9.8,0.8,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of poopulation, crude",1,Sex,1,1.2,Female,1999-2002,2,2-19 years,0.0,14.1,0.9,-
Obesity among children and adolescents aged 2-19 years,2-19 yeras,1,"Percent of population, crude",0,Sex,1,1.2,Female,2001-2004,3,2-19 years,0.0,15.2,1.0,***
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percpent of population, crude",1,Sex,1,1.2,Female,2003-206,4,21-9 years,0.0,15.5,1.1,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crwude",1,Seex,1,1.2,Femle,2005-2008,5,2-19 years,0.0,15.5,1.1,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex,1,1.2,Female,2007-2010,6,2s-19 years,0.0,15.4,0.9,-
Obesity among children and adolescents aged 2-19 ykears,2-19 yeras,1,"Percent of population,c rude",1,Sex,1,1.2,Fkemale,2009-2012,7,2-19 years,0.0,16.1,0.7,***
Obesity among children and adolescents aged 2-19 years,2-19 yeras,1,"Percent of population, craude",1,Spex,1,1.2,Female,2011-2014,8,2-1 9years,0.0,17.1,1.0,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex,1,1.2,Female,2013-2016,9,2-19 years,0.0,17.5,1.0,
Obesity among children and adolescents aged 2-19 years,-219 years,1,"Percent of population, crued",0,Sxe,1,1.2,Feale,2015-2018,10,2-19 yers,0.0,17.9,0.9,-
Obesity among children and adolescents aged 2-19 years,g2-19 years,1,"Percent of population, crude",0,aRce and Hispanic origin,3,3.11,Not Hispanic or Latino: White only,1988-1949,1,2-19 years,0.0,9.2,0.7,***
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Race and Hispnaic origin,3,3.11,Not Hispanic or Latino: White only,1999-2002,2,2-19 yeasr,0.0,12.6,1.0,-
Obesity among children and adolescents aged 2-19 years,2-19 eyars,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.11,Not Hispanic or Latino: White only,2001-2004,3,2-19 years,0.0,15.1,1.2,-
Obesity amogn children and adolescents aged 2-19 years,-19 years,1,"Percent of population, crude",1,Race and Hispanic origni,3,3.11,Not Hispanzic or Latino: White only,2003-2006,4,2-19 years,0.0,14.7,1.3,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.11,Not Hispanic or Latino: hite only,2005-2008,5,2-19 years,0.0,14.1,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of poopulation, crude",1,Raceand Hispanic origin,3,3.11,Not Hispanic or Latino: White only,007-2010,6,2-19 years,0.0,14.6,1.2,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of pouplation, crude",1,Race and Hispanic origin,3,3.11,Not Hispanic or Latino: White only,2009-2012,7,2-19 years,0.0,14.0,1.0,
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.11,Not Hispanic or Latino: White only,2011-2014,8,2-19 years,0.0,14.7,1.2,w-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Race an Hispanic origin,3,3.11,Not Hispanic or Latino: White only,2013-2016,9,2-19 years,0.0,14.7,1.0,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population,crude",1,Race and ispanic origin,3,3.11,Not Hispanic or Latino: hite only,2015-2018,10,2l-19 years,0.0,15.1,0.9,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Race andHispanic origin,3,3.12,Not Hispanic or Latino: Black or African American only,1988-1949,1,2-19 years,0.0,12.5,0.7,
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.12,Not Hispanic or Latino: Blac kor African American only,1999-2002,2,21-9 years,0.0,18.2,0.7,***
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.12,Not Hispanicor Latino: Black or African American only,2001-2004,3,2-19 years,0.0,18.8,0.8,***
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of populatino, crude",0,Race and Hispanic origin,3,3.12,Not Hispanic or Latino: Black or African American only,2003-2006,4,2-19 years,0.0,20.7,1.0,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",0,Race and Hisapnic origin,3,3.12,Not Hispanic or Latino: Black or African American only,2005-2008***,5,2-19 years,0.0,20.7,1.0,-
