OBJECTID,NLCS_ID,NLCS_NAME,WSR_CTGY,GlobalID,ADMIN_ST,Category_2,Shape__Area,Shape__Length
1,NLCS000560,Rio Chama National Wild and Scenic River,Designated - Wild,{6ACB6087-104F-4EFD-B52A-67DFF28E42A6},NM,Wild,27066839.2813973,53377.4843854472
2,NLCS000560,Rio Chama National Wild and Scenic River,Designated - Scenic,{D1179CB2-FD5C-49B7-923D-029CEB763DE9},NM,Scenic,5538275.35030655,15022.3844549871
3,NLCS000560,Rio Chama National Wild and Scenic River,Designated - Scenic,{11AB6A93-1BAE-40EB-8757-A6EDA3A58A23},NM,Study,4377368.83367361,11635.6163478387
4,NLCS000560,Rio Chama National Wild and Scenic River,Designated - Recreational,{3836B92E-0709-4070-BFFF-043C1D781759},NM,Recreation,1727416.40228825,6767.99463745267
6,NLCS000550,Rio Grande National Wild and Scenic River,Designated - Recreational,{C0ACBFCC-5F16-4BBE-98A3-C7FA80CF6647},NM,Recreation,322065.242439715,3499.44791447037
7,NLCS000550,Rio Grande National Wild and Scenic River,Designated - Recreational,{AA793E50-824C-413D-9300-9CA0319EFD77},NM,Recreation,2344816.07902443,8207.28358469992
8,NLCS000550,Rio Grande National Wild and Scenic River,Designated - Wild,{1D19401E-8727-48DA-BBAE-B2BCFDA7F0E0},NM,Wild,6546095.8464458,30044.8462346096
9,NLCS000550,Rio Grande National Wild and Scenic River,Designated - Recreational,{42A9F8E0-57B6-4300-9606-6FA5A769D1FB},NM,Recreation,2152602.14575977,8121.92646404792
10,NLCS000550,Rio Grande National Wild and Scenic River,Designated - Scenic,{75530414-C0F2-4E8D-AE5C-69BC37204388},NM,Scenic,15471014.724717,55278.9938233116
14,NLCS000550,Rio Grande National Wild and Scenic River,Designated - Wild,{D31DA195-11D5-4AEE-A82E-348772576DB4},NM,Wild,4444378.87990817,14465.764804166
15,NLCS000550,Rio Grande National Wild and Scenic River,Designated - Recreational,{913F6E3B-0300-458B-A0D1-386B94E98C21},NM,Recreation,666288.894064655,3726.75255158785
412,NLCS000550,Rio Grande National Wild and Scenic River,Designated - Wild,{AC4FC7F8-FF3C-491D-945E-32201980A9E6},NM,Wild,31236943.8220194,101018.654631457
413,NLCS000550,Rio Grande National Wild and Scenic River,Designated - Wild,{D940333A-CA16-4688-9029-5649F5A7A32F},NM,Wild,14719968.6866002,42581.6614319012
