2290.stlnstlocname,EAST EM ST,EAST ELM ST
1518.routeid,-1N,1-N
1068.global_id,6ae6bda-656c-49cf-b23f-0ee3a1faab7d,6cae6bda-656c-49cf-b23f-0ee3a1faab7d
1260.routeid,263E,263-E
1599.townname,WET HAVEN,WEST HAVEN
2238.townname,BOLTN,BOLTON
2323.global_id,a83ff2ac-d134-4308-a74f-3e2ad7eddbc,a83ff2ac-d134-4308-a74f-3ce2ad7eddbc
693.global_id,5c72276f-b6c4-4e10-805-3945408ef0e8,5c72276f-b6c4-4e10-805a-3945408ef0e8
515.stlnstlocname,SPIELMAN HYW,SPIELMAN HWY
1735.xsp,COcNT,CONT
1092.stlnstlocname,BSOTON POST RD,BOSTON POST RD
2195.xsp,OG,LOG
960.xsp,OCNT,CONT
1894.xsp,zREV,REV
1275.xsp,COT,CONT
832.global_id,30575bb3-e98d-481c-b51f-0f1678d59f7f,30575bb3-e9d8-481c-b51f-0f1678d59f7f
264.stlnstlocname,SOUTH MAIN eST,SOUTH MAIN ST
1414.townname,ROTON,GROTON
130.townname,SwTONINGTON,STONINGTON
1585.global_id,e14a1362-e244-4814-b4c8-o3732fb8ec953,e14a1362-e244-4814-b4c8-3732fb8ec953
2223.routeid,556-E,565-E
1060.stlnstlocname,NORTH MIAN ST,NORTH MAIN ST
2182.global_id,6819e3a6-ff0a-464c-beba-c7810dab7f83,6819e3a6-ff0a-464c-beba-c781d0ab7f83
1188.routeid,13-N,113-N
1237.routeid,17-N,217-N
1700.routeid,34E-,34-E
1072.routeid,251-E,215-E
997.xsp,ONT,CONT
1240.routeid,21-8W,218-W
1068.townname,NEW IMLFORD,NEW MILFORD
2488.routeid,93-S,693-S
1744.xsp,qCONT,CONT
436.stlnstlocname,NECK D,NECK RD
1217.xsp,dCONT,CONT
2540.townname,MAIDSON,MADISON
65.routeid,10-E,140-E
912.routeid,2-N,12-N
1665.xsp,COTN,CONT
1827.routeid,44-yE,44-E
504.global_id,701f9fb8-ac41-491-ba804-634a0b7a1b02,701f9fb8-ac41-491b-a804-634a0b7a1b02
1543.stlnstlocname,WEST MAIN TS,WEST MAIN ST
864.stlnstlocname,GLNE BROOK RD,GLEN BROOK RD
58.xsp,CNT,CONT
2276.xsp,CNT,CONT
464.townname,LEYARD,LEDYARD
1553.xsp,COTN,CONT
449.global_id,7188248e-3eee-432-3a6be-c4394b6d9181,7188248e-3eee-4323-a6be-c4394b6d9181
139.xsp,CjONT,CONT
2059.townname,WATERFoORD,WATERFORD
2001.townname,NEW LNDON,NEW LONDON
452.routeid,147N-,147-N
844.townname,SrUFFIELD,SUFFIELD
783.xsp,ONT,CONT
1891.townname,EAST HkAVEN,EAST HAVEN
1261.global_id,1dd6cb8e-533b-4bd5-bc52-0599b7a419f0,1dd6cb8e-533b-4b5d-bc52-0599b7a419f0
1917.stlnstlocname,POVIDENCE TPKE,PROVIDENCE TPKE
954.stlnstlocname,LONON RD,LONDON RD
837.routeid,-N,1-N
1483.routeid,b1-N,1-N
1870.stlnstlocname,SOUTaH MAIN ST,SOUTH MAIN ST
331.stlnstlocname,KINGS HIGHWAY CUOTFF,KINGS HIGHWAY CUTOFF
1773.global_id,48183266-7d28-46a-3aec3-8326edbab7ac,48183266-7d28-46a3-aec3-8326edbab7ac
1488.global_id,b3d1879-35dc-4c79-a4ee-3b22af2a4c9d,db3d1879-35dc-4c79-a4ee-3b22af2a4c9d
2242.stlnstlocname,WASRAW ST,WARSAW ST
341.routeid,0-S,10-S
1777.stlnstlocname,BRADLEY INTERNwATIONAL AIRPORT CONNECTOR,BRADLEY INTERNATIONAL AIRPORT CONNECTOR
391.xsp,OLG,LOG
516.stlnstlocname,MOUNTAINu RD,MOUNTAIN RD
760.global_id,2ed8e588-f87b4-4a34-8331-43750de202d9,2ed8e588-f874-4a34-8331-43750de202d9
2128.global_id,8373b50e-3ba-4c06-b72c-73bf754f354b,8373b50e-a3ba-4c06-b72c-73bf754f354b
247.townname,BETHmEL,BETHEL
2007.townname,MARLBORUOGH,MARLBOROUGH
2326.townname,WINDSOR OLCKS,WINDSOR LOCKS
2034.stlnstlocname,BANTAMLAKE RD,BANTAM LAKE RD
595.xsp,uREV,REV
506.routeid,354w-E,354-E
2234.townname,MbANCHESTER,MANCHESTER
2119.routeid,45-N,145-N
2082.townname,SIMgSBURY,SIMSBURY
1577.xsp,EV,REV
1503.townname,STAFFORD***,STAFFORD
492.routeid,181N,181-N
147.xsp,RoEV,REV
1459.xsp,COTN,CONT
765.global_id,3b76d71e-a842-4026-92b-8f6ce35f9698,3b76d71e-a842-4026-92b5-8f6ce35f9698
1544.xsp,RVE,REV
1088.townname,NEW aLONDON,NEW LONDON
445.xsp,dCONT,CONT
1911.stlnstlocname,HOPRIVER RD,HOP RIVER RD
971.xsp,ONT,CONT
948.global_id,2d36bbf7-9841-400a-bde-ea129f5c7d74,2d36bbf7-9841-400a-b5de-ea129f5c7d74
1917.xsp,jLOG,LOG
1170.xsp,CONgT,CONT
1621.global_id,6hfe656f2-2a7d-4d65-bb72-a7d8f8829fb8,6fe656f2-2a7d-4d65-bb72-a7d8f8829fb8
347.xsp,CNOT,CONT
