1081.fipstwo,f5409,f54059
449.statevalue,N,MN
718.fipstwo,f3121,f36121
272.fipstwo,f1817,f18137
733.county,Hocikng ,Hocking 
76.fipstwo,0f8065,f08065
282.county,Vig o,Vigo 
526.statecounty,NjC_Buncombe,NC_Buncombe
207.statevalue,LI,IL
770.statecounty,OK_Garfeild,OK_Garfield
861.statevalue,A,PA
12.fipstwo,f0h4007,f04007
798.statevalue,R,OR
390.statecounty,MIBenzie,MI_Benzie
905.county,Be ,Bee 
696.statecounty,NvY_Genesee,NY_Genesee
932.statecounty,T_XGuadalupe,TX_Guadalupe
79.county,Logman ,Logan 
374.county,Wagshington ,Washington 
977.county,Box lEder ,Box Elder 
145.county,Flod ,Floyd 
603.statevalue,E,NE
919.fipstwo,zf48117,f48117
114.statevalue,FgL,FL
912.statecounty,TX_Colingsworth,TX_Collingsworth
42.statecounty,CA_Sacraento,CA_Sacramento
28.statevalue,AC,CA
47.fipstwo,f60079,f06079
736.statevalue,HO,OH
522.statevalue,CN,NC
793.statecounty,OK_tTillman,OK_Tillman
787.statecounty,OK_Oqsage,OK_Osage
566.statevalue,CN,NC
440.county,Chippwa ,Chippewa 
420.county,Oaland ,Oakland 
534.county,Edgecomb e,Edgecombe 
972.statevalue,X,TX
1050.county,Marinett e,Marinette 
1077.county,Wod ,Wood 
496.county,Baine ,Blaine 
1070.fipstwo,f55217,f55127
983.county,Culpepr ,Culpeper 
571.statevalue,DN,ND
147.statevalue,AI,IA
392.county,Brnch ,Branch 
800.fipstwo,f4011,f41011
168.statecounty,IfA_O'Brien,IA_O'Brien
826.fipstwo,f4217,f42017
1083.county,Larmaie ,Laramie 
108.fipstwo,f1205i5,f12055
688.statevalue,vNY,NY
439.fipstwo,f7021,f27021
526.county,Buncomb e,Buncombe 
590.statevalue,E,NE
879.fipstwo,44009,f44009
704.statecounty,NY_Osweog,NY_Oswego
431.fipstwo,f20703,f27003
172.fipstwo,f1915,f19155
771.statevalue,KO,OK
582.statecounty,NE_edar,NE_Cedar
196.county,Owyyhee ,Owyhee 
163.fipstwo,zf19127,f19127
427.county,St. Joiseph ,St. Joseph 
567.county,Banes ,Barnes 
746.statecounty,OgH_Sandusky,OH_Sandusky
703.statevalue,YN,NY
1020.fipstwo,af55009,f55009
503.county,Glacie r,Glacier 
924.fipstwo,xf48145,f48145
506.statecounty,MT_Jefferson***,MT_Jefferson
357.fipstwo,f25h023,f25023
190.county,Fremon ,Fremont 
174.statevalue,InA,IA
1062.fipstwo,f551d05,f55105
112.fipstwo,lf12071,f12071
16.county,Mariocpa ,Maricopa 
1072.statecounty,WI_Washingtocn,WI_Washington
161.fipstwo,f191e21,f19121
90.statecounty,CO_Wld,CO_Weld
446.statecounty,MN_Goodhue***,MN_Goodhue
500.county,Fergu ,Fergus 
989.county,elson ,Nelson 
125.statecounty,GA_Randyolph,GA_Randolph
400.fipstwo,26067,f26067
630.statecounty,NEy_Seward,NE_Seward
64.statecounty,COr_Boulder,CO_Boulder
113.statecounty,FL_Marin,FL_Marion
480.county,Wabash a,Wabasha 
401.fipstwo,f20669,f26069
628.fipstwo,jf31155,f31155
786.county,Oklaoma ,Oklahoma 
62.statecounty,CO_Aarpahoe,CO_Arapahoe
597.county,Frnas ,Furnas 
789.statevalue,OlK,OK
67.fipstwo,f08i019,f08019
473.county,Scottc ,Scott 
962.statecounty,TXS_curry,TX_Scurry
50.county,Santa Claa ,Santa Clara 
843.statecounty,PA_Jeffersn,PA_Jefferson
364.statecounty,D_Cecil,MD_Cecil
647.statevalue,oNJ,NJ
124.statevalue,A,GA
956.fipstwo,f84345,f48345
782.fipstwo,f400d83,f40083
677.fipstwo,3f5057,f35057
49.county,Sanita Barbara ,Santa Barbara 
590.fipstwo,f1049,f31049
98.statevalue,T,CT
747.fipstwo,f39174,f39147
810.county,Magrion ,Marion 
263.statecounty,IN_Marshall***,IN_Marshall
259.county,LaGrnage ,LaGrange 
977.fipstwo,49003,f49003
321.statecounty,KS_Osbrone,KS_Osborne
245.statecounty,IN_Delawaer,IN_Delaware
257.fipstwo,f18803,f18083
969.statecounty,TX_Webb***,TX_Webb
796.statecounty,OK_Woodard,OK_Woodward
369.statevalue,wMD,MD
396.statecounty,MI_Clarte,MI_Clare
979.county,Albmearle ,Albemarle 
27.statecounty,CA_Inypo,CA_Inyo
351.fipstwo,fu25005,f25005
813.statevalue,RO,OR
80.county,organ ,Morgan 
757.county,Beave r,Beaver 
287.statecounty,S_Anderson,KS_Anderson
148.statecounty,A_Hardin,IA_Hardin
882.county,Laurengs ,Laurens 
801.statecounty,OR_rook,OR_Crook
300.fipstwo,2f0065,f20065
302.county,Greeey ,Greeley 
799.statevalue,R,OR
501.statecounty,M_TFlathead,MT_Flathead
250.county,amilton ,Hamilton 
51.county,Shsta ,Shasta 
892.statecounty,DS_Haakon,SD_Haakon
1000.county,Chela n,Chelan 
744.statecounty,OH_ichland,OH_Richland
898.statevalue,D,SD
527.statevalue,C,NC
278.statecounty,IN_ullivan,IN_Sullivan
1035.statevalue,WqI,WI
805.statevalue,RO,OR
789.statecounty,OK_Pottawatomuie,OK_Pottawatomie
139.county,Claton ,Clayton 
649.county,Camdn ,Camden 
717.statecounty,NY_Westchster,NY_Westchester
327.fipstwo,f20z153,f20153
462.statecounty,MNd_Nobles,MN_Nobles
832.county,Clearfieldy ,Clearfield 
32.county,Maedra ,Madera 
1081.statevalue,cWV,WV
1029.statecounty,W_Door,WI_Door
258.fipstwo,f18u085,f18085
246.county,Elkhatr ,Elkhart 
436.county,Broawn ,Brown 
241.county,Blackfordz ,Blackford 
716.fipstwo,f36171,f36117
151.fipstwo,1f9091,f19091
992.statecounty,A_Roanoke,VA_Roanoke
278.statevalue,N,IN
1055.county,bOutagamie ,Outagamie 
88.county,Tleller ,Teller 
305.statecounty,KS_Jeffersn,KS_Jefferson
778.fipstwo,fv40071,f40071
713.county,Stuben ,Steuben 
642.fipstwo,3f3009,f33009
37.fipstwo,yf06055,f06055
240.county,Batrholomew ,Bartholomew 
421.statevalue,IM,MI
686.fipstwo,3f6007,f36007
631.county,Sherian ,Sheridan 
883.county,Lexingtn ,Lexington 
641.county,Chehsire ,Cheshire 
512.statecounty,MTw_Pondera,MT_Pondera
247.county,ayette ,Fayette 
485.statevalue,N,MN
665.statecounty,NM_Don Ana,NM_Dona Ana
71.fipstwo,08047,f08047
519.statecounty,MT_Tetn,MT_Teton
880.statecounty,S_CAiken,SC_Aiken
203.county,Casrroll ,Carroll 
219.county,aMcon ,Macon 
666.county,Edduy ,Eddy 
343.fipstwo,f0197,f20197
369.county,Hward ,Howard 
619.county,Perkin s,Perkins 
362.statecounty,MD_Caroilne,MD_Caroline
475.statecounty,MN_St. Lousi,MN_St. Louis
203.statevalue,L,IL
1035.statecounty,WI_rGant,WI_Grant
672.statecounty,NM_Rio Arribta,NM_Rio Arriba
936.statevalue,X,TX
453.statevalue,N,MN
323.statevalue,SK,KS
395.statevalue,IM,MI
430.statecounty,MI_Wefxord,MI_Wexford
562.statevalue,C,NC
474.statecounty,MN_Shebrurne,MN_Sherburne
338.statevalue,S,KS
134.fipstwo,f1027,f19027
1023.statevalue,I,WI
888.fipstwo,f46o029,f46029
695.county,Franklsin ,Franklin 
473.fipstwo,f271t39,f27139
625.statevalue,EN,NE
515.fipstwo,f3w0087,f30087
990.county,Notztoway ,Nottoway 
75.county,Kit Crson ,Kit Carson 
1064.county,auk ,Sauk 
715.fipstwo,fl36115,f36115
334.statecounty,KS_Russel,KS_Russell
988.county,Mecklenrburg ,Mecklenburg 
941.fipstwo,fl48227,f48227
6.fipstwo,f0290,f02290
67.county,Clear Cerek ,Clear Creek 
720.statecounty,OH_Auglapize,OH_Auglaize
468.statecounty,M_NPope,MN_Pope
783.statevalue,KO,OK
860.statecounty,PA_Snypder,PA_Snyder
382.county,iPscataquis ,Piscataquis 
1018.fipstwo,xf55003,f55003
855.statecounty,PA_Northapton,PA_Northampton
669.fipstwo,fz35027,f35027
617.county,Nepmaha ,Nemaha 
1049.county,Maratohn ,Marathon 
474.county,Sherburn ,Sherburne 
983.statevalue,A,VA
289.fipstwo,f2027,f20027
638.county,Wenbster ,Webster 
946.county,Konx ,Knox 
663.fipstwo,f350m06,f35006
668.statevalue,M,NM
901.county,Mnoroe ,Monroe 
15.fipstwo,f0a4012,f04012
184.statecounty,ID_Bocise,ID_Boise
658.fipstwo,f34013,f34031
349.statevalue,MaA,MA
1021.fipstwo,f5501i1,f55011
282.statevalue,N,IN
365.county,Charls ,Charles 
107.county,Hadree ,Hardee 
557.statevalue,C,NC
209.statecounty,ILu_Greene,IL_Greene
71.county,iGlpin ,Gilpin 
478.county,Todd ***,Todd 
413.county,Meocsta ,Mecosta 
31.statevalue,AC,CA
533.statevalue,C,NC
889.statecounty,D_Custer,SD_Custer
439.county,sCass ,Cass 
352.fipstwo,f25011***,f25011
650.statevalue,NyJ,NJ
941.county,Howarfd ,Howard 
274.county,Shelyb ,Shelby 
842.statecounty,PA_Indina,PA_Indiana
381.statevalue,EM,ME
763.statecounty,OK_Cimvarron,OK_Cimarron
730.statecounty,OH_Greesne,OH_Greene
389.fipstwo,26015,f26015
48.statecounty,CnA_San Mateo,CA_San Mateo
702.county,Onieda ,Oneida 
241.statecounty,IN_bBlackford,IN_Blackford
600.fipstwo,ft31073,f31073
340.statecounty,KS_Staffodr,KS_Stafford
480.statecounty,MN_Wbaasha,MN_Wabasha
176.statecounty,IA_VanB uren,IA_Van Buren
326.fipstwo,f2051,f20151
1060.county,Raine ,Racine 
430.statevalue,I,MI
638.fipstwo,f31118,f31181
342.statevalue,lKS,KS
727.statevalue,H,OH
559.statecounty,NC_Transylvaniua,NC_Transylvania
530.fipstwo,37051,f37051
1017.statevalue,WyI,WI
921.county,Duavl ,Duval 
76.county,Lae ,Lake 
790.statevalue,K,OK
582.county,Cdar ,Cedar 
661.fipstwo,f3441,f34041
708.fipstwo,f3608l7,f36087
395.fipstwo,ff26029,f26029
348.fipstwo,f2v1175,f21175
541.statevalue,C,NC
697.statecounty,NY_Jeffersn,NY_Jefferson
758.statevalue,K,OK
486.county,Barryg ,Barry 
521.statevalue,TM,MT
355.statevalue,AM,MA
644.county,Merrimanck ,Merrimack 
766.statevalue,K,OK
869.statevalue,A,PA
504.county,Golden Valleyy ,Golden Valley 
860.county,Synder ,Snyder 
759.fipstwo,f4001,f40011
705.statecounty,NY_aOtsego,NY_Otsego
520.statevalue,T,MT
336.county,Sedgwiczk ,Sedgwick 
845.fipstwo,f420o71,f42071
44.fipstwo,f0071,f06071
763.county,Cimarrgon ,Cimarron 
915.statevalue,XT,TX
545.statecounty,NC_Montgomeqry,NC_Montgomery
226.county,iMonroe ,Monroe 
861.county,Somerse t,Somerset 
564.statecounty,NC_Wilks,NC_Wilkes
910.statevalue,yTX,TX
357.county,Plmouth ,Plymouth 
104.county,revard ,Brevard 
857.county,Perrfy ,Perry 
987.county,Madiosn ,Madison 
285.statevalue,uIN,IN
569.statevalue,DN,ND
981.statecounty,A_Brunswick,VA_Brunswick
911.statevalue,XT,TX
299.fipstwo,f02063,f20063
898.fipstwo,f4609t9,f46099
500.fipstwo,f3027,f30027
77.statecounty,CO_uLarimer,CO_Larimer
222.statecounty,I_LMason,IL_Mason
436.statecounty,MNn_Brown,MN_Brown
40.statecounty,CA_Pulmas,CA_Plumas
1019.county,lBarron ,Barron 
472.statevalue,fMN,MN
32.statevalue,hCA,CA
293.county,oDniphan ,Doniphan 
417.county,Monstcalm ,Montcalm 
209.county,Greenep ,Greene 
660.statevalue,J,NJ
109.statecounty,FL_Hillsorough,FL_Hillsborough
434.fipstwo,f2009,f27009
294.statecounty,KS_Ewdards,KS_Edwards
1016.fipstwo,f5077,f53077
979.fipstwo,f51030,f51003
521.statecounty,T_Yellowstone,MT_Yellowstone
680.statevalue,V,NV
206.statevalue,IxL,IL
686.statevalue,mNY,NY
455.statevalue,NM,MN
1079.statevalue,V,WV
815.statecounty,OR_Unino,OR_Union
845.county,Lancasster ,Lancaster 
53.county,mSolano ,Solano 
214.statecounty,ILa_Kendall,IL_Kendall
129.statevalue,AI,IA
551.county,Rcihmond ,Richmond 
252.statecounty,IN_jHenry,IN_Henry
848.fipstwo,f4207s7,f42077
350.fipstwo,f2003,f25003
982.fipstwo,f5w1031,f51031
830.statevalue,AP,PA
404.statecounty,MI_Kalamaoo,MI_Kalamazoo
493.county,tone ,Stone 
403.fipstwo,f260b73,f26073
421.county,Oceanqa ,Oceana 
198.statevalue,DI,ID
541.county,Jhnston ,Johnston 
17.statevalue,ZA,AZ
571.county,McIntohs ,McIntosh 
2.county,Anchorage Municipvality,Anchorage Municipality
237.statevalue,L,IL
139.statevalue,A,IA
94.statecounty,CT_Litchfeld,CT_Litchfield
700.county,Madiso n,Madison 
52.county,Siskiyo u,Siskiyou 
802.fipstwo,f40117,f41017
351.county,Britsol ,Bristol 
832.statecounty,PA_Cleafield,PA_Clearfield
244.statevalue,wIN,IN
531.statecounty,C_Currituck,NC_Currituck
25.statevalue,A,CA
79.fipstwo,f08057,f08075
443.fipstwo,f2037,f27037
156.county,ones ,Jones 
334.statevalue,SK,KS
793.fipstwo,f40i141,f40141
811.statecounty,ORMorrow,OR_Morrow
891.statecounty,DS_Gregory,SD_Gregory
379.fipstwo,f2309,f23009
958.statevalue,XT,TX
893.statecounty,SD_sHamlin,SD_Hamlin
756.county,Alfallfa ,Alfalfa 
490.statecounty,MO_Nhew Madrid,MO_New Madrid
736.fipstwo,f3083,f39083
340.statevalue,SK,KS
114.statecounty,FL_Miam-Dade,FL_Miami-Dade
2.statevalue,KA,AK
649.statevalue,JN,NJ
501.statevalue,T,MT
65.county,Chaffe ,Chaffee 
250.statecounty,IN_Hamilgton,IN_Hamilton
545.statevalue,CN,NC
964.fipstwo,f4833,f48433
1070.statevalue,IW,WI
705.statevalue,Y,NY
67.statecounty,C_Clear Creek,CO_Clear Creek
246.fipstwo,fd18039,f18039
770.county,Garfild ,Garfield 
732.county,Hbenry ,Henry 
879.statevalue,gRI,RI
164.county,aMills ,Mills 
317.county,Mrris ,Morris 
55.statevalue,A,CA
119.fipstwo,f12172,f12127
508.county,Lkae ,Lake 
598.statecounty,NE_Gaeg,NE_Gage
950.statecounty,TXo_Lynn,TX_Lynn
57.statevalue,AC,CA
276.statevalue,N,IN
504.statevalue,T,MT
821.county,Baever ,Beaver 
463.county,orman ,Norman 
34.statevalue,A,CA
228.county,Peori a,Peoria 
272.statecounty,IN_Riley,IN_Ripley
730.fipstwo,f3957,f39057
364.county,Cceil ,Cecil 
801.fipstwo,41013,f41013
1071.statecounty,WI_Washbrun,WI_Washburn
26.statecounty,CAh_Glenn,CA_Glenn
897.statevalue,DS,SD
826.county,Bcks ,Bucks 
1043.statecounty,WI_Keonsha,WI_Kenosha
220.county,Madsion ,Madison 
524.county,Avrey ,Avery 
359.statevalue,D,MD
77.statevalue,OC,CO
205.statecounty,L_Coles,IL_Coles
219.fipstwo,f1711y5,f17115
793.county,Tillmdan ,Tillman 
74.fipstwo,f08016,f08061
735.county,Jefferon ,Jefferson 
567.statecounty,ND_Byarnes,ND_Barnes
589.statevalue,E,NE
679.fipstwo,f32003***,f32003
191.statecounty,IDKootenai,ID_Kootenai
407.statecounty,I_Leelanau,MI_Leelanau
736.county,nKox ,Knox 
761.fipstwo,f4001x7,f40017
357.statevalue,A,MA
654.fipstwo,fa34021,f34021
1085.statecounty,WY_Teon,WY_Teton
584.fipstwo,f3l1035,f31035
773.statevalue,OgK,OK
950.fipstwo,48305,f48305
28.county,Keern ,Kern 
1027.statecounty,WI_ane,WI_Dane
545.fipstwo,f31723,f37123
255.county,Jaspezr ,Jasper 
739.fipstwo,39109,f39109
13.statevalue,ZA,AZ
600.statevalue,NoE,NE
396.fipstwo,df26035,f26035
1069.county,Vlias ,Vilas 
403.county,Isaella ,Isabella 
814.county,mUatilla ,Umatilla 
502.fipstwo,f3031,f30031
1033.county,Fond du aLc ,Fond du Lac 
506.fipstwo,f300s43,f30043
394.statecounty,MI_Cass***,MI_Cass
1016.county,Yakia ,Yakima 
364.fipstwo,f24e015,f24015
454.statevalue,MaN,MN
1065.statecounty,WI_Sawano,WI_Shawano
609.statevalue,fNE,NE
75.statevalue,hCO,CO
109.fipstwo,f1257,f12057
576.statevalue,EN,NE
562.statecounty,NC_uWatauga,NC_Watauga
139.fipstwo,f9043,f19043
701.fipstwo,f3607,f36057
291.statevalue,KhS,KS
261.fipstwo,fm18091,f18091
96.fipstwo,f09009***,f09009
317.statecounty,S_Morris,KS_Morris
70.county,Garfied ,Garfield 
1051.statecounty,WI_Mraquette,WI_Marquette
297.statevalue,S,KS
320.statecounty,KSc_Osage,KS_Osage
393.county,Calhou n,Calhoun 
604.county,arlan ,Harlan 
864.fipstwo,f2119,f42119
958.fipstwo,f48376,f48367
1040.fipstwo,f5y5053,f55053
106.county,olumbia ,Columbia 
544.county,Meklenburg ,Mecklenburg 
853.county,Mornoe ,Monroe 
115.fipstwo,f1209x5,f12095
820.county,Armystrong ,Armstrong 
909.statevalue,X,TX
829.county,Cetnre ,Centre 
86.fipstwo,f0807,f08107
341.county,Sumneer ,Sumner 
163.statecounty,IA_Mrshall,IA_Marshall
987.statecounty,A_Madison,VA_Madison
1036.statevalue,I,WI
212.county,Jo Daviss ,Jo Daviess 
584.statecounty,NEi_Clay,NE_Clay
831.statecounty,PA_larion,PA_Clarion
655.statevalue,wNJ,NJ
366.statevalue,dMD,MD
544.statevalue,qNC,NC
567.statevalue,D,ND
744.fipstwo,39139,f39139
406.statevalue,I,MI
951.statecounty,TX_Maqrtin,TX_Martin
986.fipstwo,sf51089,f51089
177.county,Warreno ,Warren 
964.statevalue,X,TX
1023.statecounty,WI_Cippewa,WI_Chippewa
128.statecounty,IAB_enton,IA_Benton
964.statecounty,TX_Stoneawll,TX_Stonewall
948.statecounty,TX_Lano,TX_Llano
1005.statevalue,A,WA
306.statevalue,pKS,KS
167.county,Muscatne ,Muscatine 
885.fipstwo,f5091,f45091
397.county,Dizckinson ,Dickinson 
475.statevalue,MlN,MN
743.fipstwo,f3919,f39129
914.statecounty,TX_oCmal,TX_Comal
23.statevalue,A,CA
38.fipstwo,f0609,f06059
14.statevalue,ZA,AZ
895.statevalue,SwD,SD
862.statecounty,uPA_Sullivan,PA_Sullivan
171.statecounty,IAPocahontas,IA_Pocahontas
889.statevalue,DS,SD
86.statevalue,OC,CO
551.statecounty,NC_Rcihmond,NC_Richmond
703.statecounty,NY_Oonndaga,NY_Onondaga
861.fipstwo,f42111***,f42111
728.statecounty,OH_uFlton,OH_Fulton
556.fipstwo,f37136,f37163
136.fipstwo,f1903p3,f19033
4.statevalue,AaK,AK
138.county,lay ,Clay 
310.statecounty,KS_Linocln,KS_Lincoln
837.statevalue,AP,PA
874.statevalue,RP,PR
551.statevalue,yNC,NC
341.fipstwo,f2019u1,f20191
365.statecounty,MD_Chrales,MD_Charles
642.statevalue,NhH,NH
626.statevalue,E,NE
663.statecounty,NqM_Cibola,NM_Cibola
1077.statevalue,wWI,WI
75.fipstwo,0f8063,f08063
776.fipstwo,f4065,f40065
438.fipstwo,27019,f27019
1028.county,Dode ,Dodge 
34.fipstwo,f06034,f06043
578.statevalue,bNE,NE
741.statecounty,OH_Muszkingum,OH_Muskingum
178.county,Winnshiek ,Winneshiek 
947.fipstwo,fb48279,f48279
386.statecounty,MI_Allehgan,MI_Allegan
998.statecounty,AW_Adams,WA_Adams
146.statecounty,IA_Frankin,IA_Franklin
206.statecounty,LI_Crawford,IL_Crawford
920.fipstwo,f48m123,f48123
200.county,Adapms ,Adams 
290.county,Comannche ,Comanche 
684.statevalue,NqV,NV
131.fipstwo,1f9019,f19019
559.fipstwo,f37157,f37175
160.statevalue,A,IA
581.fipstwo,f1025,f31025
278.fipstwo,f1153,f18153
761.county,Canaian ,Canadian 
345.fipstwo,f202j03,f20203
957.statevalue,XT,TX
177.fipstwo,f19u181,f19181
298.statevalue,S,KS
550.statevalue,C,NC
166.fipstwo,19133,f19133
300.statecounty,KS_Graam,KS_Graham
121.statecounty,A_Jackson,GA_Jackson
247.fipstwo,f18014,f18041
517.county,Silvre Bow ,Silver Bow 
1034.county,orest ,Forest 
959.statevalue,XT,TX
565.county,Wilsosn ,Wilson 
1.statevalue,KA,AK
202.statevalue,zIL,IL
728.county,Futlon ,Fulton 
707.statevalue,Y,NY
1053.county,Ocontou ,Oconto 
401.statevalue,IM,MI
331.fipstwo,f21061,f20161
666.statevalue,dNM,NM
873.fipstwo,f72e075,f72075
1068.county,Vernnon ,Vernon 
