season,datecode(long),weekending,region,respiratoryvirus,numberpositive(long),specimenstested(long),percentpositive(double precision)
2009-2010,200940,10/10/09,Bay Area,Influenvza_A,36,220,16.36
2009-2010***,200940,10/01/09,Bay Area,Influenza_B,0,220,0.0
2009-2010,200940,10/10/09,aBy Area,Total_Influenza,36,220,16.36
2009-2010,200940,10/10/09,Bay Afrea,RSV,0,190,0.0
20092010,200940,10/10/09,Clifornia,lInfluenza_A,1077,3324,32.4
2009-2010,200940,10/10/09,Claifornia,Influenza_B,3,3324,0.09
2009-2010,200940,10/0/09,California,Total_Influenza,1080,3324,32.49
2009-2010,200940,101/0/09,California,RSV,2,2218,0.09
2009-2010,200940,10/10/09,Cenral,Ifnluenza_A,202,787,25.67
2009-2010,200940,10/10/09,Central,Influenza_B,1,787,0.13
2009-200,200940,0/10/09,Central,Total_Infleunza,203,787,25.79
2009-2010,200940,10/10/09,Central,RSV,0,329,0.0
2009-2010,200940,f10/10/09,Lower Southern,Influenza_A,21,150,14.0
009-2010,200940,10/10/09,Lower Southern,Influenza_B,0,150,0.0
2009m-2010,200940,101/0/09,Lower Southern,Ttal_Influenza,21,150,14.0
2009-2010,200940,10/10/09,ower Southern,RSV,0,35,0.0
o2009-2010,200940,10/10/09,Northren,Ifnluenza_A,0,0,0.0
2009-2010,200940,10/10/09,Northern,Influenza_B,0,0,0.0
2009-210,200940,10/10/09,Nrothern,Total_Influenza,0,0,0.0
2009c-2010,200940,1/010/09,Northern,RV,0,0,0.0
009-2010,200940,10/10/90,Northern/Bay Area,Influenza_A,627,1510,41.52
2009-2001,200940,10/10/09,Northern/Bay Area,Ifnluenza_B,1,1510,0.07
2009-010,200940,10/10/09,Nortehrn/Bay Area,Total_Influena,628,1510,41.59
2009-2v010,200940,10/1/09,Northenr/Bay Area,RSvV,2,1510,0.13
2009-2010,200940,10/10/09,Upper Southern,Influenza_A,17,158,10.76
2009-2010***,200940,10/v10/09,Upper Southern,Influenza_B,0,158,0.0
2009-2010,200940,10/10/09,Upper Southejrn,Total_Influenza,17,158,10.76
2009-2010,200940,10/1009,Upper Southern,RSV,0,143,0.0
2090-2010,200940,10/1a0/09,Upper/Lower Southern,nfluenza_A,174,499,34.87
2009-2010,200940,10/s10/09,Upper/Lower Soutern,Influenza_B,1,499,0.2
2009-2010,200940,1/010/09,Upper/Lower Southern,Total_Influenza,175,499,35.07
2009-2010,200940,10/10/09,Upper/Lower Southern,RSV,0,11,0.0
200-92010,200941,10/17/09,Bay Arega,Influenza_A,47,283,16.61
2009-2010,200941,10/17/09,Bamy Area,wInfluenza_B,1,283,0.35
009-2010,200941,10/1/09,ay Area,Total_Influenza,48,283,16.96
2009-2010,200941,10/71/09,Bayq Area,gRSV,1,249,0.4
2009-2010,200941,10p/17/09,California,Influenza_A,1457,3693,39.45
2009-2001,200941,10/17/09,California,Influenza_B,5,3693,0.14
2009-2010,200941,10/17/09,Califorznia,Totahl_Influenza,1462,3693,39.59
2009-20q10,200941,10/17/09,California,RSV,8,2764,0.29
2009-2010,200941,10/17/09,Central,Influenza_A,195,585,33.33
2009-2001,200941,10/17/09,Central,Influenzaq_B,0,585,0.0
2009-2010,200941,1/17/09,eCntral,Total_nfluenza,195,585,33.33
2009-2010,200941,10/17/09,Central,RSV,0,380,0.0
2009-2010,200941,0/17/09,LowerSouthern,Ifnluenza_A,44,202,21.78
2009-2010***,200941,10/17/0e9,Lower Soutern,Inluenza_B,0,202,0.0
2009-2010,200941,10/17/09,Lower oSuthern,Total_Influenza,44,202,21.78
2009-a2010,200941,10/17/09,Lower Southern,RSV,0,53,0.0
009-2010,200941,10/17/90,Northern,Influena_A,0,0,0.0
2009-2010,200941,10/1r7/09,Northern,Influenza_B,0,0,0.0
2009-2010,200941,1/17/09,Notrhern,Total_Influenza,0,0,0.0
2009-2010,200941,10/17/09,Northern,RSV,0,0,0.0
2009-201r0,200941,10/17/09,NorthernB/ay Area,Influenaz_A,920,2070,44.44
2009-2010,200941,10/170/9,Northern/Bay Area,Influenza_B,4,2070,0.19
009-2010,200941,10/17/09,Northern/Bay Area,oTtal_Influenza,924,2070,44.64
2009-2010,200941,10/17/09,Norhtern/Bay Area,RSV,4,2070,0.19
2009-2010,200941,10/17/09,fUpper Southern,Infleunza_A,0,0,0.0
2009-2010,200941,10/17/09,Upper Souhern,Influenza_B,0,0,0.0
2009-2n010,200941,10/17/09,UpperSouthern,Total_Inflenza,0,0,0.0
2009-20l10,200941,10/17/09,Upper Southern,RaSV,0,0,0.0
2009-0210,200941,10/17/09,Upper/Lower Sothern,Influenza_A,251,553,45.39
2009-200,200941,10/17/09,Upper/Lowre Southern,Influenza_B,0,553,0.0
2009-2010,200941,10/17/09,Upper/Lower Southern,Total_Influenza,251,553,45.39
2009-2010,200941,10/7/09,Upper/Lower Southern,RSV,3,12,25.0
2009-2010,200942,10/24/09,Bay Area,Influenza_A,53,330,16.06
2009-2010,200942,10/24/0l9,Bay Area,nfluenza_B,0,330,0.0
2009-2010,200942,10/24/90,Bay Afrea,Total_Influeknza,53,330,16.06
2009-2010,200942,10/24/09,BayA rea,RSV,0,282,0.0
2009-d2010,200942,10/24/09,Californila,Influenza_A,1398,3642,38.39
2009-201l0,200942,10/24/09,Californita,Influenza_B,3,3642,0.08
2009-2010,200942,10/24/09,Califorinia,TotalInfluenza,1401,3642,38.47
2009-2001,200942,10/24/09,California,RSV,1,2615,0.04
2009-2010,200942,10/24/09,Chentral,Inflenza_A,162,498,32.53
2009-2010,200942,10/24/09,Central,Influenza_B,0,498,0.0
2009d-2010,200942,10/24/09,Central,Total_Influezna,162,498,32.53
2009-210,200942,10/24/09,Central,RSV,0,278,0.0
209-2010,200942,10/2/09,Lower Southern,Influenzva_A,54,251,21.51
2009-2010,200942,10/24/09,Loer Southern,Influenza_B,0,251,0.0
2009-2010,200942,10/24/09,Lower Southern,Total_Influenza,54,251,21.51
2009-2r010,200942,10/24/09,Lower Southern,RSV,0,57,0.0
2009-2010,200942,10/24/09,Northern,tInfluenza_A,0,0,0.0
2009-2010,200942,10/s24/09,Northern,Influenza_B,0,0,0.0
200-2010,200942,10/240/9,Northern,Total_Influenza,0,0,0.0
2009-2010,200942,10/24/09,Northern,RSV,0,0,0.0
2009-2010,200942,1/24/09,Norhtern/Bay Area,Influenza_A,848,1969,43.07
2009-2010,200942,01/24/09,Northern/Bay Area,Influenza_B,1,1969,0.05
2009-p2010,200942,10/24/09,Northenr/Bay Area,Total_Influenza,849,1969,43.12
2009-2010,200942,10/24/09,Northern/oBay Area,RSV,1,1969,0.05
2009-201e0,200942,10/24/09,Upper Southern,nIfluenza_A,0,0,0.0
2009-210,200942,10/42/09,Uper Southern,Influenza_B,0,0,0.0
