Sort by: Employed by this Industry,Code,Occupation,Projected Growth (2012-2022),Projected Job Openings (2012-2022)
99%,53-2031.00,Flight Attendants,Decline,"14,000"
99%,53-4021.00,"Railroad Brake, Signal, and Switch Operators",Decline,"7,600"
98%,53-4011.00,Locomotive Engineers Green,Decline,"11,400"
98%,53-4012.00,Locomotive Firers,Decline,500
93%,43-5011.00,Cargo and Freight Agents,Faster than average,"33,000"
,43-5011.01,Freight Forwarders Bright Outlook,,
93%,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers",Decline,"19,200"
92%,53-4031.00,Railroad Conductors and Yardmasters,Decline,"13,300"
87%,53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers",Little or no change,"1,700"
82%,49-3043.00,Rail Car Repairers,Slower than average,"6,600"
81%,49-9097.00,Signal and Track Switch Repairers,Little or no change,"2,100"
78%,53-1011.00,Aircraft Cargo Handling Supervisors,Little or no change,"1,900"
74%,53-5011.00,Sailors and Marine Oilers,Faster than average,"19,300"
74%,53-5031.00,Ship Engineers,Average,"5,700"
74%,53-7121.00,"Tank Car, Truck, and Ship Loaders",Slower than average,"3,900"
72%,43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks,Decline,"18,500"
71%,53-4099.00,"Rail Transportation Workers, All Other",Little or no change,"1,000"
70%,53-6099.00,"Transportation Workers, All Other",Slower than average,"16,500"
67%,53-5021.00,"Captains, Mates, and Pilots of Water Vessels",Average,"21,300"
,53-5021.01,Ship and Boat Captains,,
,53-5021.02,"Mates- Ship, Boat, and Barge",,
,53-5021.03,"Pilots, Ship",,
66%,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators,Slower than average,"4,500"
59%,49-3011.00,Aircraft Mechanics and Service Technicians,Little or no change,"35,600"
57%,53-6061.00,"Transportation Attendants, Except Flight Attendants",Average,"6,400"
56%,53-5022.00,Motorboat Operators,Slower than average,"1,800"
54%,53-3032.00,Heavy and Tractor-Trailer Truck Drivers,Average,"464,700"
54%,53-2022.00,Airfield Operations Specialists,Slower than average,"3,500"
50%,53-2012.00,Commercial Pilots,Average,"14,400"
44%,53-3021.00,"Bus Drivers, Transit and Intercity",Average,"48,100"
44%,49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment",Little or no change,"3,600"
41%,43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance",Average,"76,400"
41%,53-7199.00,"Material Moving Workers, All Other",Slower than average,"9,400"
41%,49-2091.00,Avionics Technicians,Slower than average,"4,000"
37%,53-3022.00,"Bus Drivers, School or Special Client",Average,"129,900"
37%,53-6051.00,Transportation Inspectors,Average,"11,700"
,53-6051.01,Aviation Inspectors,,
,53-6051.07,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",,
,53-6051.08,Freight and Cargo Inspectors,,
35%,53-1031.00,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,Average,"72,600"
35%,33-3052.00,Transit and Railroad Police,Slower than average,"1,400"
34%,53-3041.00,Taxi Drivers and Chauffeurs,Faster than average,"63,700"
34%,11-3071.00,"Transportation, Storage, and Distribution Managers",Slower than average,"29,100"
,11-3071.01,Transportation Managers,,
,11-3071.02,Storage and Distribution Managers,,
,11-3071.03,Logistics Managers,,
32%,53-1021.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",Average,"61,900"
,53-1021.01,Recycling Coordinators,,
32%,53-7011.00,Conveyor Operators and Tenders,Slower than average,"12,400"
32%,53-7071.00,Gas Compressor and Gas Pumping Station Operators,Decline,"1,700"
29%,53-3033.00,Light Truck or Delivery Services Drivers,Slower than average,"166,600"
29%,49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists,Average,"75,100"
29%,39-6011.00,Baggage Porters and Bellhops,Average,"15,100"
29%,51-8092.00,Gas Plant Operators,Decline,"4,700"
25%,43-5021.00,Couriers and Messengers,Decline,"12,600"
23%,53-7051.00,Industrial Truck and Tractor Operators,Decline,"116,800"
22%,53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand",Average,"922,500"
20%,53-7041.00,Hoist and Winch Operators,Slower than average,"1,000"
18%,51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",Decline,"15,500"
16%,53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",Much faster than average,"9,000"
15%,53-7063.00,Machine Feeders and Offbearers,Little or no change,"23,200"
13%,53-6011.00,Bridge and Lock Tenders,Decline,"1,400"
12%,43-5071.00,"Shipping, Receiving, and Traffic Clerks",Little or no change,"189,600"
12%,17-2121.00,Marine Engineers and Naval Architects,Average,"2,600"
,17-2121.01,Marine Engineers,,
,17-2121.02,Marine Architects,,
11%,53-7021.00,Crane and Tower Operators,Faster than average,"22,400"
10%,53-3099.00,"Motor Vehicle Operators, All Other",Average,"25,300"
10%,43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",Average,"23,300"
