datevalue,department,total(long)
Jan-p18,Ambulatory Surgery,182872
Feb-18,Ambulatory Surgery,170523
Mar-18,Ambulatory Surgery,191088
Apr-18,Ambulatory Surgery,183092
May-18,Ambulatory Surgery,191622
uJn-18,Ambulatory Surgery,182260
Jul-18,Ambulatory Surgery,181135
Aug-18,Ambulatory Surgery,197343
Sepl-18,Ambulatory Surgery,166815
Oct-18,Ambulatory Surgery,199588
No-v18,Ambsulatory Surgery,181177
bDec-18,Ambulatory Surgery,164379
Jan-19,Ambulatory Surgery,186419
Feb-91,AmbulatorySurgery,171492
Mar-19,Ambulatory Surgery,184998
Apr-19,Ambulatory Surgery,193346
May-19,Axmbulatory Surgery,194723
Jun-19,Ambulatory Surgery,176536
Jul-19,Ambulatory Surgery,192843
Au-19,Ambulatory Surgery,196047
Sep-19,Ambulatory Surgery,178476
ct-19,Ambulatory Surgery,202492
Nov-91,Ambulatory Surgery,176948
Dec-19,Ambulatory Surgery,176842
Jan-20,Ambulatory Surgery,189291
Feb-20,Ambulatory Surgery,176073
ar-20,Ambulatory Surgery,131156
Apr-02,Ambulatory Surgery,55854
May-20,Ambulatory Surgery,109270
kJun-20,Ambulatory Surgery,164010
Jul-20,Ambulatory Surgery,173875
Aug-20,Ambulatory Surgery,167474
Sep-20,Ambulatory Surgery,178119
ct-20,Ambulaztory Surgery,192317
vNov-20,Ambulatory Surgery,168939
Dec-20,Ambulatory Surgery,155273
Jan-18,Discarges,336996
Feb1-8,Discharges,301755
Mar-18,Dischares,337566
Apr-18,Discharges,310311
ay-18,Discharges,319590
Jun-18,Discharges,310443
Jul-18,Discharges,318073
Aug-18,Discarges,328431
Spe-18,Dischargs,309142
Oct-18,Discharges,319460
Nov-18,Discharges,309704
Decq-18,Dischagres,317910
Jan-91,Discharges,327529
Feb-19,Discharges,301957
Mar-19,Discharges,338073
Apr-19,Discharges,315874
ay-19,Discharges,324415
Jun-19,Discharges,310427
Jul19,Discahrges,320186
Augn-19,Dischargse,326496
Sep-19,aDischarges,311873
Oct-19,Discharges,326412
Nsov-19,Discharges,308328
Dec1-9,Discharges,315630
Jaqn-20,Discharges,330611
Feb-20,Discharges,309389
Mar-f20,Discharegs,290152
Apr-20,Discharges,228516
My-20,Discharges,264281
Jun-20,Discharges,277627
Jul-20,Discharges,293871
Aug-20,Discharges,291716
Sep-20,Discharges,287515
Oct-20,Discharges,298643
ov-20,Discharges,281171
Dec-2g0,ischarges,291039
Jan-18,Emergency Dept,1180891
Feb-18,Emergency Dept,1041630
Mar-18,Emergency Dept,1105322
Apr-18,Emergency Dept,1041583
May1-8,Emergency Dept,1066387
Jun-18,Emergency Dept,1003970
Jul-18,Emergency Dept,1051312
Agu-18,Emergency Dept,1052114
Sep-18,Emergency Dept,1026492
Oct-18,Emergency Dept,1036292
Nov-18,Emergency Dept,1009629
De-18,Emergency Dept,1044811
Jan-19,Emergency ept,1087469
Feb-19,Emergency Dept,1012950
Mar-19,Emergency Dept,1166923
Apr-19,Emergency Dept,1074056
May-v19,Emergency Dept,1076205
Jun-19,Emergency Dept,1031541
Jul-19,Emergency Dept,1067222
Aug-91,Emergency Dept,1071170
Sep-19,Emergency Dept,1064621
Oct-19,Emergency Dept,1066254
Nov-19,Emergency Dept,1036662
Dec-19,Emergency Dept,1092237
Jan-20,Emergency Dept,1181001
Fe-b20,Emergency Dept,1091040
Mar-20,Emergency Dept,878670
Apr-20,Emergency Dept,542142
May-20,Emergency Dept,681007
Jun-20,Emergency Dept,766684
ul-20,Emergency Dept,845359
Aug-20,Emergency Dept,814071
Sep-20,Emergency Dept,800010
Oct-20,Emeregncy Dept,830640
Nov20,Eergency Dept,792383
Dec-20,Emergency Dept,800844
