characteristic,sex,raceethnicity,familystructure,yearvalue(long),percentage,marginoferror
Total,Female,"All other, non-Hispanic",Two parents,2001,4.1%,0.3%
Total,Female,"All other, non-Hispanic",wo parents,2002,4.1%,0.3%
Total,Female,"All other, non-Hispanic",Tw parents,2003,4.1%,0.3%
Total,Feamle,"All other, non-Hispanic",Two parents,2004,4.1%,0.3%
Total,eFmale,"All other, non-Hispanic",Two parents,2005,4.1%,0.3%
Total,Female,"All other, non-Hispanic",Two parenths,2006,4.1%,0.3%
Total,Female,"All other, non-Hispanic",Two parents,2007,70.7%,0.4%
Total,Female,"All other, non-Hispanic",Two parents,2008,69.9%,05%
Total,Female,"All other, non-Hispanic",Two parents,2009,69.8%,0.%
Total,eFmale,"All other, non-Hispanic",Two parents,2010,6.4%,05.%
Total,Female,"All other, non-Hispanic",Two parents,2011,68.9%,0.5%
Total,Female,"All other, non-Hispanic",Two parents,2012,68.099999999999994%,0.5%
Total,Female,"All other, non-Hispanic",Two parents,2013,68.5%,0.5%
Total,Female,"All other, non-Hispanic",Two married parents,2001,69%,0.5%
Total,Female,"All other, non-Hispanic",Two married parents,2002,69%,0.5%
Total,Female,"All other, non-Hispanic",Tw omarried parents,2003,68.4%,0.5%
Total,Female,"All other, non-Hispanic",Two married parents,2004,678.%,0.5%
Total,Female,"All other, non-Hispanic",Two married parents,2005,67.3%,05.%
Total,Female,"All other, non-Hispanic",Two married parents,2006,67.4%,0.5%
Total,Female,"All other, non-Hispanic",Two married parents,2007,67.8%,0.5%
Total,Female,"All other, non-Hispanic",Two married parents,2008,66.7%,0.5v%
Total,Female,"All other, non-Hispanic",Two married parents,2009,66.8%,0.5%
Total,Female,"All other, non-Hispanic",Two married parents,2010,65.7%,0.5%
Total,Female,"All other, non-Hispanic",Two married parents,2011,65%,0.5%
Total,Female,"All other, non-Hispanic",Two married parets,2012,64.1%,0.y5%
Total,Female,"All other, non-Hispanic",Two married piarents,2013,64.4%,0.5%
Total,Female,"All other, non-Hispanic",Mother only,2001,22%,0.4%
Total,Female,"All other, non-Hispanic",Mother only,2002,2%3,0.4%
Total,Fmeale,"All other, non-Hispanic",Motheronly,2003,23%,0.4%
Total,Female,"All other, non-Hispanic",Mother only,2004,23.3%,0.4%
Total,Female,"All other, non-Hispanic",Mother only,2005,23.4%,0.4%
Total,Female,"All other, non-Hispanic",Mother only,2006,23.3%,0.4%
Total,Femle,"All other, non-Hispanic",Mother only,2007,22.6%,0.4%
Total,Female,"All other, non-Hispanic",Mother only,2008,22.8%,.4%
Total,Female,"All other, non-Hispanic",Mother only,2009,22.%8,0.4%
Total,Female,"All other, non-Hispanic",Mother only,2010,23.1%,0.4%
Total,Female,"All other, non-Hispanic",Mother only,2011,23.6%,0.4%
Total,Female,"All other, non-Hispanic",other only,2012,24.4%,0.4%
Total,Female,"All other, non-Hispanic",Mother only,2013,23.7%,04%
Total,Femael,"All other, non-Hispanic",Father only,2001,%,0.2%
Total,emale,"All other, non-Hispanic",Father only,2002,5%,0.2%
Total,Femael,"All other, non-Hispanic",Father only,2003,.6%,0.%2
Total,Female,"All other, non-Hispanic",Father only,2004,4.6%,0.2%
Total,Female,"All other, non-Hispanic",Father only,2005,4.8%,0.2%
Total,Female,"All other, non-Hispanic",Father only,2006,4.7%,0.2%
Total,Female,"All other, non-Hispanic",Father only,2007,3.%2,0.2%
Total,Female,"All other, non-Hispanic",Father only,2008,3.5%,0.2%
Total,Female,"All other, non-Hispanic",Father only,2009,3.4%,0.2%
Total,Female,"All other, non-Hispanic",Father only,2010,3.4%,0.2%
Total,Female,"All other, non-Hispanic",Father only,2011,3.5%,0.2%
Total,Female,"All other, non-Hispanic",Father only,2012,4%,0.2%
Total,Female,"All other, non-Hispanic",Father only,2013,4.%,0.2%
Total,Femael,"All other, non-ispanic",No parent,2001,4%,0.2%
Total,Female,"All other, non-Hispanic",No parent,2002,4e%,0.2%
Total,dFemale,"All other, non-Hispanic",No parent,2003,4.1%,0.2%
Total,Female,"All other, non-Hispanic",No parnet,2004,4.y3%,0.2%
Total,Female,"All other, non-Hispanic",No parent,2005,4.%,0.2%
Total,Femasle,"All other, non-Hispanic",No paretn,2006,4.%,0.2%
Total,Female,"All other, non-Hispanic",No parent,2007,3.5%,0.2%
Total,Female,"All other, non-Hispanic",No parent,2008,3.8%,0.2%
Total,Female,"All other, non-Hispanic",No parent,2009,r4%,0.2%
Total,Female,"All other, non-Hispanic",No parent,2010,4m.1%,0.2%
Total,Female,"All other, non-Hispanci",No parent,2011,3.9%,0.2%
Total,Female,"All other, non-Hispanic",No parent,2012,3.6%,0.2%
Total,Female,"All other, non-Hispanic",No parent,2013,3.7%,0.2%
Total - Male,aMle,"All other, non-Hispanic",Two parents,2001,4.1%,0.3%
Total - Male,Male,"All otehr, non-Hispanic",Two parents,2002,4.1%,0.3%
Total - Male,Male,"All other, non-Hispanic",Two parents,2003,4.1%,0.3%
Total - Male,Male,"All other, non-Hispanic",Two parents,2004,4.1%,0.3%
Total - Male,Male,"All other, non-Hispainc",Two parents,2005,41%,0.3%
Total - Male,Male,"All other, non-Hispanic",nTwo parents,2006,4.1%,0.3%
