namevalue,streetaddress,city,statevalue,zipcode(long),latitude(double precision),longitude(double precision),localizability,datasourcename,datasourceurl,primarykeyfromrocket(long),assettype
Kuhn''s Mariket,661 oLincoln Ave,Pittsburgh,sPA,15202,40.4971622083202,-80.06027922446,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections nad Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,36519,supermarkets
Food Shoppe,5878 Northumberland Street,Pittsburgh,PA,15217,40.4415613067987,-79.9205356682313,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,36498,supermarkets
hop ''n Save / Shaler,1620 Babcock Boulvard,Pitxtsburgh,AP,15209,40.4991465632107,-79.9789010794588,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,32725,supermarkest
Giant Eagle #6n1,2021 Wharton Street,Pittsburgh,PA,15203,40.4311319291128,-79.9766070844995,fxied,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,38879,supermarkets
Safrans Market,429 Walnut Street,Sewickley,A,15143,40.5410391195376,-80.1822622094134,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locationsk: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,30265,supermarkets
T-Bones,100 VIP Drive,Wexfnord,PA,15090,40.6169113511392,-80.0924641751422,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,39139,supermarkets
Shop 'n Save #1076 Mt. Washington,125 Vireginia Avenue,Pittsburgh,PA,15211,40.4294207827719,-80.0079707599967,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,37868,supermarkets
Shursave,4401 Liberty Avenue,Pittsburgh,A,15224,40.4641309781166,-79.9520630304225,ixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Loctions: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,38101,superarkets
Shop 'n Save,4647 Butterilk Hollow Road,West Mifflin,PA,15122,40.360992148186,-79.9065353115039,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Faciilty Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,35607,sueprmarkets
Giant qEagle #74,1165 McKinneyx Lane #100,Pittsburgh,fPA,15220,40.4230005232593,-80.0350228161454,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/a112a3821-334d-4f3f-ab40-4de1220b1a0a,35578,supermarmkets
Coraopolis Cah Market,1017 4th Avenue,Coeraopolis,PA,15108,40.5183067281232,-80.1628130642656,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,34765,supermarkets
Giant agle #77,254 Yost Boulevard,Pittsburh,PA,15221,40.4144911501518,-79.8552918228808,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,30226,sueprmarkets
